trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	46	KG00099121	Headache NOS	0.055842574685811996
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05418495461344719
trial_1	placebo	87	KG00098599	diarrhoea	0.04799826815724373
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04721532762050629
trial_1	placebo	9	KG00098432	Confusion NOS	0.04304566979408264
trial_1	placebo	21	KG00098675	dyspnoea	0.04060298576951027
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.03471529483795166
trial_1	placebo	68	KG00099901	nauseas	0.03230993449687958
trial_1	placebo	123	KG00099351	hypokalaemia	0.03227231279015541
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.031599611043930054
trial_1	placebo	14	KG00097852	Anemia NOS	0.0308089517056942
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0305706225335598
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02982659824192524
trial_1	placebo	126	KG00100076	Pain NOS	0.027646353468298912
trial_1	placebo	77	KG00098450	Constipation NOS	0.02742905728518963
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.027146989479660988
trial_1	placebo	20	KG00098540	dehydration	0.02697986178100109
trial_1	placebo	49	KG00099902	nausea with vomiting	0.02676570974290371
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.026166757568717003
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.025750532746315002
trial_1	placebo	96	KG00101679	Unattended death NOS	0.025571445003151894
trial_1	placebo	28	KG00099347	hypoglycaemia	0.024511955678462982
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.02443232759833336
trial_1	placebo	121	KG00099190	haemorrhage	0.024289904162287712
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.02421986311674118
trial_1	placebo	114	KG00098933	fevers	0.022798344492912292
trial_1	placebo	85	KG00098474	coughs	0.02260453999042511
trial_1	placebo	147	KG00098000	atelectases	0.021955041214823723
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.021834110841155052
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.021742090582847595
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.021312974393367767
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02105620689690113
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.01983506605029106
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.019727569073438644
