trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	28	KG00099347	hypoglycaemia	0.1916438341140747
trial_1	placebo	177	KG00099299	hyperglycaemia	0.1021786630153656
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10014413297176361
trial_1	placebo	20	KG00098540	dehydration	0.07860127836465836
trial_1	placebo	123	KG00099351	hypokalaemia	0.07287668436765671
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07245118916034698
trial_1	placebo	87	KG00098599	diarrhoea	0.06478837132453918
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06059303134679794
trial_1	placebo	9	KG00098432	Confusion NOS	0.060079071670770645
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05829192325472832
trial_1	placebo	21	KG00098675	dyspnoea	0.053614143282175064
trial_1	placebo	46	KG00099121	Headache NOS	0.05226162075996399
trial_1	placebo	29	KG00099354	hyponatraemia	0.050258394330739975
trial_1	placebo	132	KG00101045	Gain, Weight	0.04686625301837921
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.046177104115486145
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04440642520785332
trial_1	placebo	147	KG00098000	atelectases	0.043405499309301376
trial_1	placebo	126	KG00100076	Pain NOS	0.0422830656170845
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.042231518775224686
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.042179420590400696
trial_1	placebo	86	KG00098565	Depression, Mental	0.04215778037905693
trial_1	placebo	441	KG00098262	cellulitis nos	0.04083384573459625
trial_1	placebo	466	KG00101205	fall	0.040801819413900375
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.04039338603615761
trial_1	placebo	77	KG00098450	Constipation NOS	0.04032707214355469
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03953162580728531
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03935924172401428
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03844240680336952
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03746573626995087
trial_1	placebo	49	KG00099902	nausea with vomiting	0.037257954478263855
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03721281886100769
trial_1	placebo	14	KG00097852	Anemia NOS	0.03706294298171997
trial_1	placebo	121	KG00099190	haemorrhage	0.036856506019830704
trial_1	placebo	104	KG00097963	arthralgias	0.03633454814553261
trial_1	placebo	228	KG00114657	Weight below normal	0.035898417234420776
trial_1	placebo	180	KG00099363	Hypotension NOS	0.034907061606645584
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03422108665108681
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.034065451472997665
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03369498252868652
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03368658572435379
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03287547454237938
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03273681551218033
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03191819414496422
trial_1	placebo	239	KG00100128	pareses	0.03129575774073601
trial_1	placebo	116	KG00098964	Pain in foot	0.03029833734035492
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.030232569202780724
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.029799848794937134
trial_1	placebo	96	KG00101679	Unattended death NOS	0.029193827882409096
trial_1	placebo	68	KG00099901	nauseas	0.028967810794711113
trial_1	placebo	5	KG00099169	haematuria	0.028834089636802673
trial_1	placebo	350	KG00106765	decreased platelet count	0.028273310512304306
trial_1	placebo	242	KG00100855	tremors	0.02824314683675766
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.027616381645202637
trial_1	placebo	269	KG00100399	pyaemia	0.0271924901753664
trial_1	placebo	114	KG00098933	fevers	0.027126669883728027
trial_1	placebo	102	KG00097916	anxieties	0.027125608175992966
trial_1	placebo	4	KG00098817	epistaxis	0.027059031650424004
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.02699114941060543
trial_1	placebo	85	KG00098474	coughs	0.02696692757308483
trial_1	placebo	221	KG00101207	peripheral oedema	0.026221370324492455
trial_1	placebo	101	KG00097901	Anorexia NOS	0.025586294010281563
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.02470657043159008
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.024472571909427643
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.024181902408599854
trial_1	placebo	18	KG00098307	Pain, Chest	0.023864980787038803
trial_1	placebo	282	KG00099309	hypernatraemia	0.023512102663517
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.022411024197936058
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02226440981030464
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.022044705227017403
trial_1	placebo	160	KG00099291	hypercalcaemia	0.021587694063782692
