trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18305139243602753
trial_1	placebo	87	KG00098599	diarrhoea	0.12896300852298737
trial_1	placebo	9	KG00098432	Confusion NOS	0.09348377585411072
trial_1	placebo	46	KG00099121	Headache NOS	0.093182273209095
trial_1	placebo	123	KG00099351	hypokalaemia	0.08972827345132828
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08808387815952301
trial_1	placebo	68	KG00099901	nauseas	0.08419135957956314
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07408123463392258
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07294846326112747
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07280923426151276
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07087114453315735
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06985939294099808
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06847560405731201
trial_1	placebo	14	KG00097852	Anemia NOS	0.06761794537305832
trial_1	placebo	20	KG00098540	dehydration	0.06606347113847733
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06563302129507065
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06493619084358215
trial_1	placebo	77	KG00098450	Constipation NOS	0.0610533133149147
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05876368284225464
trial_1	placebo	21	KG00098675	dyspnoea	0.0574721097946167
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.057364337146282196
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05708271265029907
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04863302782177925
trial_1	placebo	104	KG00097963	arthralgias	0.04767611622810364
trial_1	placebo	350	KG00106765	decreased platelet count	0.04737299308180809
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04540020227432251
trial_1	placebo	147	KG00098000	atelectases	0.04509279504418373
trial_1	placebo	29	KG00099354	hyponatraemia	0.044985778629779816
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0447588674724102
trial_1	placebo	5	KG00099169	haematuria	0.04443208873271942
