trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.26051652431488037
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18106570839881897
trial_1	placebo	123	KG00099351	hypokalaemia	0.15430235862731934
trial_1	placebo	177	KG00099299	hyperglycaemia	0.15322358906269073
trial_1	placebo	17	KG00097991	Asthenia NOS	0.14695493876934052
trial_1	placebo	9	KG00098432	Confusion NOS	0.1274917870759964
trial_1	placebo	20	KG00098540	dehydration	0.12543664872646332
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.12490570545196533
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11919005960226059
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.11657364666461945
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.11260203272104263
trial_1	placebo	46	KG00099121	Headache NOS	0.11238127946853638
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10951513797044754
trial_1	placebo	14	KG00097852	Anemia NOS	0.10930941253900528
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.1082519069314003
trial_1	placebo	68	KG00099901	nauseas	0.1062687411904335
trial_1	placebo	21	KG00098675	dyspnoea	0.10354409366846085
trial_1	placebo	350	KG00106765	decreased platelet count	0.10061311721801758
trial_1	placebo	228	KG00114657	Weight below normal	0.09469648450613022
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09438758343458176
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.09360569715499878
trial_1	placebo	77	KG00098450	Constipation NOS	0.0893535166978836
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08662137389183044
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.08296849578619003
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08246160298585892
trial_1	placebo	114	KG00098933	fevers	0.08208086341619492
trial_1	placebo	29	KG00099354	hyponatraemia	0.07476790249347687
trial_1	placebo	5	KG00099169	haematuria	0.07169431447982788
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06990636140108109
trial_1	placebo	85	KG00098474	coughs	0.06979820877313614
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06950842589139938
trial_1	placebo	104	KG00097963	arthralgias	0.06657920777797699
trial_1	placebo	72	KG00103771	myalgias	0.06412375718355179
trial_1	placebo	86	KG00098565	Depression, Mental	0.06310024112462997
trial_1	placebo	126	KG00100076	Pain NOS	0.061600539833307266
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06077781319618225
trial_1	placebo	239	KG00100128	pareses	0.06002310290932655
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05989726260304451
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0595594085752964
trial_1	placebo	27	KG00099303	hyperkalaemia	0.058655064553022385
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05859774723649025
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05809047818183899
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.05773944780230522
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05458368733525276
trial_1	placebo	179	KG00099342	hypocalcaemia	0.05432293936610222
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.05248885601758957
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.05146791785955429
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.050767604261636734
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.050555214285850525
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0501885823905468
trial_1	placebo	18	KG00098307	Pain, Chest	0.049949876964092255
trial_1	placebo	116	KG00098964	Pain in foot	0.04840342327952385
trial_1	placebo	147	KG00098000	atelectases	0.04785125330090523
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04705687239766121
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.046625372022390366
trial_1	placebo	132	KG00101045	Gain, Weight	0.04613006114959717
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.045071497559547424
trial_1	placebo	82	KG00097697	abdomen distended	0.04449333995580673
trial_1	placebo	282	KG00099309	hypernatraemia	0.04282465949654579
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04265834018588066
trial_1	placebo	186	KG00101431	creatinine increased	0.04219289496541023
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.04213468357920647
trial_1	placebo	269	KG00100399	pyaemia	0.042028192430734634
trial_1	placebo	69	KG00100082	Palpitations NOS	0.041180700063705444
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.041060276329517365
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.04092053323984146
trial_1	placebo	262	KG00101199	agitation	0.0408313050866127
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.040450699627399445
trial_1	placebo	102	KG00097916	anxieties	0.040084414184093475
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.03969055041670799
