trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	9	KG00098432	Confusion NOS	0.1280495524406433
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06927671283483505
trial_1	placebo	87	KG00098599	diarrhoea	0.06789449602365494
trial_1	placebo	68	KG00099901	nauseas	0.066851906478405
trial_1	placebo	46	KG00099121	Headache NOS	0.06430015712976456
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06095902994275093
trial_1	placebo	77	KG00098450	Constipation NOS	0.05342642590403557
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05062779784202576
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.04784045368432999
trial_1	placebo	66	KG00098642	drowsiness	0.04303747043013573
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.03866012394428253
trial_1	placebo	21	KG00098675	dyspnoea	0.03797202184796333
trial_1	placebo	300	KG00101064	xerostomia	0.035109445452690125
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03319777175784111
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03201859071850777
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03004264086484909
trial_1	placebo	123	KG00099351	hypokalaemia	0.029854554682970047
trial_1	placebo	177	KG00099299	hyperglycaemia	0.02941676415503025
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02888932265341282
trial_1	placebo	102	KG00097916	anxieties	0.02792546898126602
trial_1	placebo	20	KG00098540	dehydration	0.026522889733314514
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0258636474609375
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.024442026391625404
trial_1	placebo	114	KG00098933	fevers	0.023916780948638916
trial_1	placebo	126	KG00100076	Pain NOS	0.023490911349654198
trial_1	placebo	211	KG00100341	Pruritus NOS	0.023416345939040184
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.023213570937514305
trial_1	placebo	104	KG00097963	arthralgias	0.022485340014100075
trial_1	placebo	228	KG00114657	Weight below normal	0.022379858419299126
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.021284978836774826
trial_1	placebo	69	KG00100082	Palpitations NOS	0.021125197410583496
trial_1	placebo	96	KG00101679	Unattended death NOS	0.021082637831568718
trial_1	placebo	132	KG00101045	Gain, Weight	0.020943298935890198
trial_1	placebo	242	KG00100855	tremors	0.020614681765437126
trial_1	placebo	85	KG00098474	coughs	0.020105374976992607
trial_1	placebo	86	KG00098565	Depression, Mental	0.018344933167099953
trial_1	placebo	29	KG00099354	hyponatraemia	0.017657924443483353
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.017553959041833878
trial_1	placebo	234	KG00098669	dysgeusias	0.017426351085305214
trial_1	placebo	262	KG00101199	agitation	0.01739102602005005
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.017003830522298813
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.01654622331261635
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.016345564275979996
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0162600539624691
trial_1	placebo	14	KG00097852	Anemia NOS	0.015907324850559235
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.015617676079273224
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.015430339612066746
trial_1	placebo	239	KG00100128	pareses	0.014727728441357613
trial_1	placebo	18	KG00098307	Pain, Chest	0.014683620072901249
