trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.138208270072937
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12042714655399323
trial_1	placebo	123	KG00099351	hypokalaemia	0.10633517801761627
trial_1	placebo	46	KG00099121	Headache NOS	0.09095966070890427
trial_1	placebo	21	KG00098675	dyspnoea	0.08509236574172974
trial_1	placebo	9	KG00098432	Confusion NOS	0.08223102241754532
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08067859709262848
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07742548733949661
trial_1	placebo	68	KG00099901	nauseas	0.07477428019046783
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0733896866440773
trial_1	placebo	20	KG00098540	dehydration	0.06903713196516037
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06859422475099564
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0667816624045372
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06647896021604538
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06602752953767776
trial_1	placebo	77	KG00098450	Constipation NOS	0.06592509150505066
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06511314958333969
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.059987183660268784
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.059611983597278595
trial_1	placebo	14	KG00097852	Anemia NOS	0.05928147956728935
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.056543413549661636
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05207871273159981
trial_1	placebo	350	KG00106765	decreased platelet count	0.052024438977241516
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05115878954529762
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04914688318967819
trial_1	placebo	114	KG00098933	fevers	0.04884843900799751
trial_1	placebo	5	KG00099169	haematuria	0.04874853044748306
trial_1	placebo	29	KG00099354	hyponatraemia	0.047361504286527634
trial_1	placebo	126	KG00100076	Pain NOS	0.04627039283514023
trial_1	placebo	101	KG00097901	Anorexia NOS	0.046036478132009506
