trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.12279476970434189
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09974365681409836
trial_1	placebo	17	KG00097991	Asthenia NOS	0.074980229139328
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07282528281211853
trial_1	placebo	9	KG00098432	Confusion NOS	0.07107032835483551
trial_1	placebo	20	KG00098540	dehydration	0.06684669107198715
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06562384217977524
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06517058610916138
trial_1	placebo	68	KG00099901	nauseas	0.05945168435573578
trial_1	placebo	46	KG00099121	Headache NOS	0.05858391150832176
trial_1	placebo	21	KG00098675	dyspnoea	0.058104269206523895
trial_1	placebo	123	KG00099351	hypokalaemia	0.05615152418613434
trial_1	placebo	49	KG00099902	nausea with vomiting	0.053494617342948914
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05283312126994133
trial_1	placebo	86	KG00098565	Depression, Mental	0.04934978485107422
trial_1	placebo	228	KG00114657	Weight below normal	0.04673708602786064
trial_1	placebo	85	KG00098474	coughs	0.04648071154952049
trial_1	placebo	114	KG00098933	fevers	0.0459723137319088
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04517465457320213
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0448833666741848
trial_1	placebo	126	KG00100076	Pain NOS	0.044869858771562576
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04343177005648613
trial_1	placebo	77	KG00098450	Constipation NOS	0.04154541343450546
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03774990141391754
trial_1	placebo	14	KG00097852	Anemia NOS	0.037096258252859116
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0337953194975853
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03235070779919624
trial_1	placebo	29	KG00099354	hyponatraemia	0.03212711960077286
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03144437447190285
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.029623130336403847
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.028505131602287292
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.027934523299336433
trial_1	placebo	104	KG00097963	arthralgias	0.027275558561086655
trial_1	placebo	350	KG00106765	decreased platelet count	0.02718845009803772
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02650868147611618
trial_1	placebo	96	KG00101679	Unattended death NOS	0.026168890297412872
trial_1	placebo	180	KG00099363	Hypotension NOS	0.024178633466362953
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.024010729044675827
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.023807771503925323
