trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13652212917804718
trial_1	placebo	87	KG00098599	diarrhoea	0.1131075769662857
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0895153060555458
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08862997591495514
trial_1	placebo	20	KG00098540	dehydration	0.08398810029029846
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07394099980592728
trial_1	placebo	9	KG00098432	Confusion NOS	0.07376990467309952
trial_1	placebo	123	KG00099351	hypokalaemia	0.07351969927549362
trial_1	placebo	77	KG00098450	Constipation NOS	0.06716057658195496
trial_1	placebo	46	KG00099121	Headache NOS	0.06041676551103592
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05602003261446953
trial_1	placebo	21	KG00098675	dyspnoea	0.052956417202949524
trial_1	placebo	49	KG00099902	nausea with vomiting	0.051759544759988785
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.050909534096717834
trial_1	placebo	68	KG00099901	nauseas	0.05008211359381676
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.048146266490221024
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04803380370140076
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.047141607850790024
trial_1	placebo	180	KG00099363	Hypotension NOS	0.044903628528118134
trial_1	placebo	228	KG00114657	Weight below normal	0.04368317127227783
trial_1	placebo	29	KG00099354	hyponatraemia	0.04302055388689041
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04220525920391083
trial_1	placebo	114	KG00098933	fevers	0.042077675461769104
trial_1	placebo	86	KG00098565	Depression, Mental	0.04192820563912392
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04125567898154259
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03936884179711342
trial_1	placebo	85	KG00098474	coughs	0.03913247585296631
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0386650525033474
trial_1	placebo	104	KG00097963	arthralgias	0.037746984511613846
trial_1	placebo	126	KG00100076	Pain NOS	0.037245310842990875
trial_1	placebo	239	KG00100128	pareses	0.036172255873680115
trial_1	placebo	350	KG00106765	decreased platelet count	0.03573335334658623
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03529147431254387
trial_1	placebo	14	KG00097852	Anemia NOS	0.0344468392431736
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03377236798405647
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03336124122142792
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.0333591029047966
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03292796015739441
trial_1	placebo	28	KG00099347	hypoglycaemia	0.032458413392305374
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0319051630795002
trial_1	placebo	5	KG00099169	haematuria	0.031482670456171036
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.031226128339767456
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03115459717810154
trial_1	placebo	27	KG00099303	hyperkalaemia	0.030164064839482307
trial_1	placebo	102	KG00097916	anxieties	0.029730714857578278
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.029571428894996643
trial_1	placebo	147	KG00098000	atelectases	0.028771160170435905
trial_1	placebo	132	KG00101045	Gain, Weight	0.028712118044495583
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.027736777439713478
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02729298546910286
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.027280397713184357
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.027272041887044907
trial_1	placebo	164	KG00108827	ileus colon	0.026799684390425682
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.02582947164773941
trial_1	placebo	72	KG00103771	myalgias	0.02524830959737301
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.024635501205921173
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.023986421525478363
trial_1	placebo	262	KG00101199	agitation	0.023809313774108887
trial_1	placebo	18	KG00098307	Pain, Chest	0.02355867438018322
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.023527147248387337
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.02316555380821228
trial_1	placebo	121	KG00099190	haemorrhage	0.02315601520240307
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02305113896727562
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.022887174040079117
trial_1	placebo	282	KG00099309	hypernatraemia	0.02251880243420601
trial_1	placebo	269	KG00100399	pyaemia	0.02245897427201271
trial_1	placebo	116	KG00098964	Pain in foot	0.022454913705587387
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.022390875965356827
trial_1	placebo	286	KG00101110	Retention, Urinary	0.02169063314795494
trial_1	placebo	466	KG00101205	fall	0.021664578467607498
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.0207749605178833
trial_1	placebo	242	KG00100855	tremors	0.020402314141392708
trial_1	placebo	300	KG00101064	xerostomia	0.020384853705763817
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.020347237586975098
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.0202211681753397
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.019823869690299034
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.019166242331266403
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.01903454028069973
trial_1	placebo	191	KG00104055	Biliverdin increased	0.01901593618094921
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.018948834389448166
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01859108731150627
trial_1	placebo	441	KG00098262	cellulitis nos	0.018492013216018677
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.018320241943001747
trial_1	placebo	163	KG00104050	bowel obstructions small	0.018308449536561966
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.01830398291349411
trial_1	placebo	508	KG00108565	blood glucose increased	0.018300754949450493
trial_1	placebo	339	KG00100334	proteinurias	0.017877114936709404
trial_1	placebo	82	KG00097697	abdomen distended	0.01782947964966297
trial_1	placebo	66	KG00098642	drowsiness	0.017803773283958435
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.017798012122511864
trial_1	placebo	221	KG00101207	peripheral oedema	0.017678771167993546
trial_1	placebo	456	KG00099420	Influenzae	0.017628831788897514
trial_1	placebo	288	KG00101223	hypophosphataemia	0.01749691367149353
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.01748061552643776
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.017465120181441307
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.017216866835951805
trial_1	placebo	118	KG00099011	Gastritis NOS	0.017202196642756462
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.0171860009431839
trial_1	placebo	234	KG00098669	dysgeusias	0.0170289296656847
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.017028100788593292
trial_2	levobetaxolol	78	KG00099326	Hypertensive diseases	0.13652212917804718
trial_2	levobetaxolol	87	KG00098599	diarrhoea	0.1131075769662857
trial_2	levobetaxolol	177	KG00099299	hyperglycaemia	0.0895153060555458
trial_2	levobetaxolol	17	KG00097991	Asthenia NOS	0.08862997591495514
trial_2	levobetaxolol	20	KG00098540	dehydration	0.08398810029029846
trial_2	levobetaxolol	173	KG00098172	Bronchopneumonia NOS	0.07394099980592728
trial_2	levobetaxolol	9	KG00098432	Confusion NOS	0.07376990467309952
trial_2	levobetaxolol	123	KG00099351	hypokalaemia	0.07351969927549362
trial_2	levobetaxolol	77	KG00098450	Constipation NOS	0.06716057658195496
trial_2	levobetaxolol	46	KG00099121	Headache NOS	0.06041676551103592
trial_2	levobetaxolol	79	KG00100317	Insomnia, Primary	0.05602003261446953
trial_2	levobetaxolol	21	KG00098675	dyspnoea	0.052956417202949524
trial_2	levobetaxolol	49	KG00099902	nausea with vomiting	0.051759544759988785
trial_2	levobetaxolol	189	KG00101580	Alanine aminotransferase increase	0.050909534096717834
trial_2	levobetaxolol	68	KG00099901	nauseas	0.05008211359381676
trial_2	levobetaxolol	200	KG00098539	Disorders, Deglutition	0.048146266490221024
trial_2	levobetaxolol	37	KG00097696	Cramps, Abdominal	0.04803380370140076
trial_2	levobetaxolol	188	KG00101579	Aspartate aminotransferase increase	0.047141607850790024
trial_2	levobetaxolol	180	KG00099363	Hypotension NOS	0.044903628528118134
trial_2	levobetaxolol	228	KG00114657	Weight below normal	0.04368317127227783
trial_2	levobetaxolol	29	KG00099354	hyponatraemia	0.04302055388689041
trial_2	levobetaxolol	67	KG00098673	Dyspepsia, NOS	0.04220525920391083
trial_2	levobetaxolol	114	KG00098933	fevers	0.042077675461769104
trial_2	levobetaxolol	86	KG00098565	Depression, Mental	0.04192820563912392
trial_2	levobetaxolol	64	KG00097734	Acrodermatitis, NOS	0.04125567898154259
trial_2	levobetaxolol	151	KG00098274	Infarction, Cerebral	0.03936884179711342
trial_2	levobetaxolol	85	KG00098474	coughs	0.03913247585296631
trial_2	levobetaxolol	122	KG00099321	Hypersensitivity NOS	0.0386650525033474
trial_2	levobetaxolol	104	KG00097963	arthralgias	0.037746984511613846
trial_2	levobetaxolol	126	KG00100076	Pain NOS	0.037245310842990875
trial_2	levobetaxolol	239	KG00100128	pareses	0.036172255873680115
trial_2	levobetaxolol	350	KG00106765	decreased platelet count	0.03573335334658623
trial_2	levobetaxolol	76	KG00100450	Respiratory insufficiency, NOS	0.03529147431254387
trial_2	levobetaxolol	14	KG00097852	Anemia NOS	0.0344468392431736
trial_2	levobetaxolol	243	KG00100947	Micturition frequency increased	0.03377236798405647
trial_2	levobetaxolol	30	KG00099500	Acute Kidney Failure	0.03336124122142792
trial_2	levobetaxolol	61	KG00099501	Chronic Kidney Failure	0.0333591029047966
trial_2	levobetaxolol	96	KG00101679	Unattended death NOS	0.03292796015739441
trial_2	levobetaxolol	28	KG00099347	hypoglycaemia	0.032458413392305374
trial_2	levobetaxolol	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0319051630795002
trial_2	levobetaxolol	5	KG00099169	haematuria	0.031482670456171036
trial_2	levobetaxolol	2	KG00100772	thrombocytopaenia	0.031226128339767456
trial_2	levobetaxolol	179	KG00099342	hypocalcaemia	0.03115459717810154
trial_2	levobetaxolol	27	KG00099303	hyperkalaemia	0.030164064839482307
trial_2	levobetaxolol	102	KG00097916	anxieties	0.029730714857578278
trial_2	levobetaxolol	38	KG00098066	Binocular vision disorders	0.029571428894996643
trial_2	levobetaxolol	147	KG00098000	atelectases	0.028771160170435905
trial_2	levobetaxolol	132	KG00101045	Gain, Weight	0.028712118044495583
trial_2	levobetaxolol	131	KG00100948	Urinary tract infection (& [NOS])	0.027736777439713478
trial_2	levobetaxolol	101	KG00097901	Anorexia NOS	0.02729298546910286
trial_2	levobetaxolol	396	KG00100373	Embolism, Pulmonary	0.027280397713184357
trial_2	levobetaxolol	36	KG00106434	Vision, Blurring Of	0.027272041887044907
trial_2	levobetaxolol	164	KG00108827	ileus colon	0.026799684390425682
trial_2	levobetaxolol	139	KG00098855	Sinusitis, Ethmoid	0.02582947164773941
trial_2	levobetaxolol	72	KG00103771	myalgias	0.02524830959737301
trial_2	levobetaxolol	261	KG00101559	raised alkaline phosphatase	0.024635501205921173
trial_2	levobetaxolol	35	KG00101507	hypomagnesaemia	0.023986421525478363
trial_2	levobetaxolol	262	KG00101199	agitation	0.023809313774108887
trial_2	levobetaxolol	18	KG00098307	Pain, Chest	0.02355867438018322
trial_2	levobetaxolol	92	KG00100926	Infections, Upper Respiratory	0.023527147248387337
trial_2	levobetaxolol	276	KG00099127	Arrest, Cardiac	0.02316555380821228
trial_2	levobetaxolol	121	KG00099190	haemorrhage	0.02315601520240307
trial_2	levobetaxolol	69	KG00100082	Palpitations NOS	0.02305113896727562
trial_2	levobetaxolol	142	KG00100923	Unspecified infectious and parasitic diseases	0.022887174040079117
trial_2	levobetaxolol	282	KG00099309	hypernatraemia	0.02251880243420601
trial_2	levobetaxolol	269	KG00100399	pyaemia	0.02245897427201271
trial_2	levobetaxolol	116	KG00098964	Pain in foot	0.022454913705587387
trial_2	levobetaxolol	194	KG00110727	Neutrophil Count Decreased	0.022390875965356827
trial_2	levobetaxolol	286	KG00101110	Retention, Urinary	0.02169063314795494
trial_2	levobetaxolol	466	KG00101205	fall	0.021664578467607498
trial_2	levobetaxolol	75	KG00100195	Dolens, Phlegmasia Alba	0.0207749605178833
trial_2	levobetaxolol	242	KG00100855	tremors	0.020402314141392708
trial_2	levobetaxolol	300	KG00101064	xerostomia	0.020384853705763817
trial_2	levobetaxolol	249	KG00104430	hypoalbuminaemia	0.020347237586975098
trial_2	levobetaxolol	256	KG00100738	Tachycardia, Sinus	0.0202211681753397
trial_2	levobetaxolol	355	KG00110857	lymphocyte count decreased	0.019823869690299034
trial_2	levobetaxolol	341	KG00101472	Gamma-glutamyltransferase increased	0.019166242331266403
trial_2	levobetaxolol	394	KG00100243	Pneumonia, Aspiration	0.01903454028069973
trial_2	levobetaxolol	191	KG00104055	Biliverdin increased	0.01901593618094921
trial_2	levobetaxolol	130	KG00100683	Stomatitis NOS	0.018948834389448166
trial_2	levobetaxolol	31	KG00099872	Infarction, Myocardial	0.01859108731150627
trial_2	levobetaxolol	441	KG00098262	cellulitis nos	0.018492013216018677
trial_2	levobetaxolol	253	KG00100232	Pleural effusion NOS (disorder)	0.018320241943001747
trial_2	levobetaxolol	163	KG00104050	bowel obstructions small	0.018308449536561966
trial_2	levobetaxolol	199	KG00098371	Rhinitis (chronic) NOS	0.01830398291349411
trial_2	levobetaxolol	508	KG00108565	blood glucose increased	0.018300754949450493
trial_2	levobetaxolol	339	KG00100334	proteinurias	0.017877114936709404
trial_2	levobetaxolol	82	KG00097697	abdomen distended	0.01782947964966297
trial_2	levobetaxolol	66	KG00098642	drowsiness	0.017803773283958435
trial_2	levobetaxolol	144	KG00099610	Leukopenia NOS	0.017798012122511864
trial_2	levobetaxolol	221	KG00101207	peripheral oedema	0.017678771167993546
trial_2	levobetaxolol	456	KG00099420	Influenzae	0.017628831788897514
trial_2	levobetaxolol	288	KG00101223	hypophosphataemia	0.01749691367149353
trial_2	levobetaxolol	422	KG00101429	Creatine phosphokinase increased	0.01748061552643776
trial_2	levobetaxolol	371	KG00098517	Cystitis (NOS)	0.017465120181441307
trial_2	levobetaxolol	33	KG00100094	Pancreatitis NOS	0.017216866835951805
trial_2	levobetaxolol	118	KG00099011	Gastritis NOS	0.017202196642756462
trial_2	levobetaxolol	97	KG00104198	LIVER ENZYME ELEVATED	0.0171860009431839
trial_2	levobetaxolol	234	KG00098669	dysgeusias	0.0170289296656847
trial_2	levobetaxolol	138	KG00098796	epidemic vomiting syndrome	0.017028100788593292
