trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07725752890110016
trial_1	placebo	87	KG00098599	diarrhoea	0.060885950922966
trial_1	placebo	177	KG00099299	hyperglycaemia	0.05899657681584358
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.05769803375005722
trial_1	placebo	17	KG00097991	Asthenia NOS	0.050105415284633636
trial_1	placebo	9	KG00098432	Confusion NOS	0.047908294945955276
trial_1	placebo	20	KG00098540	dehydration	0.04630107060074806
trial_1	placebo	46	KG00099121	Headache NOS	0.04501055181026459
trial_1	placebo	123	KG00099351	hypokalaemia	0.044177040457725525
trial_1	placebo	21	KG00098675	dyspnoea	0.03998198360204697
trial_1	placebo	77	KG00098450	Constipation NOS	0.03960850089788437
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03788525611162186
trial_1	placebo	68	KG00099901	nauseas	0.03631363436579704
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03475674241781235
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.034424927085638046
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.032841697335243225
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.031361788511276245
trial_1	placebo	114	KG00098933	fevers	0.030238740146160126
trial_1	placebo	14	KG00097852	Anemia NOS	0.030090540647506714
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.02913317084312439
trial_1	placebo	180	KG00099363	Hypotension NOS	0.028507014736533165
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02826041355729103
trial_1	placebo	126	KG00100076	Pain NOS	0.02702118270099163
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02611955814063549
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.025949949398636818
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02586173638701439
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.025427497923374176
trial_1	placebo	96	KG00101679	Unattended death NOS	0.025364475324749947
trial_1	placebo	85	KG00098474	coughs	0.02525785192847252
trial_1	placebo	29	KG00099354	hyponatraemia	0.025107860565185547
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.024806706234812737
trial_1	placebo	104	KG00097963	arthralgias	0.024237854406237602
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.023667683824896812
trial_1	placebo	86	KG00098565	Depression, Mental	0.02360241860151291
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023454170674085617
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.023250320926308632
trial_1	placebo	28	KG00099347	hypoglycaemia	0.023029902949929237
trial_1	placebo	147	KG00098000	atelectases	0.02257019653916359
trial_1	placebo	350	KG00106765	decreased platelet count	0.022262435406446457
trial_1	placebo	228	KG00114657	Weight below normal	0.020919790491461754
trial_1	placebo	5	KG00099169	haematuria	0.020886484533548355
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.019767776131629944
trial_1	placebo	239	KG00100128	pareses	0.019724972546100616
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.019568167626857758
trial_1	placebo	72	KG00103771	myalgias	0.019021358340978622
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.01890840195119381
trial_1	placebo	27	KG00099303	hyperkalaemia	0.018755540251731873
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.018656961619853973
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.018640080466866493
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.018557721748948097
trial_1	placebo	18	KG00098307	Pain, Chest	0.018118582665920258
trial_1	placebo	179	KG00099342	hypocalcaemia	0.017773212864995003
trial_1	placebo	164	KG00108827	ileus colon	0.017271898686885834
trial_1	placebo	269	KG00100399	pyaemia	0.017252419143915176
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.017093807458877563
trial_1	placebo	121	KG00099190	haemorrhage	0.016923479735851288
trial_1	placebo	102	KG00097916	anxieties	0.01689949817955494
trial_1	placebo	101	KG00097901	Anorexia NOS	0.016871310770511627
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.016589699313044548
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.016341861337423325
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01604451984167099
trial_1	placebo	69	KG00100082	Palpitations NOS	0.0159059576690197
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.01587134785950184
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.015762463212013245
trial_1	placebo	466	KG00101205	fall	0.01525356899946928
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.015225782059133053
trial_1	placebo	441	KG00098262	cellulitis nos	0.015224174596369267
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.015053060837090015
trial_1	placebo	116	KG00098964	Pain in foot	0.014909802936017513
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.014647803269326687
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.013997833244502544
trial_1	placebo	132	KG00101045	Gain, Weight	0.013984263874590397
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.013794911094009876
trial_1	placebo	262	KG00101199	agitation	0.013773356564342976
trial_1	placebo	282	KG00099309	hypernatraemia	0.013592681847512722
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.013045061379671097
trial_1	placebo	82	KG00097697	abdomen distended	0.0129984300583601
trial_1	placebo	286	KG00101110	Retention, Urinary	0.01293169241398573
trial_1	placebo	11	KG00097993	Asthma NOS	0.012784638442099094
trial_1	placebo	234	KG00098669	dysgeusias	0.012674243189394474
trial_1	placebo	118	KG00099011	Gastritis NOS	0.012672005221247673
trial_1	placebo	508	KG00108565	blood glucose increased	0.01249830611050129
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.012468292377889156
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.012175314128398895
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.012123430147767067
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.012104096822440624
trial_1	placebo	456	KG00099420	Influenzae	0.012020544148981571
trial_1	placebo	221	KG00101207	peripheral oedema	0.012014271691441536
trial_1	placebo	163	KG00104050	bowel obstructions small	0.0120030976831913
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.011839009821414948
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.01177193969488144
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.01175563596189022
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.011713641695678234
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.01161073986440897
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.011519117280840874
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.011315552517771721
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.011254288256168365
trial_1	placebo	154	KG00099686	Lymphopenias	0.01121517550200224
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.01116782147437334
trial_1	placebo	22	KG00098705	Edema (NOS)	0.010913388803601265
trial_2	levobunolol	78	KG00099326	Hypertensive diseases	0.07725752890110016
trial_2	levobunolol	87	KG00098599	diarrhoea	0.060885950922966
trial_2	levobunolol	177	KG00099299	hyperglycaemia	0.05899657681584358
trial_2	levobunolol	173	KG00098172	Bronchopneumonia NOS	0.05769803375005722
trial_2	levobunolol	17	KG00097991	Asthenia NOS	0.050105415284633636
trial_2	levobunolol	9	KG00098432	Confusion NOS	0.047908294945955276
trial_2	levobunolol	20	KG00098540	dehydration	0.04630107060074806
trial_2	levobunolol	46	KG00099121	Headache NOS	0.04501055181026459
trial_2	levobunolol	123	KG00099351	hypokalaemia	0.044177040457725525
trial_2	levobunolol	21	KG00098675	dyspnoea	0.03998198360204697
trial_2	levobunolol	77	KG00098450	Constipation NOS	0.03960850089788437
trial_2	levobunolol	49	KG00099902	nausea with vomiting	0.03788525611162186
trial_2	levobunolol	68	KG00099901	nauseas	0.03631363436579704
trial_2	levobunolol	37	KG00097696	Cramps, Abdominal	0.03475674241781235
trial_2	levobunolol	79	KG00100317	Insomnia, Primary	0.034424927085638046
trial_2	levobunolol	151	KG00098274	Infarction, Cerebral	0.032841697335243225
trial_2	levobunolol	67	KG00098673	Dyspepsia, NOS	0.031361788511276245
trial_2	levobunolol	114	KG00098933	fevers	0.030238740146160126
