trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.09530659019947052
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07111430913209915
trial_1	placebo	46	KG00099121	Headache NOS	0.06223424896597862
trial_1	placebo	17	KG00097991	Asthenia NOS	0.059601061046123505
trial_1	placebo	9	KG00098432	Confusion NOS	0.05947847291827202
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05588262155652046
trial_1	placebo	68	KG00099901	nauseas	0.050911594182252884
trial_1	placebo	123	KG00099351	hypokalaemia	0.04534696415066719
trial_1	placebo	20	KG00098540	dehydration	0.04329287260770798
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04318442568182945
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.04304156452417374
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04301237687468529
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.042980216443538666
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03939781337976456
trial_1	placebo	77	KG00098450	Constipation NOS	0.03920187056064606
trial_1	placebo	126	KG00100076	Pain NOS	0.038919661194086075
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03623358532786369
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03384533151984215
trial_1	placebo	21	KG00098675	dyspnoea	0.03290547430515289
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03114672750234604
trial_1	placebo	114	KG00098933	fevers	0.03056301921606064
trial_1	placebo	228	KG00114657	Weight below normal	0.030158914625644684
trial_1	placebo	121	KG00099190	haemorrhage	0.029104502871632576
trial_1	placebo	86	KG00098565	Depression, Mental	0.026758234947919846
trial_1	placebo	180	KG00099363	Hypotension NOS	0.026350166648626328
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.025950733572244644
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.025718599557876587
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02560131438076496
