trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.09934737533330917
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08885451406240463
trial_1	placebo	9	KG00098432	Confusion NOS	0.07845217734575272
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07489540427923203
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.060272976756095886
trial_1	placebo	123	KG00099351	hypokalaemia	0.05643168464303017
trial_1	placebo	177	KG00099299	hyperglycaemia	0.05613638833165169
trial_1	placebo	21	KG00098675	dyspnoea	0.05393112823367119
trial_1	placebo	20	KG00098540	dehydration	0.05374521389603615
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05055266246199608
trial_1	placebo	77	KG00098450	Constipation NOS	0.04828152805566788
trial_1	placebo	46	KG00099121	Headache NOS	0.04814581573009491
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.048056017607450485
trial_1	placebo	85	KG00098474	coughs	0.04543844982981682
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.045366764068603516
trial_1	placebo	114	KG00098933	fevers	0.0397103987634182
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03790140524506569
trial_1	placebo	14	KG00097852	Anemia NOS	0.03564581274986267
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03511307016015053
trial_1	placebo	228	KG00114657	Weight below normal	0.034873951226472855
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.033830832690000534
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03151531517505646
trial_1	placebo	126	KG00100076	Pain NOS	0.03123006783425808
trial_1	placebo	86	KG00098565	Depression, Mental	0.029977351427078247
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.02922656014561653
trial_1	placebo	68	KG00099901	nauseas	0.029183808714151382
trial_1	placebo	29	KG00099354	hyponatraemia	0.028855063021183014
trial_1	placebo	300	KG00101064	xerostomia	0.02884758822619915
trial_1	placebo	234	KG00098669	dysgeusias	0.027771130204200745
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.027316864579916
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.027233708649873734
trial_1	placebo	180	KG00099363	Hypotension NOS	0.027020154520869255
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.025713445618748665
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02536013536155224
trial_1	placebo	104	KG00097963	arthralgias	0.02527100220322609
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02506095916032791
trial_1	placebo	96	KG00101679	Unattended death NOS	0.024753214791417122
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.024626227095723152
trial_1	placebo	136	KG00101582	Dry;skin	0.02419428341090679
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.023982390761375427
trial_1	placebo	102	KG00097916	anxieties	0.023893477395176888
