trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	132	KG00101045	Gain, Weight	0.22918358445167542
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1784401834011078
trial_1	placebo	17	KG00097991	Asthenia NOS	0.15132281184196472
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13589729368686676
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12690439820289612
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11998824775218964
trial_1	placebo	86	KG00098565	Depression, Mental	0.11595869809389114
trial_1	placebo	77	KG00098450	Constipation NOS	0.11107645183801651
trial_1	placebo	9	KG00098432	Confusion NOS	0.10981959849596024
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.10569052398204803
trial_1	placebo	20	KG00098540	dehydration	0.0940307155251503
trial_1	placebo	87	KG00098599	diarrhoea	0.09095928817987442
trial_1	placebo	21	KG00098675	dyspnoea	0.08949754387140274
trial_1	placebo	66	KG00098642	drowsiness	0.07744085043668747
trial_1	placebo	242	KG00100855	tremors	0.07724939286708832
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07719719409942627
trial_1	placebo	783	KG00106735	Acathisia	0.07515096664428711
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07286866754293442
trial_1	placebo	104	KG00097963	arthralgias	0.06875734776258469
trial_1	placebo	262	KG00101199	agitation	0.0650535374879837
trial_1	placebo	228	KG00114657	Weight below normal	0.06205042451620102
trial_1	placebo	123	KG00099351	hypokalaemia	0.06015787646174431
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.059263721108436584
trial_1	placebo	85	KG00098474	coughs	0.05864574760198593
trial_1	placebo	29	KG00099354	hyponatraemia	0.05757851153612137
trial_1	placebo	96	KG00101679	Unattended death NOS	0.057168591767549515
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05698072910308838
trial_1	placebo	46	KG00099121	Headache NOS	0.05587274581193924
trial_1	placebo	102	KG00097916	anxieties	0.05573677271604538
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05570688843727112
trial_1	placebo	466	KG00101205	fall	0.05557259917259216
trial_1	placebo	180	KG00099363	Hypotension NOS	0.0542973056435585
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.052757468074560165
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05244237184524536
