trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.2992195785045624
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.24203050136566162
trial_1	placebo	123	KG00099351	hypokalaemia	0.18872323632240295
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.161020427942276
trial_1	placebo	68	KG00099901	nauseas	0.1490955501794815
trial_1	placebo	17	KG00097991	Asthenia NOS	0.14554494619369507
trial_1	placebo	20	KG00098540	dehydration	0.14548899233341217
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.14039346575737
trial_1	placebo	46	KG00099121	Headache NOS	0.13850435614585876
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.1373773217201233
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13447022438049316
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.13377997279167175
trial_1	placebo	177	KG00099299	hyperglycaemia	0.13074709475040436
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.12846806645393372
trial_1	placebo	9	KG00098432	Confusion NOS	0.12689001858234406
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1261550784111023
trial_1	placebo	77	KG00098450	Constipation NOS	0.11742182821035385
trial_1	placebo	21	KG00098675	dyspnoea	0.11645306646823883
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.11244828999042511
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.10912176221609116
trial_1	placebo	228	KG00114657	Weight below normal	0.10467798262834549
trial_1	placebo	72	KG00103771	myalgias	0.10211705416440964
trial_1	placebo	350	KG00106765	decreased platelet count	0.09994900226593018
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09888827055692673
trial_1	placebo	114	KG00098933	fevers	0.09843874722719193
trial_1	placebo	101	KG00097901	Anorexia NOS	0.09456983953714371
trial_1	placebo	104	KG00097963	arthralgias	0.0895155668258667
trial_1	placebo	239	KG00100128	pareses	0.08937472850084305
trial_1	placebo	14	KG00097852	Anemia NOS	0.08891013264656067
trial_1	placebo	5	KG00099169	haematuria	0.08686796575784683
trial_1	placebo	27	KG00099303	hyperkalaemia	0.08389376103878021
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08312983065843582
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08288198709487915
trial_1	placebo	126	KG00100076	Pain NOS	0.08273722976446152
trial_1	placebo	179	KG00099342	hypocalcaemia	0.08093467354774475
trial_1	placebo	29	KG00099354	hyponatraemia	0.07701998203992844
trial_1	placebo	85	KG00098474	coughs	0.07267128676176071
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.07060345262289047
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06787010282278061
trial_1	placebo	18	KG00098307	Pain, Chest	0.06784943491220474
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.06765316426753998
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.06707378476858139
trial_1	placebo	147	KG00098000	atelectases	0.06658449023962021
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.06613442301750183
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.0660882368683815
trial_1	placebo	191	KG00104055	Biliverdin increased	0.06511086970567703
trial_1	placebo	282	KG00099309	hypernatraemia	0.06475600600242615
trial_1	placebo	116	KG00098964	Pain in foot	0.06422805041074753
trial_1	placebo	86	KG00098565	Depression, Mental	0.06414413452148438
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06397537142038345
trial_1	placebo	28	KG00099347	hypoglycaemia	0.06141752377152443
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.06041298061609268
trial_1	placebo	69	KG00100082	Palpitations NOS	0.060136809945106506
trial_1	placebo	102	KG00097916	anxieties	0.05959068238735199
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.05891263484954834
