trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.26217299699783325
trial_1	placebo	68	KG00099901	nauseas	0.1893574595451355
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1852446347475052
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1794537454843521
trial_1	placebo	177	KG00099299	hyperglycaemia	0.15641431510448456
trial_1	placebo	9	KG00098432	Confusion NOS	0.1498740017414093
trial_1	placebo	20	KG00098540	dehydration	0.14774075150489807
trial_1	placebo	123	KG00099351	hypokalaemia	0.1464332640171051
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1376384049654007
trial_1	placebo	46	KG00099121	Headache NOS	0.13725057244300842
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.12520280480384827
trial_1	placebo	77	KG00098450	Constipation NOS	0.12327242642641068
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.12055843323469162
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11854346841573715
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.1111522763967514
trial_1	placebo	21	KG00098675	dyspnoea	0.11058305203914642
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.1075783222913742
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.10247170180082321
trial_1	placebo	101	KG00097901	Anorexia NOS	0.10223584622144699
trial_1	placebo	350	KG00106765	decreased platelet count	0.09717097878456116
trial_1	placebo	228	KG00114657	Weight below normal	0.09574350714683533
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.08237574249505997
trial_1	placebo	82	KG00097697	abdomen distended	0.0810561329126358
trial_1	placebo	14	KG00097852	Anemia NOS	0.08102748543024063
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07674993574619293
trial_1	placebo	29	KG00099354	hyponatraemia	0.07626283168792725
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.07249639928340912
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.07138489186763763
trial_1	placebo	239	KG00100128	pareses	0.06956995278596878
trial_1	placebo	126	KG00100076	Pain NOS	0.06896373629570007
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06843850016593933
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06681513041257858
trial_1	placebo	114	KG00098933	fevers	0.06662006676197052
trial_1	placebo	86	KG00098565	Depression, Mental	0.06534548848867416
trial_1	placebo	179	KG00099342	hypocalcaemia	0.06198248267173767
trial_1	placebo	102	KG00097916	anxieties	0.06061917915940285
trial_1	placebo	27	KG00099303	hyperkalaemia	0.05945141613483429
trial_1	placebo	5	KG00099169	haematuria	0.05856499448418617
trial_1	placebo	104	KG00097963	arthralgias	0.058006297796964645
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05593935400247574
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05580082908272743
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.055027201771736145
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0547286681830883
trial_1	placebo	85	KG00098474	coughs	0.054133787751197815
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05219036340713501
trial_1	placebo	72	KG00103771	myalgias	0.051211193203926086
trial_1	placebo	166	KG00099773	menopausal syndrome	0.050689805299043655
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.05062031373381615
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.05036705359816551
trial_1	placebo	116	KG00098964	Pain in foot	0.05026547610759735
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.048062264919281006
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.04787910357117653
trial_1	placebo	69	KG00100082	Palpitations NOS	0.04746050015091896
trial_1	placebo	164	KG00108827	ileus colon	0.04713085666298866
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.047017280012369156
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.04654039815068245
trial_1	placebo	147	KG00098000	atelectases	0.046482834964990616
trial_1	placebo	18	KG00098307	Pain, Chest	0.04642804339528084
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.045986201614141464
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04345804825425148
trial_1	placebo	466	KG00101205	fall	0.04320158064365387
trial_1	placebo	282	KG00099309	hypernatraemia	0.04272257909178734
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04154672473669052
trial_1	placebo	286	KG00101110	Retention, Urinary	0.04146546870470047
trial_1	placebo	96	KG00101679	Unattended death NOS	0.0413440577685833
trial_1	placebo	288	KG00101223	hypophosphataemia	0.04104610159993172
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.040323249995708466
trial_1	placebo	269	KG00100399	pyaemia	0.04020335525274277
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.039185330271720886
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03890807926654816
trial_1	placebo	132	KG00101045	Gain, Weight	0.03873729705810547
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03863748162984848
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03829753026366234
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.037853602319955826
trial_1	placebo	262	KG00101199	agitation	0.03681313619017601
trial_1	placebo	441	KG00098262	cellulitis nos	0.03673630207777023
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.03610480949282646
trial_1	placebo	186	KG00101431	creatinine increased	0.03509772568941116
trial_1	placebo	234	KG00098669	dysgeusias	0.03500073030591011
trial_1	placebo	508	KG00108565	blood glucose increased	0.03469173237681389
trial_1	placebo	211	KG00100341	Pruritus NOS	0.03468456119298935
trial_1	placebo	221	KG00101207	peripheral oedema	0.03400929272174835
