trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1693955361843109
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16609123349189758
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.12862619757652283
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12409999966621399
trial_1	placebo	21	KG00098675	dyspnoea	0.1194470003247261
trial_1	placebo	20	KG00098540	dehydration	0.11059638857841492
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10748552531003952
trial_1	placebo	123	KG00099351	hypokalaemia	0.10744458436965942
trial_1	placebo	9	KG00098432	Confusion NOS	0.09809885174036026
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09550319612026215
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09086962789297104
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09017223864793777
trial_1	placebo	46	KG00099121	Headache NOS	0.08978987485170364
trial_1	placebo	77	KG00098450	Constipation NOS	0.08003447204828262
trial_1	placebo	85	KG00098474	coughs	0.0795813724398613
trial_1	placebo	114	KG00098933	fevers	0.07876759767532349
trial_1	placebo	86	KG00098565	Depression, Mental	0.07797916233539581
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07703900337219238
trial_1	placebo	126	KG00100076	Pain NOS	0.07455676048994064
trial_1	placebo	68	KG00099901	nauseas	0.07234009355306625
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07043012976646423
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06970304995775223
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06797117739915848
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.06438900530338287
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06252560764551163
trial_1	placebo	211	KG00100341	Pruritus NOS	0.060643959790468216
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06038350611925125
trial_1	placebo	228	KG00114657	Weight below normal	0.06016579642891884
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05767003819346428
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.055973924696445465
trial_1	placebo	116	KG00098964	Pain in foot	0.05228956788778305
trial_1	placebo	14	KG00097852	Anemia NOS	0.05130307748913765
trial_1	placebo	104	KG00097963	arthralgias	0.050335951149463654
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04891901835799217
trial_1	placebo	5	KG00099169	haematuria	0.047648217529058456
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04614544287323952
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04557795822620392
trial_1	placebo	350	KG00106765	decreased platelet count	0.04524457827210426
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.045102208852767944
trial_1	placebo	72	KG00103771	myalgias	0.04482647404074669
trial_1	placebo	239	KG00100128	pareses	0.044147562235593796
trial_1	placebo	96	KG00101679	Unattended death NOS	0.042975082993507385
trial_1	placebo	29	KG00099354	hyponatraemia	0.04255548119544983
trial_1	placebo	136	KG00101582	Dry;skin	0.04160120710730553
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03964351490139961
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.039228782057762146
trial_1	placebo	102	KG00097916	anxieties	0.03893778845667839
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03859083727002144
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03836767002940178
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.03793427348136902
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03750326484441757
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03684062138199806
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03601901978254318
trial_1	placebo	456	KG00099420	Influenzae	0.03568785637617111
trial_1	placebo	18	KG00098307	Pain, Chest	0.03460348770022392
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.034488458186388016
trial_1	placebo	454	KG00098286	Pain, Neck	0.03424559533596039
trial_1	placebo	28	KG00099347	hypoglycaemia	0.034106723964214325
trial_1	placebo	99	KG00097728	acne; vulgaris	0.033449288457632065
trial_1	placebo	508	KG00108565	blood glucose increased	0.03332957997918129
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.03328944370150566
