trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14876599609851837
trial_1	placebo	9	KG00098432	Confusion NOS	0.07189016789197922
trial_1	placebo	123	KG00099351	hypokalaemia	0.06379193067550659
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06333427131175995
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.060476917773485184
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05657501891255379
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05494539812207222
trial_1	placebo	21	KG00098675	dyspnoea	0.052884429693222046
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.052192773669958115
trial_1	placebo	49	KG00099902	nausea with vomiting	0.050838712602853775
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04942333325743675
trial_1	placebo	68	KG00099901	nauseas	0.04769293963909149
trial_1	placebo	46	KG00099121	Headache NOS	0.046912357211112976
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04545266926288605
trial_1	placebo	20	KG00098540	dehydration	0.043125640600919724
trial_1	placebo	14	KG00097852	Anemia NOS	0.04295337572693825
trial_1	placebo	77	KG00098450	Constipation NOS	0.041480716317892075
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03710241988301277
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03697032108902931
trial_1	placebo	126	KG00100076	Pain NOS	0.03487454727292061
trial_1	placebo	114	KG00098933	fevers	0.03418601676821709
trial_1	placebo	228	KG00114657	Weight below normal	0.031895752996206284
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03089483082294464
trial_1	placebo	85	KG00098474	coughs	0.029014496132731438
trial_1	placebo	101	KG00097901	Anorexia NOS	0.028844285756349564
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.028500668704509735
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02765432745218277
trial_1	placebo	5	KG00099169	haematuria	0.027599189430475235
trial_1	placebo	104	KG00097963	arthralgias	0.027028799057006836
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02682602033019066
trial_1	placebo	18	KG00098307	Pain, Chest	0.026703741401433945
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.026144256815314293
trial_1	placebo	350	KG00106765	decreased platelet count	0.026084987446665764
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.025973578914999962
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.025471674278378487
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.02530546486377716
trial_1	placebo	29	KG00099354	hyponatraemia	0.02437666431069374
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.023914912715554237
trial_1	placebo	86	KG00098565	Depression, Mental	0.023186231032013893
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.023133892565965652
trial_1	placebo	72	KG00103771	myalgias	0.022941071540117264
trial_1	placebo	96	KG00101679	Unattended death NOS	0.022454001009464264
trial_1	placebo	147	KG00098000	atelectases	0.021678129211068153
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021585505455732346
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02152199111878872
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.021370230242609978
trial_1	placebo	121	KG00099190	haemorrhage	0.02092304453253746
trial_1	placebo	234	KG00098669	dysgeusias	0.020765220746397972
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02044924534857273
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02018110454082489
trial_1	placebo	191	KG00104055	Biliverdin increased	0.020073290914297104
trial_1	placebo	82	KG00097697	abdomen distended	0.019868463277816772
trial_1	placebo	239	KG00100128	pareses	0.01960505172610283
trial_1	placebo	441	KG00098262	cellulitis nos	0.019346551969647408
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.01920170523226261
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.018638981506228447
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01850295066833496
trial_1	placebo	269	KG00100399	pyaemia	0.01840176060795784
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.018282601609826088
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.01811235211789608
trial_1	placebo	69	KG00100082	Palpitations NOS	0.01809893734753132
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.017573731020092964
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.01717725582420826
trial_1	placebo	4	KG00098817	epistaxis	0.017085373401641846
trial_1	placebo	179	KG00099342	hypocalcaemia	0.016982492059469223
trial_1	placebo	186	KG00101431	creatinine increased	0.016868628561496735
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.016782177612185478
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.016697045415639877
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.016546284779906273
trial_1	placebo	116	KG00098964	Pain in foot	0.016544625163078308
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.01602664217352867
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.015884187072515488
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.015211575664579868
trial_1	placebo	211	KG00100341	Pruritus NOS	0.014843610115349293
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.014808631502091885
trial_1	placebo	136	KG00101582	Dry;skin	0.014728094451129436
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0146668441593647
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.014614743180572987
trial_1	placebo	154	KG00099686	Lymphopenias	0.014456267468631268
trial_1	placebo	466	KG00101205	fall	0.014450004324316978
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.014314615167677402
trial_1	placebo	118	KG00099011	Gastritis NOS	0.014249171130359173
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.013910140842199326
trial_1	placebo	102	KG00097916	anxieties	0.013648916967213154
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.013536610640585423
trial_1	placebo	132	KG00101045	Gain, Weight	0.013488678261637688
trial_1	placebo	11	KG00097993	Asthma NOS	0.013391482643783092
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.013315853662788868
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.013308219611644745
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.013193648308515549
trial_1	placebo	221	KG00101207	peripheral oedema	0.013096477836370468
trial_1	placebo	286	KG00101110	Retention, Urinary	0.013008925132453442
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.01293351873755455
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.012830300256609917
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.012064862996339798
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.011963707394897938
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.01196112111210823
trial_1	placebo	164	KG00108827	ileus colon	0.011944609694182873
trial_1	placebo	503	KG00102612	low haemoglobin	0.011942691169679165
trial_1	placebo	257	KG00100922	Erythema NOS	0.011690013110637665
trial_2	meloxicam	87	KG00098599	diarrhoea	0.14876599609851837
trial_2	meloxicam	9	KG00098432	Confusion NOS	0.07189016789197922
trial_2	meloxicam	123	KG00099351	hypokalaemia	0.06379193067550659
trial_2	meloxicam	17	KG00097991	Asthenia NOS	0.06333427131175995
trial_2	meloxicam	173	KG00098172	Bronchopneumonia NOS	0.060476917773485184
trial_2	meloxicam	67	KG00098673	Dyspepsia, NOS	0.05657501891255379
trial_2	meloxicam	78	KG00099326	Hypertensive diseases	0.05494539812207222
trial_2	meloxicam	21	KG00098675	dyspnoea	0.052884429693222046
trial_2	meloxicam	64	KG00097734	Acrodermatitis, NOS	0.052192773669958115
trial_2	meloxicam	49	KG00099902	nausea with vomiting	0.050838712602853775
trial_2	meloxicam	37	KG00097696	Cramps, Abdominal	0.04942333325743675
trial_2	meloxicam	68	KG00099901	nauseas	0.04769293963909149
trial_2	meloxicam	46	KG00099121	Headache NOS	0.046912357211112976
trial_2	meloxicam	177	KG00099299	hyperglycaemia	0.04545266926288605
trial_2	meloxicam	20	KG00098540	dehydration	0.043125640600919724
trial_2	meloxicam	14	KG00097852	Anemia NOS	0.04295337572693825
trial_2	meloxicam	77	KG00098450	Constipation NOS	0.041480716317892075
trial_2	meloxicam	2	KG00100772	thrombocytopaenia	0.03710241988301277
trial_2	meloxicam	189	KG00101580	Alanine aminotransferase increase	0.03697032108902931
trial_2	meloxicam	126	KG00100076	Pain NOS	0.03487454727292061
trial_2	meloxicam	114	KG00098933	fevers	0.03418601676821709
trial_2	meloxicam	228	KG00114657	Weight below normal	0.031895752996206284
trial_2	meloxicam	151	KG00098274	Infarction, Cerebral	0.03089483082294464
trial_2	meloxicam	85	KG00098474	coughs	0.029014496132731438
trial_2	meloxicam	101	KG00097901	Anorexia NOS	0.028844285756349564
trial_2	meloxicam	188	KG00101579	Aspartate aminotransferase increase	0.028500668704509735
trial_2	meloxicam	396	KG00100373	Embolism, Pulmonary	0.02765432745218277
trial_2	meloxicam	5	KG00099169	haematuria	0.027599189430475235
trial_2	meloxicam	104	KG00097963	arthralgias	0.027028799057006836
trial_2	meloxicam	200	KG00098539	Disorders, Deglutition	0.02682602033019066
trial_2	meloxicam	18	KG00098307	Pain, Chest	0.026703741401433945
trial_2	meloxicam	61	KG00099501	Chronic Kidney Failure	0.026144256815314293
trial_2	meloxicam	350	KG00106765	decreased platelet count	0.026084987446665764
trial_2	meloxicam	76	KG00100450	Respiratory insufficiency, NOS	0.025973578914999962
trial_2	meloxicam	30	KG00099500	Acute Kidney Failure	0.025471674278378487
trial_2	meloxicam	79	KG00100317	Insomnia, Primary	0.02530546486377716
trial_2	meloxicam	29	KG00099354	hyponatraemia	0.02437666431069374
trial_2	meloxicam	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.023914912715554237
trial_2	meloxicam	86	KG00098565	Depression, Mental	0.023186231032013893
trial_2	meloxicam	243	KG00100947	Micturition frequency increased	0.023133892565965652
trial_2	meloxicam	72	KG00103771	myalgias	0.022941071540117264
trial_2	meloxicam	96	KG00101679	Unattended death NOS	0.022454001009464264
trial_2	meloxicam	147	KG00098000	atelectases	0.021678129211068153
trial_2	meloxicam	131	KG00100948	Urinary tract infection (& [NOS])	0.021585505455732346
trial_2	meloxicam	28	KG00099347	hypoglycaemia	0.02152199111878872
trial_2	meloxicam	142	KG00100923	Unspecified infectious and parasitic diseases	0.021370230242609978
trial_2	meloxicam	121	KG00099190	haemorrhage	0.02092304453253746
trial_2	meloxicam	234	KG00098669	dysgeusias	0.020765220746397972
trial_2	meloxicam	361	KG00098004	Fibrillation, Atrial	0.02044924534857273
trial_2	meloxicam	180	KG00099363	Hypotension NOS	0.02018110454082489
trial_2	meloxicam	191	KG00104055	Biliverdin increased	0.020073290914297104
trial_2	meloxicam	82	KG00097697	abdomen distended	0.019868463277816772
trial_2	meloxicam	239	KG00100128	pareses	0.01960505172610283
trial_2	meloxicam	441	KG00098262	cellulitis nos	0.019346551969647408
trial_2	meloxicam	144	KG00099610	Leukopenia NOS	0.01920170523226261
trial_2	meloxicam	130	KG00100683	Stomatitis NOS	0.018638981506228447
trial_2	meloxicam	194	KG00110727	Neutrophil Count Decreased	0.01850295066833496
trial_2	meloxicam	269	KG00100399	pyaemia	0.01840176060795784
trial_2	meloxicam	139	KG00098855	Sinusitis, Ethmoid	0.018282601609826088
trial_2	meloxicam	204	KG00098849	Esophagitis, Peptic	0.01811235211789608
trial_2	meloxicam	69	KG00100082	Palpitations NOS	0.01809893734753132
trial_2	meloxicam	138	KG00098796	epidemic vomiting syndrome	0.017573731020092964
trial_2	meloxicam	261	KG00101559	raised alkaline phosphatase	0.01717725582420826
trial_2	meloxicam	4	KG00098817	epistaxis	0.017085373401641846
trial_2	meloxicam	179	KG00099342	hypocalcaemia	0.016982492059469223
trial_2	meloxicam	186	KG00101431	creatinine increased	0.016868628561496735
trial_2	meloxicam	75	KG00100195	Dolens, Phlegmasia Alba	0.016782177612185478
trial_2	meloxicam	98	KG00097718	Incised wound, NOS	0.016697045415639877
trial_2	meloxicam	122	KG00099321	Hypersensitivity NOS	0.016546284779906273
