trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18849362432956696
trial_1	placebo	87	KG00098599	diarrhoea	0.16064627468585968
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14174899458885193
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13006435334682465
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12588295340538025
trial_1	placebo	9	KG00098432	Confusion NOS	0.11471733450889587
trial_1	placebo	123	KG00099351	hypokalaemia	0.11145474016666412
trial_1	placebo	21	KG00098675	dyspnoea	0.10407697409391403
trial_1	placebo	14	KG00097852	Anemia NOS	0.10260085016489029
trial_1	placebo	46	KG00099121	Headache NOS	0.09385689347982407
trial_1	placebo	20	KG00098540	dehydration	0.09370768070220947
trial_1	placebo	68	KG00099901	nauseas	0.09220170974731445
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09116458147764206
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.09010548144578934
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08503817766904831
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08415022492408752
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08127439022064209
trial_1	placebo	77	KG00098450	Constipation NOS	0.08016351610422134
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07902073115110397
trial_1	placebo	228	KG00114657	Weight below normal	0.07594145834445953
trial_1	placebo	350	KG00106765	decreased platelet count	0.0758465975522995
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07393410056829453
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0690656378865242
trial_1	placebo	29	KG00099354	hyponatraemia	0.0678030252456665
trial_1	placebo	114	KG00098933	fevers	0.06761059910058975
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06402607262134552
trial_1	placebo	180	KG00099363	Hypotension NOS	0.061583261936903
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.061503082513809204
trial_1	placebo	104	KG00097963	arthralgias	0.06138771027326584
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05971147492527962
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.05951729044318199
trial_1	placebo	86	KG00098565	Depression, Mental	0.05596861243247986
trial_1	placebo	239	KG00100128	pareses	0.055477436631917953
trial_1	placebo	85	KG00098474	coughs	0.054946787655353546
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05366789549589157
trial_1	placebo	126	KG00100076	Pain NOS	0.05327117070555687
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.052353668957948685
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04995327442884445
trial_1	placebo	72	KG00103771	myalgias	0.049551911652088165
trial_1	placebo	101	KG00097901	Anorexia NOS	0.047641538083553314
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04723880812525749
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04693104699254036
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04662679508328438
trial_1	placebo	5	KG00099169	haematuria	0.04434262961149216
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.04388437420129776
trial_1	placebo	147	KG00098000	atelectases	0.04327241703867912
trial_1	placebo	269	KG00100399	pyaemia	0.04293881356716156
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04287755861878395
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.041366416960954666
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04005628451704979
trial_1	placebo	116	KG00098964	Pain in foot	0.03999617323279381
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03967835754156113
trial_1	placebo	102	KG00097916	anxieties	0.039584409445524216
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.037694625556468964
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03671537712216377
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03562847152352333
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03462623432278633
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.034352898597717285
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.034255411475896835
trial_1	placebo	132	KG00101045	Gain, Weight	0.03395490348339081
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.03366110846400261
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03365207463502884
trial_1	placebo	18	KG00098307	Pain, Chest	0.033425018191337585
trial_1	placebo	154	KG00099686	Lymphopenias	0.03335939720273018
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03333049267530441
trial_1	placebo	262	KG00101199	agitation	0.03325187787413597
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.032785121351480484
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03277517855167389
trial_1	placebo	282	KG00099309	hypernatraemia	0.03258625045418739
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03256571292877197
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03239380568265915
