trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12562254071235657
trial_1	placebo	46	KG00099121	Headache NOS	0.08035172522068024
trial_1	placebo	9	KG00098432	Confusion NOS	0.08023369312286377
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07504445314407349
trial_1	placebo	21	KG00098675	dyspnoea	0.07364360243082047
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07071055471897125
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0693059116601944
trial_1	placebo	77	KG00098450	Constipation NOS	0.0674036294221878
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06180412694811821
trial_1	placebo	123	KG00099351	hypokalaemia	0.05856254696846008
trial_1	placebo	87	KG00098599	diarrhoea	0.05381559580564499
trial_1	placebo	20	KG00098540	dehydration	0.053153377026319504
trial_1	placebo	49	KG00099902	nausea with vomiting	0.05260251834988594
trial_1	placebo	85	KG00098474	coughs	0.04832332581281662
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04774137958884239
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04693421721458435
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0468805693089962
trial_1	placebo	68	KG00099901	nauseas	0.04588639736175537
trial_1	placebo	14	KG00097852	Anemia NOS	0.044796496629714966
trial_1	placebo	114	KG00098933	fevers	0.04414484277367592
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.042197730392217636
trial_1	placebo	104	KG00097963	arthralgias	0.04045071452856064
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.039762385189533234
trial_1	placebo	18	KG00098307	Pain, Chest	0.03963780775666237
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0393340066075325
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.0392487607896328
trial_1	placebo	126	KG00100076	Pain NOS	0.03898416459560394
trial_1	placebo	350	KG00106765	decreased platelet count	0.037666045129299164
trial_1	placebo	86	KG00098565	Depression, Mental	0.03630150109529495
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03622270002961159
trial_1	placebo	166	KG00099773	menopausal syndrome	0.035817019641399384
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.035569433122873306
trial_1	placebo	116	KG00098964	Pain in foot	0.032495129853487015
trial_1	placebo	5	KG00099169	haematuria	0.03211788088083267
trial_1	placebo	180	KG00099363	Hypotension NOS	0.031751036643981934
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03131303936243057
trial_1	placebo	29	KG00099354	hyponatraemia	0.030677134171128273
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.028522124513983727
trial_1	placebo	132	KG00101045	Gain, Weight	0.02845168113708496
trial_1	placebo	96	KG00101679	Unattended death NOS	0.0280892476439476
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.026918817311525345
trial_1	placebo	72	KG00103771	myalgias	0.026816174387931824
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.026582974940538406
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.026151038706302643
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.025624122470617294
trial_1	placebo	239	KG00100128	pareses	0.025420501828193665
trial_1	placebo	147	KG00098000	atelectases	0.025416575372219086
trial_1	placebo	28	KG00099347	hypoglycaemia	0.025411123409867287
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02529240772128105
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02474159188568592
trial_1	placebo	82	KG00097697	abdomen distended	0.024341370910406113
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.023992199450731277
trial_1	placebo	228	KG00114657	Weight below normal	0.023758016526699066
trial_1	placebo	121	KG00099190	haemorrhage	0.023384928703308105
trial_1	placebo	11	KG00097993	Asthma NOS	0.023154953494668007
trial_1	placebo	102	KG00097916	anxieties	0.022731799632310867
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.022672997787594795
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.022663911804556847
trial_1	placebo	508	KG00108565	blood glucose increased	0.022386180236935616
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.02217673510313034
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.021627875044941902
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02111062780022621
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.020819682627916336
trial_1	placebo	286	KG00101110	Retention, Urinary	0.020752834156155586
trial_1	placebo	262	KG00101199	agitation	0.02063176780939102
trial_1	placebo	186	KG00101431	creatinine increased	0.02027081698179245
