trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.2303869128227234
trial_1	placebo	87	KG00098599	diarrhoea	0.20521683990955353
trial_1	placebo	9	KG00098432	Confusion NOS	0.1979764997959137
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1862107515335083
trial_1	placebo	177	KG00099299	hyperglycaemia	0.13743995130062103
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13327178359031677
trial_1	placebo	68	KG00099901	nauseas	0.13310310244560242
trial_1	placebo	21	KG00098675	dyspnoea	0.13293392956256866
trial_1	placebo	20	KG00098540	dehydration	0.13124647736549377
trial_1	placebo	46	KG00099121	Headache NOS	0.12526343762874603
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.1222938671708107
trial_1	placebo	49	KG00099902	nausea with vomiting	0.11766862869262695
trial_1	placebo	123	KG00099351	hypokalaemia	0.11738993972539902
trial_1	placebo	77	KG00098450	Constipation NOS	0.10975068062543869
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.096488356590271
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.09533681720495224
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09484760463237762
trial_1	placebo	14	KG00097852	Anemia NOS	0.09462864696979523
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.094442218542099
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0921861007809639
trial_1	placebo	228	KG00114657	Weight below normal	0.08812425285577774
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08715077489614487
trial_1	placebo	104	KG00097963	arthralgias	0.07907306402921677
trial_1	placebo	85	KG00098474	coughs	0.07697593420743942
trial_1	placebo	86	KG00098565	Depression, Mental	0.07256783545017242
trial_1	placebo	239	KG00100128	pareses	0.0724712535738945
trial_1	placebo	29	KG00099354	hyponatraemia	0.07240518927574158
trial_1	placebo	114	KG00098933	fevers	0.07038729637861252
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07026735693216324
trial_1	placebo	350	KG00106765	decreased platelet count	0.07001076638698578
trial_1	placebo	126	KG00100076	Pain NOS	0.06871631741523743
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06651319563388824
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06558087468147278
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06451014429330826
trial_1	placebo	5	KG00099169	haematuria	0.061979640275239944
trial_1	placebo	28	KG00099347	hypoglycaemia	0.061199851334095
