trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.19961592555046082
trial_1	placebo	87	KG00098599	diarrhoea	0.18582721054553986
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14506661891937256
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13928179442882538
trial_1	placebo	123	KG00099351	hypokalaemia	0.13664847612380981
trial_1	placebo	20	KG00098540	dehydration	0.12201511114835739
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10055910795927048
trial_1	placebo	21	KG00098675	dyspnoea	0.09700272977352142
trial_1	placebo	14	KG00097852	Anemia NOS	0.09670261293649673
trial_1	placebo	9	KG00098432	Confusion NOS	0.09305103868246078
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08970741927623749
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08822692185640335
trial_1	placebo	46	KG00099121	Headache NOS	0.0826205462217331
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07826907932758331
trial_1	placebo	77	KG00098450	Constipation NOS	0.07653292268514633
trial_1	placebo	68	KG00099901	nauseas	0.07569257915019989
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07438494265079498
trial_1	placebo	228	KG00114657	Weight below normal	0.07162364572286606
trial_1	placebo	350	KG00106765	decreased platelet count	0.0704677477478981
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07031337171792984
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06993431597948074
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06988757848739624
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06969130784273148
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06867025792598724
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06607107818126678
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06506506353616714
trial_1	placebo	114	KG00098933	fevers	0.06160452216863632
trial_1	placebo	29	KG00099354	hyponatraemia	0.05949623882770538
trial_1	placebo	126	KG00100076	Pain NOS	0.05809514597058296
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.05666036531329155
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05653218924999237
trial_1	placebo	27	KG00099303	hyperkalaemia	0.05373688414692879
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05315430834889412
trial_1	placebo	28	KG00099347	hypoglycaemia	0.052921682596206665
trial_1	placebo	86	KG00098565	Depression, Mental	0.05260384827852249
trial_1	placebo	85	KG00098474	coughs	0.052474793046712875
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05247032642364502
trial_1	placebo	179	KG00099342	hypocalcaemia	0.05163346230983734
trial_1	placebo	147	KG00098000	atelectases	0.05124305188655853
trial_1	placebo	104	KG00097963	arthralgias	0.049613773822784424
trial_1	placebo	5	KG00099169	haematuria	0.04829975217580795
trial_1	placebo	72	KG00103771	myalgias	0.0459272675216198
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.045682188123464584
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04510258883237839
trial_1	placebo	239	KG00100128	pareses	0.04487592726945877
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.04448091983795166
