trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.21639500558376312
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14944784343242645
trial_1	placebo	123	KG00099351	hypokalaemia	0.1409398764371872
trial_1	placebo	177	KG00099299	hyperglycaemia	0.13981324434280396
trial_1	placebo	20	KG00098540	dehydration	0.11992596089839935
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11735312640666962
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.10671684145927429
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10383656620979309
trial_1	placebo	21	KG00098675	dyspnoea	0.10047074407339096
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09724866598844528
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08926673978567123
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08918772637844086
trial_1	placebo	46	KG00099121	Headache NOS	0.08550558984279633
trial_1	placebo	228	KG00114657	Weight below normal	0.08392255008220673
trial_1	placebo	68	KG00099901	nauseas	0.08286397904157639
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.08257000148296356
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08127155154943466
trial_1	placebo	9	KG00098432	Confusion NOS	0.07820508629083633
trial_1	placebo	114	KG00098933	fevers	0.0776754692196846
trial_1	placebo	14	KG00097852	Anemia NOS	0.07683294266462326
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07654522359371185
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07581613957881927
trial_1	placebo	77	KG00098450	Constipation NOS	0.07278487086296082
trial_1	placebo	126	KG00100076	Pain NOS	0.06529203802347183
trial_1	placebo	350	KG00106765	decreased platelet count	0.06491288542747498
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06416972726583481
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0639963448047638
trial_1	placebo	29	KG00099354	hyponatraemia	0.06357746571302414
trial_1	placebo	85	KG00098474	coughs	0.06241116672754288
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.060938410460948944
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.060766905546188354
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.059534694999456406
trial_1	placebo	86	KG00098565	Depression, Mental	0.05757001414895058
trial_1	placebo	239	KG00100128	pareses	0.05622359365224838
trial_1	placebo	179	KG00099342	hypocalcaemia	0.056213486939668655
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05391582474112511
trial_1	placebo	147	KG00098000	atelectases	0.053730979561805725
trial_1	placebo	104	KG00097963	arthralgias	0.05218358337879181
trial_1	placebo	5	KG00099169	haematuria	0.05196482688188553
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.051132164895534515
trial_1	placebo	28	KG00099347	hypoglycaemia	0.050154268741607666
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04983099177479744
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.049228373914957047
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04873565211892128
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04863165318965912
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.04860154911875725
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04809084162116051
trial_1	placebo	27	KG00099303	hyperkalaemia	0.047968294471502304
trial_1	placebo	96	KG00101679	Unattended death NOS	0.047315046191215515
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.046073298901319504
trial_1	placebo	282	KG00099309	hypernatraemia	0.04547868296504021
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.04299042746424675
trial_1	placebo	72	KG00103771	myalgias	0.04119531065225601
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.04088543355464935
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04060268774628639
trial_1	placebo	102	KG00097916	anxieties	0.04036905989050865
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03996589034795761
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03861911967396736
trial_1	placebo	116	KG00098964	Pain in foot	0.038127511739730835
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.037985172122716904
trial_1	placebo	269	KG00100399	pyaemia	0.03795769438147545
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03712831810116768
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.035642869770526886
trial_1	placebo	82	KG00097697	abdomen distended	0.03549549728631973
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.034790024161338806
trial_1	placebo	18	KG00098307	Pain, Chest	0.03444717079401016
trial_1	placebo	212	KG00100576	shivers	0.034356798976659775
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03426362946629524
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.0339677631855011
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03334018960595131
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03316064551472664
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.033123403787612915
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.03278323635458946
trial_1	placebo	466	KG00101205	fall	0.0324956551194191
trial_1	placebo	441	KG00098262	cellulitis nos	0.03151634708046913
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.03151446953415871
trial_1	placebo	164	KG00108827	ileus colon	0.03148914873600006
trial_1	placebo	136	KG00101582	Dry;skin	0.03130591660737991
trial_1	placebo	211	KG00100341	Pruritus NOS	0.03119310736656189
trial_1	placebo	186	KG00101431	creatinine increased	0.030542956665158272
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.030421117320656776
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03025728091597557
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.029531478881835938
trial_1	placebo	154	KG00099686	Lymphopenias	0.02950037643313408
trial_1	placebo	262	KG00101199	agitation	0.029364578425884247
trial_1	placebo	454	KG00098286	Pain, Neck	0.029065372422337532
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.028952915221452713
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.02862229384481907
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.028507733717560768
trial_1	placebo	508	KG00108565	blood glucose increased	0.028104763478040695
trial_1	placebo	121	KG00099190	haemorrhage	0.027343064546585083
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.02713313326239586
trial_1	placebo	456	KG00099420	Influenzae	0.027084866538643837
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.026807179674506187
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.02654089592397213
trial_1	placebo	234	KG00098669	dysgeusias	0.026509597897529602
trial_1	placebo	153	KG00099579	lethargy	0.026198765262961388
trial_1	placebo	286	KG00101110	Retention, Urinary	0.025624370202422142
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.025071382522583008
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.02494646981358528
trial_2	miglustat	87	KG00098599	diarrhoea	0.21639500558376312
trial_2	miglustat	78	KG00099326	Hypertensive diseases	0.14944784343242645
trial_2	miglustat	123	KG00099351	hypokalaemia	0.1409398764371872
trial_2	miglustat	177	KG00099299	hyperglycaemia	0.13981324434280396
trial_2	miglustat	20	KG00098540	dehydration	0.11992596089839935
trial_2	miglustat	173	KG00098172	Bronchopneumonia NOS	0.11735312640666962
trial_2	miglustat	64	KG00097734	Acrodermatitis, NOS	0.10671684145927429
trial_2	miglustat	17	KG00097991	Asthenia NOS	0.10383656620979309
trial_2	miglustat	21	KG00098675	dyspnoea	0.10047074407339096
trial_2	miglustat	37	KG00097696	Cramps, Abdominal	0.09724866598844528
trial_2	miglustat	189	KG00101580	Alanine aminotransferase increase	0.08926673978567123
trial_2	miglustat	49	KG00099902	nausea with vomiting	0.08918772637844086
trial_2	miglustat	46	KG00099121	Headache NOS	0.08550558984279633
trial_2	miglustat	228	KG00114657	Weight below normal	0.08392255008220673
trial_2	miglustat	68	KG00099901	nauseas	0.08286397904157639
trial_2	miglustat	200	KG00098539	Disorders, Deglutition	0.08257000148296356
trial_2	miglustat	188	KG00101579	Aspartate aminotransferase increase	0.08127155154943466
trial_2	miglustat	9	KG00098432	Confusion NOS	0.07820508629083633
trial_2	miglustat	114	KG00098933	fevers	0.0776754692196846
trial_2	miglustat	14	KG00097852	Anemia NOS	0.07683294266462326
trial_2	miglustat	67	KG00098673	Dyspepsia, NOS	0.07654522359371185
trial_2	miglustat	2	KG00100772	thrombocytopaenia	0.07581613957881927
trial_2	miglustat	77	KG00098450	Constipation NOS	0.07278487086296082
trial_2	miglustat	126	KG00100076	Pain NOS	0.06529203802347183
trial_2	miglustat	350	KG00106765	decreased platelet count	0.06491288542747498
trial_2	miglustat	79	KG00100317	Insomnia, Primary	0.06416972726583481
trial_2	miglustat	101	KG00097901	Anorexia NOS	0.0639963448047638
trial_2	miglustat	29	KG00099354	hyponatraemia	0.06357746571302414
trial_2	miglustat	85	KG00098474	coughs	0.06241116672754288
trial_2	miglustat	122	KG00099321	Hypersensitivity NOS	0.060938410460948944
trial_2	miglustat	243	KG00100947	Micturition frequency increased	0.060766905546188354
trial_2	miglustat	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.059534694999456406
trial_2	miglustat	86	KG00098565	Depression, Mental	0.05757001414895058
trial_2	miglustat	239	KG00100128	pareses	0.05622359365224838
trial_2	miglustat	179	KG00099342	hypocalcaemia	0.056213486939668655
trial_2	miglustat	76	KG00100450	Respiratory insufficiency, NOS	0.05391582474112511
trial_2	miglustat	147	KG00098000	atelectases	0.053730979561805725
trial_2	miglustat	104	KG00097963	arthralgias	0.05218358337879181
trial_2	miglustat	5	KG00099169	haematuria	0.05196482688188553
trial_2	miglustat	194	KG00110727	Neutrophil Count Decreased	0.051132164895534515
trial_2	miglustat	28	KG00099347	hypoglycaemia	0.050154268741607666
trial_2	miglustat	139	KG00098855	Sinusitis, Ethmoid	0.04983099177479744
trial_2	miglustat	131	KG00100948	Urinary tract infection (& [NOS])	0.049228373914957047
trial_2	miglustat	61	KG00099501	Chronic Kidney Failure	0.04873565211892128
trial_2	miglustat	30	KG00099500	Acute Kidney Failure	0.04863165318965912
trial_2	miglustat	38	KG00098066	Binocular vision disorders	0.04860154911875725
trial_2	miglustat	151	KG00098274	Infarction, Cerebral	0.04809084162116051
trial_2	miglustat	27	KG00099303	hyperkalaemia	0.047968294471502304
trial_2	miglustat	96	KG00101679	Unattended death NOS	0.047315046191215515
trial_2	miglustat	355	KG00110857	lymphocyte count decreased	0.046073298901319504
trial_2	miglustat	282	KG00099309	hypernatraemia	0.04547868296504021
trial_2	miglustat	396	KG00100373	Embolism, Pulmonary	0.04299042746424675
trial_2	miglustat	72	KG00103771	myalgias	0.04119531065225601
trial_2	miglustat	261	KG00101559	raised alkaline phosphatase	0.04088543355464935
trial_2	miglustat	180	KG00099363	Hypotension NOS	0.04060268774628639
trial_2	miglustat	102	KG00097916	anxieties	0.04036905989050865
trial_2	miglustat	276	KG00099127	Arrest, Cardiac	0.03996589034795761
trial_2	miglustat	69	KG00100082	Palpitations NOS	0.03861911967396736
trial_2	miglustat	116	KG00098964	Pain in foot	0.038127511739730835
trial_2	miglustat	142	KG00100923	Unspecified infectious and parasitic diseases	0.037985172122716904
trial_2	miglustat	269	KG00100399	pyaemia	0.03795769438147545
trial_2	miglustat	191	KG00104055	Biliverdin increased	0.03712831810116768
trial_2	miglustat	36	KG00106434	Vision, Blurring Of	0.035642869770526886
trial_2	miglustat	82	KG00097697	abdomen distended	0.03549549728631973
trial_2	miglustat	35	KG00101507	hypomagnesaemia	0.034790024161338806
trial_2	miglustat	18	KG00098307	Pain, Chest	0.03444717079401016
trial_2	miglustat	212	KG00100576	shivers	0.034356798976659775
trial_2	miglustat	144	KG00099610	Leukopenia NOS	0.03426362946629524
trial_2	miglustat	341	KG00101472	Gamma-glutamyltransferase increased	0.0339677631855011
trial_2	miglustat	249	KG00104430	hypoalbuminaemia	0.03334018960595131
trial_2	miglustat	92	KG00100926	Infections, Upper Respiratory	0.03316064551472664
trial_2	miglustat	253	KG00100232	Pleural effusion NOS (disorder)	0.033123403787612915
trial_2	miglustat	1	KG00099959	Neutropenia NOS	0.03278323635458946
trial_2	miglustat	466	KG00101205	fall	0.0324956551194191
trial_2	miglustat	441	KG00098262	cellulitis nos	0.03151634708046913
trial_2	miglustat	75	KG00100195	Dolens, Phlegmasia Alba	0.03151446953415871
trial_2	miglustat	164	KG00108827	ileus colon	0.03148914873600006
trial_2	miglustat	136	KG00101582	Dry;skin	0.03130591660737991
trial_2	miglustat	211	KG00100341	Pruritus NOS	0.03119310736656189
trial_2	miglustat	186	KG00101431	creatinine increased	0.030542956665158272
trial_2	miglustat	97	KG00104198	LIVER ENZYME ELEVATED	0.030421117320656776
trial_2	miglustat	288	KG00101223	hypophosphataemia	0.03025728091597557
trial_2	miglustat	130	KG00100683	Stomatitis NOS	0.029531478881835938
trial_2	miglustat	154	KG00099686	Lymphopenias	0.02950037643313408
trial_2	miglustat	262	KG00101199	agitation	0.029364578425884247
trial_2	miglustat	454	KG00098286	Pain, Neck	0.029065372422337532
trial_2	miglustat	356	KG00112623	Infectious Lung Disorders	0.028952915221452713
trial_2	miglustat	138	KG00098796	epidemic vomiting syndrome	0.02862229384481907
trial_2	miglustat	195	KG00097814	Atopic Rhinitis	0.028507733717560768
trial_2	miglustat	508	KG00108565	blood glucose increased	0.028104763478040695
trial_2	miglustat	121	KG00099190	haemorrhage	0.027343064546585083
trial_2	miglustat	204	KG00098849	Esophagitis, Peptic	0.02713313326239586
trial_2	miglustat	456	KG00099420	Influenzae	0.027084866538643837
trial_2	miglustat	371	KG00098517	Cystitis (NOS)	0.026807179674506187
trial_2	miglustat	256	KG00100738	Tachycardia, Sinus	0.02654089592397213
trial_2	miglustat	234	KG00098669	dysgeusias	0.026509597897529602
trial_2	miglustat	153	KG00099579	lethargy	0.026198765262961388
trial_2	miglustat	286	KG00101110	Retention, Urinary	0.025624370202422142
trial_2	miglustat	494	KG00099838	Organ Failure, Multiple	0.025071382522583008
trial_2	miglustat	213	KG00100600	Infectious Skin Diseases	0.02494646981358528
