trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.42915651202201843
trial_1	placebo	123	KG00099351	hypokalaemia	0.1616465002298355
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.15827222168445587
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.15819920599460602
trial_1	placebo	17	KG00097991	Asthenia NOS	0.15297383069992065
trial_1	placebo	228	KG00114657	Weight below normal	0.14091069996356964
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.1385965794324875
trial_1	placebo	9	KG00098432	Confusion NOS	0.13130974769592285
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.12283281981945038
trial_1	placebo	68	KG00099901	nauseas	0.1182786300778389
trial_1	placebo	20	KG00098540	dehydration	0.11764220148324966
trial_1	placebo	46	KG00099121	Headache NOS	0.10948248952627182
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.1088663786649704
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10677867382764816
trial_1	placebo	21	KG00098675	dyspnoea	0.10543110221624374
trial_1	placebo	101	KG00097901	Anorexia NOS	0.10187078267335892
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09906740486621857
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0896935760974884
trial_1	placebo	136	KG00101582	Dry;skin	0.08710002899169922
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08388952910900116
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07809517532587051
trial_1	placebo	77	KG00098450	Constipation NOS	0.07315557450056076
trial_1	placebo	191	KG00104055	Biliverdin increased	0.07223942130804062
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07112125307321548
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.06504132598638535
trial_1	placebo	29	KG00099354	hyponatraemia	0.06469369679689407
trial_1	placebo	126	KG00100076	Pain NOS	0.06386938691139221
trial_1	placebo	239	KG00100128	pareses	0.06140781193971634
trial_1	placebo	85	KG00098474	coughs	0.06111703813076019
trial_1	placebo	234	KG00098669	dysgeusias	0.06094527989625931
trial_1	placebo	14	KG00097852	Anemia NOS	0.058974266052246094
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05839642509818077
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05796506628394127
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.05629434064030647
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.05569152534008026
trial_1	placebo	114	KG00098933	fevers	0.055307190865278244
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05210871621966362
trial_1	placebo	257	KG00100922	Erythema NOS	0.049896664917469025
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.049183767288923264
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.049070075154304504
trial_1	placebo	5	KG00099169	haematuria	0.0488651804625988
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04857991635799408
trial_1	placebo	350	KG00106765	decreased platelet count	0.04849393293261528
trial_1	placebo	300	KG00101064	xerostomia	0.048293281346559525
trial_1	placebo	211	KG00100341	Pruritus NOS	0.04747777059674263
trial_1	placebo	343	KG00102674	Eruptions, Acneiform	0.04747038707137108
trial_1	placebo	4	KG00098817	epistaxis	0.045829251408576965
trial_1	placebo	82	KG00097697	abdomen distended	0.045451823621988297
trial_1	placebo	104	KG00097963	arthralgias	0.04505523294210434
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04441355913877487
trial_1	placebo	18	KG00098307	Pain, Chest	0.04407912865281105
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04334414377808571
trial_1	placebo	86	KG00098565	Depression, Mental	0.0427117645740509
trial_1	placebo	102	KG00097916	anxieties	0.0416702963411808
trial_1	placebo	147	KG00098000	atelectases	0.04162536934018135
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04089264199137688
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.04062610864639282
trial_1	placebo	72	KG00103771	myalgias	0.04035559296607971
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.0403449609875679
trial_1	placebo	186	KG00101431	creatinine increased	0.04005692899227142
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03970375657081604
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03925884887576103
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03907408192753792
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.0386737659573555
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.0383976511657238
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.03712835535407066
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.036930885165929794
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03688395395874977
trial_1	placebo	69	KG00100082	Palpitations NOS	0.036841876804828644
trial_1	placebo	99	KG00097728	acne; vulgaris	0.03557132929563522
trial_1	placebo	441	KG00098262	cellulitis nos	0.03537573665380478
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.03508584201335907
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03472847118973732
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03394974395632744
trial_1	placebo	116	KG00098964	Pain in foot	0.03374391421675682
trial_1	placebo	121	KG00099190	haemorrhage	0.032854724675416946
trial_1	placebo	269	KG00100399	pyaemia	0.03272545337677002
trial_1	placebo	212	KG00100576	shivers	0.032575782388448715
trial_1	placebo	154	KG00099686	Lymphopenias	0.03239309415221214
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03222893550992012
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.03220290690660477
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.03196683153510094
trial_1	placebo	382	KG00099200	haemorrhoids	0.031127410009503365
trial_1	placebo	27	KG00099303	hyperkalaemia	0.030851781368255615
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03023114986717701
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.029945796355605125
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.029914265498518944
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.029651092365384102
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.029553795233368874
trial_1	placebo	94	KG00103829	abdominal discomfort	0.0294870063662529
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.02944396436214447
trial_1	placebo	100	KG00097815	alopecias	0.029352743178606033
trial_1	placebo	454	KG00098286	Pain, Neck	0.028302034363150597
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.028231926262378693
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.027632441371679306
trial_1	placebo	164	KG00108827	ileus colon	0.02686215750873089
