trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1665976345539093
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14420747756958008
trial_1	placebo	9	KG00098432	Confusion NOS	0.1345670372247696
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13011284172534943
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10745350271463394
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10547363758087158
trial_1	placebo	77	KG00098450	Constipation NOS	0.10476595163345337
trial_1	placebo	46	KG00099121	Headache NOS	0.10276702046394348
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10072687268257141
trial_1	placebo	21	KG00098675	dyspnoea	0.09788545966148376
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09369104355573654
trial_1	placebo	68	KG00099901	nauseas	0.09167017042636871
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08752772957086563
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08413563668727875
trial_1	placebo	20	KG00098540	dehydration	0.08009633421897888
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07888604700565338
trial_1	placebo	114	KG00098933	fevers	0.0776696503162384
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07752256840467453
trial_1	placebo	228	KG00114657	Weight below normal	0.07515718042850494
trial_1	placebo	123	KG00099351	hypokalaemia	0.07445450127124786
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07289287447929382
trial_1	placebo	14	KG00097852	Anemia NOS	0.07283902913331985
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06683848798274994
trial_1	placebo	85	KG00098474	coughs	0.060747887939214706
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0593896247446537
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05910306051373482
trial_1	placebo	104	KG00097963	arthralgias	0.059010766446590424
trial_1	placebo	126	KG00100076	Pain NOS	0.05807201936841011
trial_1	placebo	86	KG00098565	Depression, Mental	0.05773206800222397
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05701395869255066
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.055488333106040955
trial_1	placebo	350	KG00106765	decreased platelet count	0.0547432005405426
trial_1	placebo	72	KG00103771	myalgias	0.05182677507400513
trial_1	placebo	239	KG00100128	pareses	0.05036282539367676
trial_1	placebo	29	KG00099354	hyponatraemia	0.04848063364624977
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04808042198419571
trial_1	placebo	132	KG00101045	Gain, Weight	0.047750718891620636
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.046160727739334106
trial_1	placebo	102	KG00097916	anxieties	0.04602368548512459
trial_1	placebo	5	KG00099169	haematuria	0.045495036989450455
