trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3570963442325592
trial_1	placebo	123	KG00099351	hypokalaemia	0.2824874520301819
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.26051273941993713
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.22420483827590942
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.22068898379802704
trial_1	placebo	20	KG00098540	dehydration	0.19664086401462555
trial_1	placebo	21	KG00098675	dyspnoea	0.19452150166034698
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.186878964304924
trial_1	placebo	228	KG00114657	Weight below normal	0.17979146540164948
trial_1	placebo	49	KG00099902	nausea with vomiting	0.17053915560245514
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.16207751631736755
trial_1	placebo	177	KG00099299	hyperglycaemia	0.148224338889122
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1466764658689499
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.1457044780254364
trial_1	placebo	68	KG00099901	nauseas	0.143581360578537
trial_1	placebo	191	KG00104055	Biliverdin increased	0.13068409264087677
trial_1	placebo	29	KG00099354	hyponatraemia	0.12910209596157074
trial_1	placebo	46	KG00099121	Headache NOS	0.1285046637058258
trial_1	placebo	9	KG00098432	Confusion NOS	0.126959890127182
trial_1	placebo	101	KG00097901	Anorexia NOS	0.12494706362485886
trial_1	placebo	136	KG00101582	Dry;skin	0.12260504812002182
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.1151118054986
trial_1	placebo	179	KG00099342	hypocalcaemia	0.11113560944795609
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.10849230736494064
trial_1	placebo	126	KG00100076	Pain NOS	0.1067831814289093
trial_1	placebo	14	KG00097852	Anemia NOS	0.10648920387029648
trial_1	placebo	114	KG00098933	fevers	0.10158953815698624
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09887199848890305
trial_1	placebo	350	KG00106765	decreased platelet count	0.09870823472738266
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.09362848103046417
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.09207863360643387
trial_1	placebo	27	KG00099303	hyperkalaemia	0.09196265041828156
trial_1	placebo	121	KG00099190	haemorrhage	0.09143649786710739
trial_1	placebo	211	KG00100341	Pruritus NOS	0.08729821443557739
trial_1	placebo	257	KG00100922	Erythema NOS	0.08665261417627335
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.086326465010643
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.0854688510298729
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.08507378399372101
trial_1	placebo	28	KG00099347	hypoglycaemia	0.08479508012533188
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.0844833180308342
trial_1	placebo	77	KG00098450	Constipation NOS	0.08177869021892548
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.08138798177242279
trial_1	placebo	147	KG00098000	atelectases	0.08123239874839783
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.08054234832525253
trial_1	placebo	104	KG00097963	arthralgias	0.07806389033794403
trial_1	placebo	85	KG00098474	coughs	0.07553680986166
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07513786107301712
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.07412707060575485
trial_1	placebo	282	KG00099309	hypernatraemia	0.07378515601158142
trial_1	placebo	239	KG00100128	pareses	0.07358752191066742
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.07308566570281982
trial_1	placebo	288	KG00101223	hypophosphataemia	0.0722058117389679
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.07059002667665482
trial_1	placebo	18	KG00098307	Pain, Chest	0.0702781155705452
trial_1	placebo	343	KG00102674	Eruptions, Acneiform	0.06696280837059021
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.06654542684555054
trial_1	placebo	96	KG00101679	Unattended death NOS	0.06631962209939957
trial_1	placebo	5	KG00099169	haematuria	0.06554964184761047
trial_1	placebo	269	KG00100399	pyaemia	0.06543084979057312
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.06532835960388184
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.06497000902891159
trial_1	placebo	186	KG00101431	creatinine increased	0.06464885920286179
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.06399688869714737
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06339891254901886
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.06252270191907883
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.062184952199459076
trial_1	placebo	154	KG00099686	Lymphopenias	0.06217751279473305
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.06180915609002113
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.061637215316295624
trial_1	placebo	82	KG00097697	abdomen distended	0.06159637123346329
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.06043865531682968
trial_1	placebo	86	KG00098565	Depression, Mental	0.05975397303700447
trial_1	placebo	72	KG00103771	myalgias	0.05828973278403282
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.05760513246059418
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.057175204157829285
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.05623213201761246
trial_1	placebo	212	KG00100576	shivers	0.0556056909263134
trial_1	placebo	382	KG00099200	haemorrhoids	0.05447204038500786
trial_1	placebo	102	KG00097916	anxieties	0.05409763753414154
trial_1	placebo	441	KG00098262	cellulitis nos	0.053146738559007645
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.05215742439031601
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.05199042335152626
trial_1	placebo	286	KG00101110	Retention, Urinary	0.049931202083826065
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.048563335090875626
trial_1	placebo	22	KG00098705	Edema (NOS)	0.047738708555698395
trial_1	placebo	116	KG00098964	Pain in foot	0.04734158515930176
trial_1	placebo	255	KG00099909	Necrotic debris, NOS	0.046867627650499344
trial_1	placebo	164	KG00108827	ileus colon	0.046730171889066696
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.04627618566155434
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.045682165771722794
trial_1	placebo	100	KG00097815	alopecias	0.04490669444203377
trial_1	placebo	466	KG00101205	fall	0.04453684389591217
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.044213246554136276
trial_1	placebo	4	KG00098817	epistaxis	0.04378150403499603
trial_1	placebo	124	KG00099369	hypothyroidisms	0.043762750923633575
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.04351329058408737
trial_1	placebo	263	KG00101519	Ischemia, Myocardial	0.042869891971349716
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.042778097093105316
trial_1	placebo	99	KG00097728	acne; vulgaris	0.04251919314265251
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.04204029217362404
trial_2	nilotinib	87	KG00098599	diarrhoea	0.3570963442325592
trial_2	nilotinib	123	KG00099351	hypokalaemia	0.2824874520301819
trial_2	nilotinib	64	KG00097734	Acrodermatitis, NOS	0.26051273941993713
trial_2	nilotinib	78	KG00099326	Hypertensive diseases	0.22420483827590942
trial_2	nilotinib	189	KG00101580	Alanine aminotransferase increase	0.22068898379802704
trial_2	nilotinib	20	KG00098540	dehydration	0.19664086401462555
trial_2	nilotinib	21	KG00098675	dyspnoea	0.19452150166034698
trial_2	nilotinib	188	KG00101579	Aspartate aminotransferase increase	0.186878964304924
trial_2	nilotinib	228	KG00114657	Weight below normal	0.17979146540164948
trial_2	nilotinib	49	KG00099902	nausea with vomiting	0.17053915560245514
trial_2	nilotinib	173	KG00098172	Bronchopneumonia NOS	0.16207751631736755
trial_2	nilotinib	177	KG00099299	hyperglycaemia	0.148224338889122
trial_2	nilotinib	17	KG00097991	Asthenia NOS	0.1466764658689499
trial_2	nilotinib	67	KG00098673	Dyspepsia, NOS	0.1457044780254364
trial_2	nilotinib	68	KG00099901	nauseas	0.143581360578537
trial_2	nilotinib	191	KG00104055	Biliverdin increased	0.13068409264087677
trial_2	nilotinib	29	KG00099354	hyponatraemia	0.12910209596157074
trial_2	nilotinib	46	KG00099121	Headache NOS	0.1285046637058258
trial_2	nilotinib	9	KG00098432	Confusion NOS	0.126959890127182
trial_2	nilotinib	101	KG00097901	Anorexia NOS	0.12494706362485886
trial_2	nilotinib	136	KG00101582	Dry;skin	0.12260504812002182
trial_2	nilotinib	200	KG00098539	Disorders, Deglutition	0.1151118054986
trial_2	nilotinib	179	KG00099342	hypocalcaemia	0.11113560944795609
trial_2	nilotinib	2	KG00100772	thrombocytopaenia	0.10849230736494064
trial_2	nilotinib	126	KG00100076	Pain NOS	0.1067831814289093
trial_2	nilotinib	14	KG00097852	Anemia NOS	0.10648920387029648
trial_2	nilotinib	114	KG00098933	fevers	0.10158953815698624
trial_2	nilotinib	37	KG00097696	Cramps, Abdominal	0.09887199848890305
trial_2	nilotinib	350	KG00106765	decreased platelet count	0.09870823472738266
trial_2	nilotinib	261	KG00101559	raised alkaline phosphatase	0.09362848103046417
trial_2	nilotinib	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.09207863360643387
trial_2	nilotinib	27	KG00099303	hyperkalaemia	0.09196265041828156
trial_2	nilotinib	121	KG00099190	haemorrhage	0.09143649786710739
trial_2	nilotinib	211	KG00100341	Pruritus NOS	0.08729821443557739
trial_2	nilotinib	257	KG00100922	Erythema NOS	0.08665261417627335
trial_2	nilotinib	61	KG00099501	Chronic Kidney Failure	0.086326465010643
trial_2	nilotinib	76	KG00100450	Respiratory insufficiency, NOS	0.0854688510298729
trial_2	nilotinib	243	KG00100947	Micturition frequency increased	0.08507378399372101
trial_2	nilotinib	28	KG00099347	hypoglycaemia	0.08479508012533188
trial_2	nilotinib	142	KG00100923	Unspecified infectious and parasitic diseases	0.0844833180308342
trial_2	nilotinib	77	KG00098450	Constipation NOS	0.08177869021892548
trial_2	nilotinib	194	KG00110727	Neutrophil Count Decreased	0.08138798177242279
trial_2	nilotinib	147	KG00098000	atelectases	0.08123239874839783
trial_2	nilotinib	151	KG00098274	Infarction, Cerebral	0.08054234832525253
trial_2	nilotinib	104	KG00097963	arthralgias	0.07806389033794403
trial_2	nilotinib	85	KG00098474	coughs	0.07553680986166
trial_2	nilotinib	79	KG00100317	Insomnia, Primary	0.07513786107301712
trial_2	nilotinib	253	KG00100232	Pleural effusion NOS (disorder)	0.07412707060575485
trial_2	nilotinib	282	KG00099309	hypernatraemia	0.07378515601158142
trial_2	nilotinib	239	KG00100128	pareses	0.07358752191066742
trial_2	nilotinib	356	KG00112623	Infectious Lung Disorders	0.07308566570281982
