trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19770322740077972
trial_1	placebo	123	KG00099351	hypokalaemia	0.10314586013555527
trial_1	placebo	20	KG00098540	dehydration	0.08361528813838959
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07538622617721558
trial_1	placebo	9	KG00098432	Confusion NOS	0.07514302432537079
trial_1	placebo	46	KG00099121	Headache NOS	0.07499700039625168
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.0715164989233017
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06782859563827515
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06472467631101608
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06442317366600037
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0639471784234047
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05894536152482033
trial_1	placebo	49	KG00099902	nausea with vomiting	0.05636079981923103
trial_1	placebo	21	KG00098675	dyspnoea	0.051965270191431046
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05030686780810356
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.050306614488363266
trial_1	placebo	68	KG00099901	nauseas	0.04672298580408096
trial_1	placebo	77	KG00098450	Constipation NOS	0.04528418928384781
trial_1	placebo	126	KG00100076	Pain NOS	0.04489526525139809
trial_1	placebo	85	KG00098474	coughs	0.044835977256298065
trial_1	placebo	228	KG00114657	Weight below normal	0.043946631252765656
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04366280883550644
trial_1	placebo	14	KG00097852	Anemia NOS	0.04350410774350166
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04178689047694206
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04126012325286865
trial_1	placebo	114	KG00098933	fevers	0.04114286229014397
trial_1	placebo	29	KG00099354	hyponatraemia	0.03847644850611687
trial_1	placebo	5	KG00099169	haematuria	0.03767898306250572
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.037236537784338
trial_1	placebo	86	KG00098565	Depression, Mental	0.0362970270216465
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.035922303795814514
trial_1	placebo	350	KG00106765	decreased platelet count	0.035786520689725876
trial_1	placebo	18	KG00098307	Pain, Chest	0.0353848822414875
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.034539543092250824
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03425786644220352
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03408709540963173
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03402657434344292
trial_1	placebo	104	KG00097963	arthralgias	0.032887302339076996
trial_1	placebo	28	KG00099347	hypoglycaemia	0.032844558358192444
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03281253203749657
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.03199418634176254
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.0317288413643837
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.030759966000914574
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03071746975183487
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03069641813635826
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03038521111011505
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.029902154579758644
trial_1	placebo	147	KG00098000	atelectases	0.02937246859073639
trial_1	placebo	191	KG00104055	Biliverdin increased	0.028651010245084763
trial_1	placebo	82	KG00097697	abdomen distended	0.02842872217297554
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02819627709686756
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.027017366141080856
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02660183422267437
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.026454469189047813
trial_1	placebo	179	KG00099342	hypocalcaemia	0.026268471032381058
trial_1	placebo	456	KG00099420	Influenzae	0.02624139003455639
trial_1	placebo	441	KG00098262	cellulitis nos	0.026131927967071533
trial_1	placebo	269	KG00100399	pyaemia	0.02610786072909832
trial_1	placebo	116	KG00098964	Pain in foot	0.026082580909132957
trial_1	placebo	239	KG00100128	pareses	0.025717755779623985
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02550286054611206
trial_1	placebo	186	KG00101431	creatinine increased	0.025152474641799927
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02498132362961769
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.024928029626607895
trial_1	placebo	164	KG00108827	ileus colon	0.024674607440829277
trial_1	placebo	101	KG00097901	Anorexia NOS	0.024423697963356972
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.024206310510635376
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02337965928018093
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.023262573406100273
trial_1	placebo	136	KG00101582	Dry;skin	0.022832006216049194
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.0226631797850132
trial_1	placebo	102	KG00097916	anxieties	0.022652439773082733
trial_1	placebo	466	KG00101205	fall	0.022190481424331665
trial_1	placebo	94	KG00103829	abdominal discomfort	0.021891020238399506
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02133873850107193
trial_1	placebo	72	KG00103771	myalgias	0.021332794800400734
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.021066084504127502
trial_1	placebo	121	KG00099190	haemorrhage	0.020839368924498558
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.02062131091952324
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02044498734176159
trial_1	placebo	69	KG00100082	Palpitations NOS	0.020393162965774536
trial_1	placebo	4	KG00098817	epistaxis	0.02026093564927578
trial_1	placebo	211	KG00100341	Pruritus NOS	0.019818853586912155
trial_1	placebo	286	KG00101110	Retention, Urinary	0.019484782591462135
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.019383504986763
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01937813125550747
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.019360296428203583
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01925337314605713
trial_1	placebo	132	KG00101045	Gain, Weight	0.01921534165740013
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.019019704312086105
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.018960798159241676
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.018949033692479134
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.018907791003584862
trial_1	placebo	282	KG00099309	hypernatraemia	0.018795767799019814
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.018512088805437088
trial_1	placebo	382	KG00099200	haemorrhoids	0.01848399080336094
trial_1	placebo	163	KG00104050	bowel obstructions small	0.018334567546844482
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.018240051344037056
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.017832286655902863
trial_1	placebo	508	KG00108565	blood glucose increased	0.017744874581694603
trial_2	nizatidine	87	KG00098599	diarrhoea	0.19770322740077972
trial_2	nizatidine	123	KG00099351	hypokalaemia	0.10314586013555527
trial_2	nizatidine	20	KG00098540	dehydration	0.08361528813838959
trial_2	nizatidine	177	KG00099299	hyperglycaemia	0.07538622617721558
trial_2	nizatidine	9	KG00098432	Confusion NOS	0.07514302432537079
trial_2	nizatidine	46	KG00099121	Headache NOS	0.07499700039625168
trial_2	nizatidine	78	KG00099326	Hypertensive diseases	0.0715164989233017
trial_2	nizatidine	67	KG00098673	Dyspepsia, NOS	0.06782859563827515
trial_2	nizatidine	17	KG00097991	Asthenia NOS	0.06472467631101608
trial_2	nizatidine	173	KG00098172	Bronchopneumonia NOS	0.06442317366600037
trial_2	nizatidine	37	KG00097696	Cramps, Abdominal	0.0639471784234047
trial_2	nizatidine	64	KG00097734	Acrodermatitis, NOS	0.05894536152482033
trial_2	nizatidine	49	KG00099902	nausea with vomiting	0.05636079981923103
trial_2	nizatidine	21	KG00098675	dyspnoea	0.051965270191431046
trial_2	nizatidine	188	KG00101579	Aspartate aminotransferase increase	0.05030686780810356
trial_2	nizatidine	189	KG00101580	Alanine aminotransferase increase	0.050306614488363266
trial_2	nizatidine	68	KG00099901	nauseas	0.04672298580408096
trial_2	nizatidine	77	KG00098450	Constipation NOS	0.04528418928384781
trial_2	nizatidine	126	KG00100076	Pain NOS	0.04489526525139809
trial_2	nizatidine	85	KG00098474	coughs	0.044835977256298065
trial_2	nizatidine	228	KG00114657	Weight below normal	0.043946631252765656
trial_2	nizatidine	151	KG00098274	Infarction, Cerebral	0.04366280883550644
trial_2	nizatidine	14	KG00097852	Anemia NOS	0.04350410774350166
trial_2	nizatidine	30	KG00099500	Acute Kidney Failure	0.04178689047694206
trial_2	nizatidine	200	KG00098539	Disorders, Deglutition	0.04126012325286865
trial_2	nizatidine	114	KG00098933	fevers	0.04114286229014397
trial_2	nizatidine	29	KG00099354	hyponatraemia	0.03847644850611687
trial_2	nizatidine	5	KG00099169	haematuria	0.03767898306250572
trial_2	nizatidine	243	KG00100947	Micturition frequency increased	0.037236537784338
trial_2	nizatidine	86	KG00098565	Depression, Mental	0.0362970270216465
trial_2	nizatidine	79	KG00100317	Insomnia, Primary	0.035922303795814514
trial_2	nizatidine	350	KG00106765	decreased platelet count	0.035786520689725876
trial_2	nizatidine	18	KG00098307	Pain, Chest	0.0353848822414875
trial_2	nizatidine	76	KG00100450	Respiratory insufficiency, NOS	0.034539543092250824
trial_2	nizatidine	276	KG00099127	Arrest, Cardiac	0.03425786644220352
trial_2	nizatidine	131	KG00100948	Urinary tract infection (& [NOS])	0.03408709540963173
trial_2	nizatidine	96	KG00101679	Unattended death NOS	0.03402657434344292
trial_2	nizatidine	104	KG00097963	arthralgias	0.032887302339076996
trial_2	nizatidine	28	KG00099347	hypoglycaemia	0.032844558358192444
trial_2	nizatidine	61	KG00099501	Chronic Kidney Failure	0.03281253203749657
