trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12996718287467957
trial_1	placebo	87	KG00098599	diarrhoea	0.10208138078451157
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08759529143571854
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08634478598833084
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07840192317962646
trial_1	placebo	9	KG00098432	Confusion NOS	0.07633614540100098
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07596231997013092
trial_1	placebo	46	KG00099121	Headache NOS	0.06832201033830643
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06355883926153183
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06342625617980957
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06278975307941437
trial_1	placebo	20	KG00098540	dehydration	0.06082238629460335
trial_1	placebo	86	KG00098565	Depression, Mental	0.05746999755501747
trial_1	placebo	21	KG00098675	dyspnoea	0.057379938662052155
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.056567687541246414
trial_1	placebo	77	KG00098450	Constipation NOS	0.0550648532807827
trial_1	placebo	166	KG00099773	menopausal syndrome	0.053759168833494186
trial_1	placebo	123	KG00099351	hypokalaemia	0.05339770019054413
trial_1	placebo	126	KG00100076	Pain NOS	0.05009156093001366
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.050071656703948975
trial_1	placebo	132	KG00101045	Gain, Weight	0.04925680533051491
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04748314246535301
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04718055576086044
trial_1	placebo	239	KG00100128	pareses	0.04584229364991188
trial_1	placebo	68	KG00099901	nauseas	0.044846147298812866
trial_1	placebo	72	KG00103771	myalgias	0.04469019174575806
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04440842941403389
trial_1	placebo	104	KG00097963	arthralgias	0.04370129480957985
trial_1	placebo	228	KG00114657	Weight below normal	0.042797379195690155
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04229902848601341
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04161753132939339
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03897129371762276
trial_1	placebo	85	KG00098474	coughs	0.03779178857803345
trial_1	placebo	350	KG00106765	decreased platelet count	0.03745165467262268
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.037291280925273895
trial_1	placebo	14	KG00097852	Anemia NOS	0.036444127559661865
trial_1	placebo	114	KG00098933	fevers	0.0353606715798378
trial_1	placebo	116	KG00098964	Pain in foot	0.03530500829219818
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03523978590965271
trial_1	placebo	29	KG00099354	hyponatraemia	0.031997788697481155
trial_1	placebo	5	KG00099169	haematuria	0.031758349388837814
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.031577348709106445
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.031332604587078094
trial_1	placebo	102	KG00097916	anxieties	0.030393196269869804
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.029786348342895508
trial_1	placebo	508	KG00108565	blood glucose increased	0.029603272676467896
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02943098358809948
trial_1	placebo	179	KG00099342	hypocalcaemia	0.029285399243235588
trial_1	placebo	121	KG00099190	haemorrhage	0.029142877086997032
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.028967542573809624
trial_1	placebo	18	KG00098307	Pain, Chest	0.028442712500691414
trial_1	placebo	69	KG00100082	Palpitations NOS	0.028018467128276825
trial_1	placebo	441	KG00098262	cellulitis nos	0.026569005101919174
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02630920335650444
trial_1	placebo	466	KG00101205	fall	0.02568419836461544
trial_1	placebo	27	KG00099303	hyperkalaemia	0.025599421933293343
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02541567198932171
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.025165649130940437
trial_1	placebo	221	KG00101207	peripheral oedema	0.024819202721118927
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.024748221039772034
trial_1	placebo	454	KG00098286	Pain, Neck	0.024642353877425194
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02455148473381996
