trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.48949265480041504
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.30045178532600403
trial_1	placebo	123	KG00099351	hypokalaemia	0.22345981001853943
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.21859773993492126
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.20129916071891785
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.18918967247009277
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.18540401756763458
trial_1	placebo	136	KG00101582	Dry;skin	0.1828034371137619
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.15114668011665344
trial_1	placebo	228	KG00114657	Weight below normal	0.14508584141731262
trial_1	placebo	49	KG00099902	nausea with vomiting	0.13691352307796478
trial_1	placebo	20	KG00098540	dehydration	0.1341986209154129
trial_1	placebo	46	KG00099121	Headache NOS	0.12895648181438446
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12894156575202942
trial_1	placebo	21	KG00098675	dyspnoea	0.12523013353347778
trial_1	placebo	9	KG00098432	Confusion NOS	0.1233295425772667
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.12170711159706116
trial_1	placebo	101	KG00097901	Anorexia NOS	0.1137344092130661
trial_1	placebo	68	KG00099901	nauseas	0.11287881433963776
trial_1	placebo	343	KG00102674	Eruptions, Acneiform	0.11209096759557724
trial_1	placebo	211	KG00100341	Pruritus NOS	0.10622477531433105
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.1045638769865036
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.10199927538633347
trial_1	placebo	191	KG00104055	Biliverdin increased	0.1012112945318222
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.10059512406587601
trial_1	placebo	257	KG00100922	Erythema NOS	0.100276879966259
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09371402114629745
trial_1	placebo	441	KG00098262	cellulitis nos	0.09007388353347778
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.08595290035009384
trial_1	placebo	4	KG00098817	epistaxis	0.0810273289680481
trial_1	placebo	126	KG00100076	Pain NOS	0.08080706000328064
trial_1	placebo	29	KG00099354	hyponatraemia	0.08061964064836502
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.0804423987865448
trial_1	placebo	114	KG00098933	fevers	0.08025828748941422
trial_1	placebo	5	KG00099169	haematuria	0.08010552078485489
trial_1	placebo	239	KG00100128	pareses	0.07953428477048874
trial_1	placebo	179	KG00099342	hypocalcaemia	0.07937733083963394
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.07920246571302414
trial_1	placebo	99	KG00097728	acne; vulgaris	0.07808772474527359
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.07775194197893143
trial_1	placebo	147	KG00098000	atelectases	0.0765172690153122
trial_1	placebo	77	KG00098450	Constipation NOS	0.0756496712565422
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07360750436782837
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.07130187004804611
trial_1	placebo	350	KG00106765	decreased platelet count	0.07091385871171951
trial_1	placebo	14	KG00097852	Anemia NOS	0.07048942148685455
trial_1	placebo	85	KG00098474	coughs	0.06921417266130447
