trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.15765975415706635
trial_1	placebo	87	KG00098599	diarrhoea	0.14417700469493866
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11100836098194122
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10263735055923462
trial_1	placebo	9	KG00098432	Confusion NOS	0.10028613358736038
trial_1	placebo	20	KG00098540	dehydration	0.09539978206157684
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09404478967189789
trial_1	placebo	123	KG00099351	hypokalaemia	0.08203362673521042
trial_1	placebo	77	KG00098450	Constipation NOS	0.07830856740474701
trial_1	placebo	21	KG00098675	dyspnoea	0.07686609774827957
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07046930491924286
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06959235668182373
trial_1	placebo	46	KG00099121	Headache NOS	0.06721815466880798
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06354240328073502
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06260408461093903
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0594276487827301
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.059218257665634155
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05778791382908821
trial_1	placebo	68	KG00099901	nauseas	0.057268597185611725
trial_1	placebo	86	KG00098565	Depression, Mental	0.05702948197722435
trial_1	placebo	29	KG00099354	hyponatraemia	0.05473509058356285
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05335889756679535
trial_1	placebo	228	KG00114657	Weight below normal	0.05269547551870346
trial_1	placebo	85	KG00098474	coughs	0.05206168070435524
trial_1	placebo	14	KG00097852	Anemia NOS	0.050133779644966125
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05007210001349449
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04965377599000931
trial_1	placebo	132	KG00101045	Gain, Weight	0.049605343490839005
trial_1	placebo	104	KG00097963	arthralgias	0.04856812581419945
trial_1	placebo	350	KG00106765	decreased platelet count	0.04521503672003746
trial_1	placebo	114	KG00098933	fevers	0.04478484019637108
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04460473731160164
trial_1	placebo	239	KG00100128	pareses	0.04348812252283096
trial_1	placebo	126	KG00100076	Pain NOS	0.04298345744609833
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.042874399572610855
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.041322529315948486
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.041145022958517075
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04010499641299248
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.039799559861421585
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03916146978735924
trial_1	placebo	28	KG00099347	hypoglycaemia	0.038885027170181274
trial_1	placebo	5	KG00099169	haematuria	0.03779379278421402
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.037436068058013916
trial_1	placebo	262	KG00101199	agitation	0.03618418425321579
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.035134945064783096
trial_1	placebo	179	KG00099342	hypocalcaemia	0.034464433789253235
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03434695303440094
trial_1	placebo	102	KG00097916	anxieties	0.03397366404533386
trial_1	placebo	66	KG00098642	drowsiness	0.03272460773587227
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03246397525072098
trial_1	placebo	300	KG00101064	xerostomia	0.031275007873773575
trial_1	placebo	18	KG00098307	Pain, Chest	0.031007956713438034
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.030713820829987526
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03050934337079525
trial_1	placebo	466	KG00101205	fall	0.030267244204878807
trial_1	placebo	242	KG00100855	tremors	0.0302268173545599
trial_1	placebo	164	KG00108827	ileus colon	0.030214831233024597
trial_1	placebo	147	KG00098000	atelectases	0.03012746013700962
trial_1	placebo	101	KG00097901	Anorexia NOS	0.029842479154467583
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.0294498261064291
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.029171735048294067
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.02915230765938759
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.028388960286974907
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.028291970491409302
trial_1	placebo	116	KG00098964	Pain in foot	0.027814390137791634
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.027303671464323997
trial_1	placebo	72	KG00103771	myalgias	0.027243096381425858
trial_1	placebo	269	KG00100399	pyaemia	0.027156800031661987
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.026536177843809128
trial_1	placebo	286	KG00101110	Retention, Urinary	0.025887563824653625
trial_1	placebo	191	KG00104055	Biliverdin increased	0.02572839893400669
