trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.4597111642360687
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.29227226972579956
trial_1	placebo	123	KG00099351	hypokalaemia	0.26185810565948486
trial_1	placebo	20	KG00098540	dehydration	0.24551573395729065
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.24302145838737488
trial_1	placebo	17	KG00097991	Asthenia NOS	0.23788344860076904
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.21684856712818146
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.21141894161701202
trial_1	placebo	21	KG00098675	dyspnoea	0.20755746960639954
trial_1	placebo	9	KG00098432	Confusion NOS	0.2028684914112091
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.19602055847644806
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.19388189911842346
trial_1	placebo	46	KG00099121	Headache NOS	0.19333447515964508
trial_1	placebo	228	KG00114657	Weight below normal	0.18971434235572815
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.18819676339626312
trial_1	placebo	77	KG00098450	Constipation NOS	0.18768054246902466
trial_1	placebo	177	KG00099299	hyperglycaemia	0.18334610760211945
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.18217892944812775
trial_1	placebo	68	KG00099901	nauseas	0.17444175481796265
trial_1	placebo	104	KG00097963	arthralgias	0.1445709764957428
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1434602588415146
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.14070464670658112
trial_1	placebo	14	KG00097852	Anemia NOS	0.13947364687919617
trial_1	placebo	350	KG00106765	decreased platelet count	0.13323383033275604
trial_1	placebo	239	KG00100128	pareses	0.13066548109054565
trial_1	placebo	126	KG00100076	Pain NOS	0.12281191349029541
trial_1	placebo	101	KG00097901	Anorexia NOS	0.12280561774969101
trial_1	placebo	5	KG00099169	haematuria	0.12131957709789276
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11520421504974365
trial_1	placebo	72	KG00103771	myalgias	0.11484444886445999
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.11326970905065536
trial_1	placebo	180	KG00099363	Hypotension NOS	0.10695058107376099
trial_1	placebo	85	KG00098474	coughs	0.10672497749328613
trial_1	placebo	114	KG00098933	fevers	0.10671114176511765
trial_1	placebo	29	KG00099354	hyponatraemia	0.10661288350820541
trial_1	placebo	82	KG00097697	abdomen distended	0.10645151138305664
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.10579530894756317
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.10574838519096375
trial_1	placebo	191	KG00104055	Biliverdin increased	0.10518268495798111
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.10341775417327881
trial_1	placebo	179	KG00099342	hypocalcaemia	0.09985893964767456
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.09960943460464478
trial_1	placebo	27	KG00099303	hyperkalaemia	0.09938640147447586
trial_1	placebo	18	KG00098307	Pain, Chest	0.09807790815830231
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.09644213318824768
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.09569783508777618
trial_1	placebo	116	KG00098964	Pain in foot	0.09446709603071213
trial_1	placebo	102	KG00097916	anxieties	0.09039531648159027
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.08862636983394623
trial_1	placebo	136	KG00101582	Dry;skin	0.08785807341337204
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.08478895574808121
trial_1	placebo	86	KG00098565	Depression, Mental	0.08434271812438965
trial_1	placebo	69	KG00100082	Palpitations NOS	0.08220424503087997
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.08167627453804016
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.08097093552350998
trial_1	placebo	28	KG00099347	hypoglycaemia	0.08005781471729279
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.07920175045728683
trial_1	placebo	454	KG00098286	Pain, Neck	0.07827697694301605
trial_1	placebo	288	KG00101223	hypophosphataemia	0.07786750793457031
trial_1	placebo	212	KG00100576	shivers	0.07688169926404953
trial_1	placebo	147	KG00098000	atelectases	0.0768754705786705
trial_1	placebo	211	KG00100341	Pruritus NOS	0.07484818249940872
trial_1	placebo	186	KG00101431	creatinine increased	0.07449854910373688
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.07431858032941818
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.0731779932975769
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.07259175181388855
trial_1	placebo	234	KG00098669	dysgeusias	0.07191761583089828
trial_1	placebo	257	KG00100922	Erythema NOS	0.07084443420171738
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.07037408649921417
trial_1	placebo	441	KG00098262	cellulitis nos	0.07022795081138611
trial_1	placebo	282	KG00099309	hypernatraemia	0.06959693133831024
trial_1	placebo	4	KG00098817	epistaxis	0.0690169483423233
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.06888960301876068
trial_1	placebo	286	KG00101110	Retention, Urinary	0.06875475496053696
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.06713496148586273
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06686531007289886
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.0668521299958229
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.0652502179145813
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.06429038941860199
trial_1	placebo	339	KG00100334	proteinurias	0.06425388157367706
trial_1	placebo	221	KG00101207	peripheral oedema	0.06352203339338303
trial_1	placebo	269	KG00100399	pyaemia	0.06235920265316963
trial_1	placebo	466	KG00101205	fall	0.062074631452560425
trial_1	placebo	352	KG00107658	NON-CARDIAC CHEST PAIN	0.061448968946933746
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.0612541064620018
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.06006540730595589
trial_1	placebo	382	KG00099200	haemorrhoids	0.059410274028778076
trial_1	placebo	535	KG00098309	chest pains wall	0.05760545656085014
trial_1	placebo	108	KG00098479	Cramp, Limb	0.056909896433353424
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.056553490459918976
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.05654385685920715
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.056537527590990067
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.05386963114142418
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.0530872642993927
trial_1	placebo	508	KG00108565	blood glucose increased	0.05209614709019661
trial_1	placebo	166	KG00099773	menopausal syndrome	0.05206269398331642
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.05151970311999321
trial_1	placebo	163	KG00104050	bowel obstructions small	0.05121004581451416
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.05087917670607567
trial_1	placebo	457	KG00099853	Pain, Musculoskeletal	0.05007822439074516
trial_2	pacritinib	87	KG00098599	diarrhoea	0.4597111642360687
trial_2	pacritinib	78	KG00099326	Hypertensive diseases	0.29227226972579956
trial_2	pacritinib	123	KG00099351	hypokalaemia	0.26185810565948486
trial_2	pacritinib	20	KG00098540	dehydration	0.24551573395729065
trial_2	pacritinib	189	KG00101580	Alanine aminotransferase increase	0.24302145838737488
trial_2	pacritinib	17	KG00097991	Asthenia NOS	0.23788344860076904
trial_2	pacritinib	37	KG00097696	Cramps, Abdominal	0.21684856712818146
trial_2	pacritinib	188	KG00101579	Aspartate aminotransferase increase	0.21141894161701202
trial_2	pacritinib	21	KG00098675	dyspnoea	0.20755746960639954
trial_2	pacritinib	9	KG00098432	Confusion NOS	0.2028684914112091
trial_2	pacritinib	67	KG00098673	Dyspepsia, NOS	0.19602055847644806
trial_2	pacritinib	243	KG00100947	Micturition frequency increased	0.19388189911842346
trial_2	pacritinib	46	KG00099121	Headache NOS	0.19333447515964508
trial_2	pacritinib	228	KG00114657	Weight below normal	0.18971434235572815
trial_2	pacritinib	64	KG00097734	Acrodermatitis, NOS	0.18819676339626312
trial_2	pacritinib	77	KG00098450	Constipation NOS	0.18768054246902466
trial_2	pacritinib	177	KG00099299	hyperglycaemia	0.18334610760211945
trial_2	pacritinib	173	KG00098172	Bronchopneumonia NOS	0.18217892944812775
trial_2	pacritinib	68	KG00099901	nauseas	0.17444175481796265
trial_2	pacritinib	104	KG00097963	arthralgias	0.1445709764957428
trial_2	pacritinib	49	KG00099902	nausea with vomiting	0.1434602588415146
trial_2	pacritinib	200	KG00098539	Disorders, Deglutition	0.14070464670658112
trial_2	pacritinib	14	KG00097852	Anemia NOS	0.13947364687919617
trial_2	pacritinib	350	KG00106765	decreased platelet count	0.13323383033275604
trial_2	pacritinib	239	KG00100128	pareses	0.13066548109054565
trial_2	pacritinib	126	KG00100076	Pain NOS	0.12281191349029541
trial_2	pacritinib	101	KG00097901	Anorexia NOS	0.12280561774969101
trial_2	pacritinib	5	KG00099169	haematuria	0.12131957709789276
trial_2	pacritinib	79	KG00100317	Insomnia, Primary	0.11520421504974365
trial_2	pacritinib	72	KG00103771	myalgias	0.11484444886445999
trial_2	pacritinib	76	KG00100450	Respiratory insufficiency, NOS	0.11326970905065536
trial_2	pacritinib	180	KG00099363	Hypotension NOS	0.10695058107376099
trial_2	pacritinib	85	KG00098474	coughs	0.10672497749328613
trial_2	pacritinib	114	KG00098933	fevers	0.10671114176511765
trial_2	pacritinib	29	KG00099354	hyponatraemia	0.10661288350820541
trial_2	pacritinib	82	KG00097697	abdomen distended	0.10645151138305664
trial_2	pacritinib	2	KG00100772	thrombocytopaenia	0.10579530894756317
trial_2	pacritinib	131	KG00100948	Urinary tract infection (& [NOS])	0.10574838519096375
trial_2	pacritinib	191	KG00104055	Biliverdin increased	0.10518268495798111
trial_2	pacritinib	261	KG00101559	raised alkaline phosphatase	0.10341775417327881
trial_2	pacritinib	179	KG00099342	hypocalcaemia	0.09985893964767456
trial_2	pacritinib	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.09960943460464478
trial_2	pacritinib	27	KG00099303	hyperkalaemia	0.09938640147447586
trial_2	pacritinib	18	KG00098307	Pain, Chest	0.09807790815830231
trial_2	pacritinib	30	KG00099500	Acute Kidney Failure	0.09644213318824768
trial_2	pacritinib	35	KG00101507	hypomagnesaemia	0.09569783508777618
trial_2	pacritinib	116	KG00098964	Pain in foot	0.09446709603071213
trial_2	pacritinib	102	KG00097916	anxieties	0.09039531648159027
trial_2	pacritinib	396	KG00100373	Embolism, Pulmonary	0.08862636983394623
trial_2	pacritinib	136	KG00101582	Dry;skin	0.08785807341337204
trial_2	pacritinib	355	KG00110857	lymphocyte count decreased	0.08478895574808121
trial_2	pacritinib	86	KG00098565	Depression, Mental	0.08434271812438965
trial_2	pacritinib	69	KG00100082	Palpitations NOS	0.08220424503087997
trial_2	pacritinib	253	KG00100232	Pleural effusion NOS (disorder)	0.08167627453804016
trial_2	pacritinib	204	KG00098849	Esophagitis, Peptic	0.08097093552350998
trial_2	pacritinib	28	KG00099347	hypoglycaemia	0.08005781471729279
trial_2	pacritinib	249	KG00104430	hypoalbuminaemia	0.07920175045728683
trial_2	pacritinib	454	KG00098286	Pain, Neck	0.07827697694301605
trial_2	pacritinib	288	KG00101223	hypophosphataemia	0.07786750793457031
trial_2	pacritinib	212	KG00100576	shivers	0.07688169926404953
trial_2	pacritinib	147	KG00098000	atelectases	0.0768754705786705
trial_2	pacritinib	211	KG00100341	Pruritus NOS	0.07484818249940872
trial_2	pacritinib	186	KG00101431	creatinine increased	0.07449854910373688
trial_2	pacritinib	194	KG00110727	Neutrophil Count Decreased	0.07431858032941818
trial_2	pacritinib	38	KG00098066	Binocular vision disorders	0.0731779932975769
trial_2	pacritinib	61	KG00099501	Chronic Kidney Failure	0.07259175181388855
trial_2	pacritinib	234	KG00098669	dysgeusias	0.07191761583089828
