trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.15955498814582825
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12168025970458984
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09535246342420578
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.09458063542842865
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0898117870092392
trial_1	placebo	123	KG00099351	hypokalaemia	0.08586013317108154
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08454088866710663
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08130401372909546
trial_1	placebo	21	KG00098675	dyspnoea	0.07794389128684998
trial_1	placebo	9	KG00098432	Confusion NOS	0.0770263597369194
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07043515890836716
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06807373464107513
trial_1	placebo	20	KG00098540	dehydration	0.06724238395690918
trial_1	placebo	114	KG00098933	fevers	0.06332524865865707
trial_1	placebo	46	KG00099121	Headache NOS	0.061876486986875534
trial_1	placebo	68	KG00099901	nauseas	0.06031283363699913
trial_1	placebo	14	KG00097852	Anemia NOS	0.05906647816300392
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05891536921262741
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0567920058965683
trial_1	placebo	77	KG00098450	Constipation NOS	0.0562441423535347
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05590866878628731
trial_1	placebo	228	KG00114657	Weight below normal	0.055772192776203156
trial_1	placebo	350	KG00106765	decreased platelet count	0.05272927135229111
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.051692839711904526
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.051343221217393875
trial_1	placebo	29	KG00099354	hyponatraemia	0.05067820847034454
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04909929633140564
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04845333471894264
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04626530781388283
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04518979415297508
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04450538754463196
trial_1	placebo	85	KG00098474	coughs	0.044228874146938324
trial_1	placebo	126	KG00100076	Pain NOS	0.0433809831738472
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04226095229387283
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04224849492311478
trial_1	placebo	239	KG00100128	pareses	0.041014883667230606
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04039982333779335
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03966260701417923
trial_1	placebo	86	KG00098565	Depression, Mental	0.039317648857831955
trial_1	placebo	104	KG00097963	arthralgias	0.03916191682219505
