trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1483556628227234
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12896713614463806
trial_1	placebo	123	KG00099351	hypokalaemia	0.10588398575782776
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10252080112695694
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09404174238443375
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08872991800308228
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0869988277554512
trial_1	placebo	20	KG00098540	dehydration	0.0847417488694191
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08370786905288696
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07950787991285324
trial_1	placebo	46	KG00099121	Headache NOS	0.07908083498477936
trial_1	placebo	9	KG00098432	Confusion NOS	0.07746659219264984
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07709234952926636
trial_1	placebo	14	KG00097852	Anemia NOS	0.0759979635477066
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0741698369383812
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07313451170921326
trial_1	placebo	77	KG00098450	Constipation NOS	0.07265990227460861
trial_1	placebo	21	KG00098675	dyspnoea	0.07242137938737869
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0718901976943016
trial_1	placebo	5	KG00099169	haematuria	0.0669727623462677
trial_1	placebo	68	KG00099901	nauseas	0.066657654941082
trial_1	placebo	350	KG00106765	decreased platelet count	0.06123105809092522
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0570654422044754
trial_1	placebo	228	KG00114657	Weight below normal	0.05560629442334175
trial_1	placebo	114	KG00098933	fevers	0.05458826199173927
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.053990546613931656
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.053535278886556625
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05288771912455559
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05136697366833687
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.051279596984386444
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.050169479101896286
trial_1	placebo	147	KG00098000	atelectases	0.04866418614983559
trial_1	placebo	126	KG00100076	Pain NOS	0.04809453338384628
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04783735051751137
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.04647400230169296
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.04640843719244003
trial_1	placebo	29	KG00099354	hyponatraemia	0.0453428253531456
trial_1	placebo	85	KG00098474	coughs	0.04480835422873497
trial_1	placebo	239	KG00100128	pareses	0.04335199296474457
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.0428742840886116
trial_1	placebo	104	KG00097963	arthralgias	0.04240627959370613
trial_1	placebo	116	KG00098964	Pain in foot	0.04205869883298874
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.042050544172525406
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0411803163588047
trial_1	placebo	72	KG00103771	myalgias	0.04074621573090553
trial_1	placebo	86	KG00098565	Depression, Mental	0.04041699320077896
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04032037407159805
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.040015485137701035
trial_1	placebo	18	KG00098307	Pain, Chest	0.039847422391176224
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03984125703573227
trial_1	placebo	186	KG00101431	creatinine increased	0.039464909583330154
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03762786090373993
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.036898355931043625
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.036527715623378754
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03651599586009979
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03619585931301117
trial_1	placebo	101	KG00097901	Anorexia NOS	0.035550713539123535
trial_1	placebo	82	KG00097697	abdomen distended	0.03521915525197983
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03515234962105751
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03393681347370148
trial_1	placebo	441	KG00098262	cellulitis nos	0.0337589755654335
trial_1	placebo	179	KG00099342	hypocalcaemia	0.033484943211078644
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.03326546028256416
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03299619257450104
trial_1	placebo	164	KG00108827	ileus colon	0.03283188119530678
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03259062394499779
trial_1	placebo	466	KG00101205	fall	0.03223220258951187
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03219953924417496
trial_1	placebo	102	KG00097916	anxieties	0.031934142112731934
trial_1	placebo	456	KG00099420	Influenzae	0.031731653958559036
trial_1	placebo	282	KG00099309	hypernatraemia	0.031676262617111206
trial_1	placebo	508	KG00108565	blood glucose increased	0.03123466670513153
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03117251954972744
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.03084184229373932
trial_1	placebo	269	KG00100399	pyaemia	0.030832692980766296
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.030633434653282166
trial_1	placebo	454	KG00098286	Pain, Neck	0.030435651540756226
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.02997618354856968
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.029326166957616806
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.029229087755084038
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.029217569157481194
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.029060542583465576
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.028664084151387215
trial_1	placebo	234	KG00098669	dysgeusias	0.027305463328957558
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.02717459574341774
trial_1	placebo	163	KG00104050	bowel obstructions small	0.027164947241544724
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.026906277984380722
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.026891501620411873
trial_1	placebo	11	KG00097993	Asthma NOS	0.026827700436115265
trial_1	placebo	747	KG00101527	Liver function tests abnormal (finding)	0.026179393753409386
trial_1	placebo	4	KG00098817	epistaxis	0.02603439800441265
trial_1	placebo	286	KG00101110	Retention, Urinary	0.025803515687584877
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02528386190533638
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.02477363310754299
trial_1	placebo	382	KG00099200	haemorrhoids	0.024761298671364784
trial_1	placebo	262	KG00101199	agitation	0.024715902283787727
trial_1	placebo	400	KG00100925	Upper gastrointestinal haemorrhage	0.024479135870933533
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.024179456755518913
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02394656091928482
trial_1	placebo	339	KG00100334	proteinurias	0.023686658591032028
trial_2	pemirolast	87	KG00098599	diarrhoea	0.1483556628227234
trial_2	pemirolast	78	KG00099326	Hypertensive diseases	0.12896713614463806
trial_2	pemirolast	123	KG00099351	hypokalaemia	0.10588398575782776
trial_2	pemirolast	173	KG00098172	Bronchopneumonia NOS	0.10252080112695694
trial_2	pemirolast	177	KG00099299	hyperglycaemia	0.09404174238443375
trial_2	pemirolast	37	KG00097696	Cramps, Abdominal	0.08872991800308228
trial_2	pemirolast	189	KG00101580	Alanine aminotransferase increase	0.0869988277554512
trial_2	pemirolast	20	KG00098540	dehydration	0.0847417488694191
trial_2	pemirolast	188	KG00101579	Aspartate aminotransferase increase	0.08370786905288696
trial_2	pemirolast	17	KG00097991	Asthenia NOS	0.07950787991285324
trial_2	pemirolast	46	KG00099121	Headache NOS	0.07908083498477936
trial_2	pemirolast	9	KG00098432	Confusion NOS	0.07746659219264984
trial_2	pemirolast	67	KG00098673	Dyspepsia, NOS	0.07709234952926636
trial_2	pemirolast	14	KG00097852	Anemia NOS	0.0759979635477066
trial_2	pemirolast	49	KG00099902	nausea with vomiting	0.0741698369383812
trial_2	pemirolast	200	KG00098539	Disorders, Deglutition	0.07313451170921326
trial_2	pemirolast	77	KG00098450	Constipation NOS	0.07265990227460861
trial_2	pemirolast	21	KG00098675	dyspnoea	0.07242137938737869
trial_2	pemirolast	2	KG00100772	thrombocytopaenia	0.0718901976943016
trial_2	pemirolast	5	KG00099169	haematuria	0.0669727623462677
trial_2	pemirolast	68	KG00099901	nauseas	0.066657654941082
trial_2	pemirolast	350	KG00106765	decreased platelet count	0.06123105809092522
trial_2	pemirolast	243	KG00100947	Micturition frequency increased	0.0570654422044754
trial_2	pemirolast	228	KG00114657	Weight below normal	0.05560629442334175
trial_2	pemirolast	114	KG00098933	fevers	0.05458826199173927
trial_2	pemirolast	61	KG00099501	Chronic Kidney Failure	0.053990546613931656
trial_2	pemirolast	64	KG00097734	Acrodermatitis, NOS	0.053535278886556625
trial_2	pemirolast	30	KG00099500	Acute Kidney Failure	0.05288771912455559
trial_2	pemirolast	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05136697366833687
trial_2	pemirolast	79	KG00100317	Insomnia, Primary	0.051279596984386444
trial_2	pemirolast	76	KG00100450	Respiratory insufficiency, NOS	0.050169479101896286
