trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18985578417778015
trial_1	placebo	87	KG00098599	diarrhoea	0.15973308682441711
trial_1	placebo	123	KG00099351	hypokalaemia	0.13511142134666443
trial_1	placebo	177	KG00099299	hyperglycaemia	0.1281333714723587
trial_1	placebo	9	KG00098432	Confusion NOS	0.12112059444189072
trial_1	placebo	68	KG00099901	nauseas	0.11648574471473694
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11314522475004196
trial_1	placebo	20	KG00098540	dehydration	0.11127909272909164
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10416913777589798
trial_1	placebo	46	KG00099121	Headache NOS	0.10401645302772522
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10125363618135452
trial_1	placebo	21	KG00098675	dyspnoea	0.09107691049575806
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08556821197271347
trial_1	placebo	14	KG00097852	Anemia NOS	0.0848274752497673
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0843992829322815
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08063680678606033
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07566922903060913
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07531709969043732
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07485745847225189
trial_1	placebo	350	KG00106765	decreased platelet count	0.07022447884082794
trial_1	placebo	29	KG00099354	hyponatraemia	0.06896320730447769
trial_1	placebo	77	KG00098450	Constipation NOS	0.06409411132335663
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06402125954627991
trial_1	placebo	228	KG00114657	Weight below normal	0.059519026428461075
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.059262823313474655
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.0580209344625473
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05679954215884209
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05638336017727852
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05633673816919327
trial_1	placebo	5	KG00099169	haematuria	0.05576241761445999
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.05576055496931076
trial_1	placebo	114	KG00098933	fevers	0.05538110435009003
trial_1	placebo	86	KG00098565	Depression, Mental	0.05473078787326813
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.054719895124435425
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05375908315181732
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0533786304295063
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.052089229226112366
trial_1	placebo	126	KG00100076	Pain NOS	0.04941697046160698
trial_1	placebo	239	KG00100128	pareses	0.04837781563401222
trial_1	placebo	85	KG00098474	coughs	0.04832632094621658
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.047457464039325714
trial_1	placebo	147	KG00098000	atelectases	0.0467497743666172
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.045491963624954224
trial_1	placebo	104	KG00097963	arthralgias	0.04538697749376297
trial_1	placebo	18	KG00098307	Pain, Chest	0.04409638047218323
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04338463395833969
trial_1	placebo	269	KG00100399	pyaemia	0.04320881515741348
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.04272076115012169
trial_1	placebo	164	KG00108827	ileus colon	0.04260259121656418
trial_1	placebo	82	KG00097697	abdomen distended	0.04202721640467644
trial_1	placebo	101	KG00097901	Anorexia NOS	0.042006783187389374
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.041906680911779404
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.040650952607393265
trial_1	placebo	96	KG00101679	Unattended death NOS	0.039608824998140335
trial_1	placebo	116	KG00098964	Pain in foot	0.03854908049106598
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.038116373121738434
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.037863656878471375
trial_1	placebo	72	KG00103771	myalgias	0.03767720237374306
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03731028735637665
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.036753155291080475
trial_1	placebo	441	KG00098262	cellulitis nos	0.03645635396242142
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.03598964214324951
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.035444069653749466
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03468399494886398
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03454228490591049
trial_1	placebo	102	KG00097916	anxieties	0.03408881276845932
trial_1	placebo	286	KG00101110	Retention, Urinary	0.03374934941530228
trial_1	placebo	466	KG00101205	fall	0.033626750111579895
trial_1	placebo	282	KG00099309	hypernatraemia	0.03340132161974907
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03313646465539932
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03277718275785446
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.031853340566158295
trial_1	placebo	186	KG00101431	creatinine increased	0.03162381798028946
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03135433793067932
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.031265344470739365
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03067385032773018
trial_1	placebo	166	KG00099773	menopausal syndrome	0.03060644306242466
trial_1	placebo	163	KG00104050	bowel obstructions small	0.0300409235060215
trial_1	placebo	508	KG00108565	blood glucose increased	0.029900742694735527
trial_1	placebo	234	KG00098669	dysgeusias	0.02978474833071232
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.02937811054289341
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.029073763638734818
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.02902565710246563
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.02880900539457798
trial_1	placebo	221	KG00101207	peripheral oedema	0.028656059876084328
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.02862725406885147
trial_1	placebo	262	KG00101199	agitation	0.02843313477933407
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.028346870094537735
trial_1	placebo	288	KG00101223	hypophosphataemia	0.028285015374422073
trial_1	placebo	25	KG00099134	congestive failures heart	0.028098752722144127
trial_1	placebo	132	KG00101045	Gain, Weight	0.028095481917262077
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.02802521176636219
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.027643240988254547
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.027169497683644295
trial_1	placebo	211	KG00100341	Pruritus NOS	0.027002986520528793
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.026750337332487106
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.026742633432149887
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.026386713609099388
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.026100890710949898
trial_1	placebo	11	KG00097993	Asthma NOS	0.024681096896529198
trial_2	pentagastrin	78	KG00099326	Hypertensive diseases	0.18985578417778015
trial_2	pentagastrin	87	KG00098599	diarrhoea	0.15973308682441711
trial_2	pentagastrin	123	KG00099351	hypokalaemia	0.13511142134666443
trial_2	pentagastrin	177	KG00099299	hyperglycaemia	0.1281333714723587
trial_2	pentagastrin	9	KG00098432	Confusion NOS	0.12112059444189072
trial_2	pentagastrin	68	KG00099901	nauseas	0.11648574471473694
trial_2	pentagastrin	173	KG00098172	Bronchopneumonia NOS	0.11314522475004196
trial_2	pentagastrin	20	KG00098540	dehydration	0.11127909272909164
trial_2	pentagastrin	17	KG00097991	Asthenia NOS	0.10416913777589798
trial_2	pentagastrin	46	KG00099121	Headache NOS	0.10401645302772522
trial_2	pentagastrin	49	KG00099902	nausea with vomiting	0.10125363618135452
trial_2	pentagastrin	21	KG00098675	dyspnoea	0.09107691049575806
trial_2	pentagastrin	189	KG00101580	Alanine aminotransferase increase	0.08556821197271347
trial_2	pentagastrin	14	KG00097852	Anemia NOS	0.0848274752497673
trial_2	pentagastrin	79	KG00100317	Insomnia, Primary	0.0843992829322815
trial_2	pentagastrin	37	KG00097696	Cramps, Abdominal	0.08063680678606033
trial_2	pentagastrin	200	KG00098539	Disorders, Deglutition	0.07566922903060913
