trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.26780441403388977
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.2360948622226715
trial_1	placebo	123	KG00099351	hypokalaemia	0.1903073936700821
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.14969396591186523
trial_1	placebo	20	KG00098540	dehydration	0.1430763304233551
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12910988926887512
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.12382154911756516
trial_1	placebo	228	KG00114657	Weight below normal	0.11571519076824188
trial_1	placebo	9	KG00098432	Confusion NOS	0.11087869852781296
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11008000373840332
trial_1	placebo	14	KG00097852	Anemia NOS	0.1084926575422287
trial_1	placebo	21	KG00098675	dyspnoea	0.10399843007326126
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10149168223142624
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09815844148397446
trial_1	placebo	85	KG00098474	coughs	0.0887351930141449
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.08604706078767776
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.08095299452543259
trial_1	placebo	46	KG00099121	Headache NOS	0.08033327758312225
trial_1	placebo	350	KG00106765	decreased platelet count	0.07944253832101822
trial_1	placebo	180	KG00099363	Hypotension NOS	0.079011932015419
trial_1	placebo	29	KG00099354	hyponatraemia	0.07686416059732437
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07609372586011887
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07534152269363403
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07385218143463135
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07350011169910431
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.073389433324337
trial_1	placebo	114	KG00098933	fevers	0.06870713829994202
trial_1	placebo	121	KG00099190	haemorrhage	0.06681663542985916
trial_1	placebo	126	KG00100076	Pain NOS	0.06435362249612808
trial_1	placebo	27	KG00099303	hyperkalaemia	0.06397984176874161
trial_1	placebo	179	KG00099342	hypocalcaemia	0.06328821182250977
trial_1	placebo	269	KG00100399	pyaemia	0.06174517795443535
trial_1	placebo	96	KG00101679	Unattended death NOS	0.061448290944099426
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.061361297965049744
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.06116960570216179
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.06056267023086548
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06049531698226929
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.05782962590456009
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05746137723326683
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05638541653752327
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.05566858872771263
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05516687035560608
trial_1	placebo	86	KG00098565	Depression, Mental	0.05478510633111
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.05276774242520332
trial_1	placebo	5	KG00099169	haematuria	0.05189628154039383
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05023658648133278
trial_1	placebo	147	KG00098000	atelectases	0.04957595840096474
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.04900705814361572
trial_1	placebo	77	KG00098450	Constipation NOS	0.04823307320475578
trial_1	placebo	186	KG00101431	creatinine increased	0.04790274798870087
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.047318022698163986
trial_1	placebo	288	KG00101223	hypophosphataemia	0.04728927090764046
trial_1	placebo	164	KG00108827	ileus colon	0.04719206690788269
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.04714616388082504
trial_1	placebo	191	KG00104055	Biliverdin increased	0.046787772327661514
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04630415514111519
trial_1	placebo	4	KG00098817	epistaxis	0.04464304819703102
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.044555965811014175
trial_1	placebo	339	KG00100334	proteinurias	0.0438840351998806
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.04381803795695305
trial_1	placebo	104	KG00097963	arthralgias	0.043588776141405106
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.042802371084690094
trial_1	placebo	68	KG00099901	nauseas	0.042340364307165146
trial_1	placebo	239	KG00100128	pareses	0.0420043058693409
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.04141003638505936
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04125175625085831
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.0411788634955883
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03979720175266266
trial_1	placebo	136	KG00101582	Dry;skin	0.03901642933487892
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.038920581340789795
trial_1	placebo	382	KG00099200	haemorrhoids	0.03879256546497345
trial_1	placebo	18	KG00098307	Pain, Chest	0.038705065846443176
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.038682397454977036
trial_1	placebo	72	KG00103771	myalgias	0.03781222179532051
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03724808990955353
trial_1	placebo	154	KG00099686	Lymphopenias	0.036538951098918915
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.035737790167331696
trial_1	placebo	282	KG00099309	hypernatraemia	0.03439938649535179
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.03389253839850426
trial_1	placebo	22	KG00098705	Edema (NOS)	0.033852074295282364
trial_1	placebo	221	KG00101207	peripheral oedema	0.03372163698077202
trial_1	placebo	11	KG00097993	Asthma NOS	0.03330147638916969
trial_1	placebo	441	KG00098262	cellulitis nos	0.03304271399974823
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.033002279698848724
trial_1	placebo	25	KG00099134	congestive failures heart	0.032653696835041046
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03236464411020279
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03232622146606445
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.031995825469493866
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.03162761777639389
trial_1	placebo	133	KG00101370	neuropathies sensory	0.031567640602588654
trial_1	placebo	234	KG00098669	dysgeusias	0.031453754752874374
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.031277287751436234
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.030998295173048973
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.03065401501953602
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.029930489137768745
trial_1	placebo	263	KG00101519	Ischemia, Myocardial	0.029930125921964645
trial_1	placebo	102	KG00097916	anxieties	0.02991737239062786
trial_1	placebo	183	KG00100449	Adult Respiratory Distress Syndrome	0.02934214100241661
trial_1	placebo	466	KG00101205	fall	0.029223624616861343
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.029072457924485207
trial_2	perindopril	87	KG00098599	diarrhoea	0.26780441403388977
trial_2	perindopril	78	KG00099326	Hypertensive diseases	0.2360948622226715
trial_2	perindopril	123	KG00099351	hypokalaemia	0.1903073936700821
trial_2	perindopril	173	KG00098172	Bronchopneumonia NOS	0.14969396591186523
trial_2	perindopril	20	KG00098540	dehydration	0.1430763304233551
trial_2	perindopril	177	KG00099299	hyperglycaemia	0.12910988926887512
trial_2	perindopril	2	KG00100772	thrombocytopaenia	0.12382154911756516
trial_2	perindopril	228	KG00114657	Weight below normal	0.11571519076824188
trial_2	perindopril	9	KG00098432	Confusion NOS	0.11087869852781296
trial_2	perindopril	17	KG00097991	Asthenia NOS	0.11008000373840332
trial_2	perindopril	14	KG00097852	Anemia NOS	0.1084926575422287
trial_2	perindopril	21	KG00098675	dyspnoea	0.10399843007326126
trial_2	perindopril	37	KG00097696	Cramps, Abdominal	0.10149168223142624
trial_2	perindopril	64	KG00097734	Acrodermatitis, NOS	0.09815844148397446
trial_2	perindopril	85	KG00098474	coughs	0.0887351930141449
trial_2	perindopril	61	KG00099501	Chronic Kidney Failure	0.08604706078767776
trial_2	perindopril	151	KG00098274	Infarction, Cerebral	0.08095299452543259
trial_2	perindopril	46	KG00099121	Headache NOS	0.08033327758312225
trial_2	perindopril	350	KG00106765	decreased platelet count	0.07944253832101822
trial_2	perindopril	180	KG00099363	Hypotension NOS	0.079011932015419
trial_2	perindopril	29	KG00099354	hyponatraemia	0.07686416059732437
trial_2	perindopril	188	KG00101579	Aspartate aminotransferase increase	0.07609372586011887
trial_2	perindopril	67	KG00098673	Dyspepsia, NOS	0.07534152269363403
trial_2	perindopril	200	KG00098539	Disorders, Deglutition	0.07385218143463135
trial_2	perindopril	189	KG00101580	Alanine aminotransferase increase	0.07350011169910431
trial_2	perindopril	76	KG00100450	Respiratory insufficiency, NOS	0.073389433324337
trial_2	perindopril	114	KG00098933	fevers	0.06870713829994202
trial_2	perindopril	121	KG00099190	haemorrhage	0.06681663542985916
trial_2	perindopril	126	KG00100076	Pain NOS	0.06435362249612808
trial_2	perindopril	27	KG00099303	hyperkalaemia	0.06397984176874161
trial_2	perindopril	179	KG00099342	hypocalcaemia	0.06328821182250977
trial_2	perindopril	269	KG00100399	pyaemia	0.06174517795443535
trial_2	perindopril	96	KG00101679	Unattended death NOS	0.061448290944099426
trial_2	perindopril	142	KG00100923	Unspecified infectious and parasitic diseases	0.061361297965049744
trial_2	perindopril	130	KG00100683	Stomatitis NOS	0.06116960570216179
trial_2	perindopril	276	KG00099127	Arrest, Cardiac	0.06056267023086548
trial_2	perindopril	49	KG00099902	nausea with vomiting	0.06049531698226929
trial_2	perindopril	356	KG00112623	Infectious Lung Disorders	0.05782962590456009
trial_2	perindopril	28	KG00099347	hypoglycaemia	0.05746137723326683
trial_2	perindopril	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05638541653752327
trial_2	perindopril	122	KG00099321	Hypersensitivity NOS	0.05566858872771263
trial_2	perindopril	101	KG00097901	Anorexia NOS	0.05516687035560608
trial_2	perindopril	86	KG00098565	Depression, Mental	0.05478510633111
trial_2	perindopril	131	KG00100948	Urinary tract infection (& [NOS])	0.05276774242520332
trial_2	perindopril	5	KG00099169	haematuria	0.05189628154039383
trial_2	perindopril	79	KG00100317	Insomnia, Primary	0.05023658648133278
trial_2	perindopril	147	KG00098000	atelectases	0.04957595840096474
trial_2	perindopril	31	KG00099872	Infarction, Myocardial	0.04900705814361572
trial_2	perindopril	77	KG00098450	Constipation NOS	0.04823307320475578
trial_2	perindopril	186	KG00101431	creatinine increased	0.04790274798870087
trial_2	perindopril	30	KG00099500	Acute Kidney Failure	0.047318022698163986
trial_2	perindopril	288	KG00101223	hypophosphataemia	0.04728927090764046
trial_2	perindopril	164	KG00108827	ileus colon	0.04719206690788269
trial_2	perindopril	249	KG00104430	hypoalbuminaemia	0.04714616388082504
trial_2	perindopril	191	KG00104055	Biliverdin increased	0.046787772327661514
trial_2	perindopril	243	KG00100947	Micturition frequency increased	0.04630415514111519
trial_2	perindopril	4	KG00098817	epistaxis	0.04464304819703102
trial_2	perindopril	194	KG00110727	Neutrophil Count Decreased	0.044555965811014175
trial_2	perindopril	339	KG00100334	proteinurias	0.0438840351998806
trial_2	perindopril	35	KG00101507	hypomagnesaemia	0.04381803795695305
trial_2	perindopril	104	KG00097963	arthralgias	0.043588776141405106
trial_2	perindopril	144	KG00099610	Leukopenia NOS	0.042802371084690094
trial_2	perindopril	68	KG00099901	nauseas	0.042340364307165146
trial_2	perindopril	239	KG00100128	pareses	0.0420043058693409
trial_2	perindopril	361	KG00098004	Fibrillation, Atrial	0.04141003638505936
trial_2	perindopril	139	KG00098855	Sinusitis, Ethmoid	0.04125175625085831
trial_2	perindopril	253	KG00100232	Pleural effusion NOS (disorder)	0.0411788634955883
trial_2	perindopril	396	KG00100373	Embolism, Pulmonary	0.03979720175266266
trial_2	perindopril	136	KG00101582	Dry;skin	0.03901642933487892
trial_2	perindopril	1	KG00099959	Neutropenia NOS	0.038920581340789795
trial_2	perindopril	382	KG00099200	haemorrhoids	0.03879256546497345
trial_2	perindopril	18	KG00098307	Pain, Chest	0.038705065846443176
trial_2	perindopril	138	KG00098796	epidemic vomiting syndrome	0.038682397454977036
