trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14862604439258575
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13541649281978607
trial_1	placebo	9	KG00098432	Confusion NOS	0.0881616547703743
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08264806866645813
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08073339611291885
trial_1	placebo	77	KG00098450	Constipation NOS	0.07234405726194382
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06864268332719803
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06824345141649246
trial_1	placebo	68	KG00099901	nauseas	0.06454306095838547
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06335509568452835
trial_1	placebo	46	KG00099121	Headache NOS	0.06197210028767586
trial_1	placebo	20	KG00098540	dehydration	0.06169275566935539
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06128771975636482
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05972137674689293
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.058540549129247665
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05827568098902702
trial_1	placebo	123	KG00099351	hypokalaemia	0.058180682361125946
trial_1	placebo	21	KG00098675	dyspnoea	0.05743485689163208
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05399971827864647
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04982946440577507
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04783283546566963
trial_1	placebo	228	KG00114657	Weight below normal	0.04634751006960869
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04620840772986412
trial_1	placebo	350	KG00106765	decreased platelet count	0.042155563831329346
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04024790599942207
trial_1	placebo	29	KG00099354	hyponatraemia	0.03947482630610466
trial_1	placebo	114	KG00098933	fevers	0.039438292384147644
trial_1	placebo	104	KG00097963	arthralgias	0.038797151297330856
trial_1	placebo	14	KG00097852	Anemia NOS	0.037304867058992386
trial_1	placebo	86	KG00098565	Depression, Mental	0.036563217639923096
trial_1	placebo	126	KG00100076	Pain NOS	0.036407165229320526
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03461813926696777
trial_1	placebo	239	KG00100128	pareses	0.034510087221860886
trial_1	placebo	72	KG00103771	myalgias	0.03364071622490883
