trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08561141043901443
trial_1	placebo	9	KG00098432	Confusion NOS	0.07980667799711227
trial_1	placebo	87	KG00098599	diarrhoea	0.07793956249952316
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06161705404520035
trial_1	placebo	123	KG00099351	hypokalaemia	0.0551680251955986
trial_1	placebo	46	KG00099121	Headache NOS	0.05031087249517441
trial_1	placebo	21	KG00098675	dyspnoea	0.04978298023343086
trial_1	placebo	77	KG00098450	Constipation NOS	0.045892201364040375
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0444207563996315
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.043358203023672104
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04175326228141785
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04058190807700157
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04005314037203789
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0397920086979866
trial_1	placebo	20	KG00098540	dehydration	0.03962104395031929
trial_1	placebo	68	KG00099901	nauseas	0.037223730236291885
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03624667227268219
trial_1	placebo	180	KG00099363	Hypotension NOS	0.036191653460264206
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03601289168000221
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.035762183368206024
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03562437742948532
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03537648543715477
trial_1	placebo	14	KG00097852	Anemia NOS	0.03372830152511597
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03302019461989403
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03208388015627861
trial_1	placebo	126	KG00100076	Pain NOS	0.03162184730172157
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.031614672392606735
trial_1	placebo	147	KG00098000	atelectases	0.030715271830558777
trial_1	placebo	29	KG00099354	hyponatraemia	0.02885388769209385
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.02826385200023651
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.028019003570079803
trial_1	placebo	96	KG00101679	Unattended death NOS	0.026382340118288994
trial_1	placebo	5	KG00099169	haematuria	0.025584684684872627
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.0249891709536314
trial_1	placebo	269	KG00100399	pyaemia	0.024692269042134285
trial_1	placebo	350	KG00106765	decreased platelet count	0.024098873138427734
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.023723749443888664
trial_1	placebo	114	KG00098933	fevers	0.023035846650600433
trial_1	placebo	228	KG00114657	Weight below normal	0.022721251472830772
trial_1	placebo	18	KG00098307	Pain, Chest	0.021201785653829575
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.021188922226428986
trial_1	placebo	239	KG00100128	pareses	0.021064314991235733
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.020766189321875572
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02061201073229313
trial_1	placebo	85	KG00098474	coughs	0.02060127630829811
trial_1	placebo	441	KG00098262	cellulitis nos	0.02055322378873825
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.020244738087058067
trial_1	placebo	104	KG00097963	arthralgias	0.01981937140226364
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.019726116210222244
trial_1	placebo	27	KG00099303	hyperkalaemia	0.019563443958759308
trial_1	placebo	234	KG00098669	dysgeusias	0.019398171454668045
trial_1	placebo	69	KG00100082	Palpitations NOS	0.019383441656827927
trial_1	placebo	179	KG00099342	hypocalcaemia	0.019363615661859512
trial_1	placebo	191	KG00104055	Biliverdin increased	0.019212009385228157
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.018986742943525314
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.01884925737977028
trial_1	placebo	286	KG00101110	Retention, Urinary	0.01874101348221302
trial_1	placebo	121	KG00099190	haemorrhage	0.018622856587171555
trial_1	placebo	86	KG00098565	Depression, Mental	0.018298981711268425
trial_1	placebo	102	KG00097916	anxieties	0.017980381846427917
trial_1	placebo	101	KG00097901	Anorexia NOS	0.017677977681159973
