trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14855323731899261
trial_1	placebo	87	KG00098599	diarrhoea	0.10476164519786835
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08311373740434647
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08056595921516418
trial_1	placebo	46	KG00099121	Headache NOS	0.07629936188459396
trial_1	placebo	9	KG00098432	Confusion NOS	0.07136144489049911
trial_1	placebo	123	KG00099351	hypokalaemia	0.07123222947120667
trial_1	placebo	77	KG00098450	Constipation NOS	0.06384651362895966
trial_1	placebo	20	KG00098540	dehydration	0.059766944497823715
trial_1	placebo	49	KG00099902	nausea with vomiting	0.058438047766685486
trial_1	placebo	68	KG00099901	nauseas	0.05783705785870552
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0560828372836113
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.05572886765003204
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05468089133501053
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.054460685700178146
trial_1	placebo	21	KG00098675	dyspnoea	0.05361241102218628
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05205195024609566
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04767508804798126
trial_1	placebo	29	KG00099354	hyponatraemia	0.04698953032493591
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04427550360560417
trial_1	placebo	180	KG00099363	Hypotension NOS	0.0430859737098217
trial_1	placebo	350	KG00106765	decreased platelet count	0.04251266270875931
trial_1	placebo	179	KG00099342	hypocalcaemia	0.0385199598968029
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.038201358169317245
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03815232217311859
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03764496371150017
trial_1	placebo	96	KG00101679	Unattended death NOS	0.037235770374536514
trial_1	placebo	126	KG00100076	Pain NOS	0.03678160160779953
trial_1	placebo	14	KG00097852	Anemia NOS	0.0355854257941246
trial_1	placebo	85	KG00098474	coughs	0.035510044544935226
trial_1	placebo	104	KG00097963	arthralgias	0.034859638661146164
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.0347834937274456
trial_1	placebo	114	KG00098933	fevers	0.03471500054001808
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03432164341211319
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.033440493047237396
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03324276581406593
trial_1	placebo	228	KG00114657	Weight below normal	0.03309079259634018
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.032743941992521286
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03242237865924835
trial_1	placebo	121	KG00099190	haemorrhage	0.03226244077086449
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03199218958616257
trial_1	placebo	262	KG00101199	agitation	0.03179461881518364
trial_1	placebo	86	KG00098565	Depression, Mental	0.030977189540863037
trial_1	placebo	239	KG00100128	pareses	0.03077751025557518
trial_1	placebo	5	KG00099169	haematuria	0.03039080835878849
trial_1	placebo	102	KG00097916	anxieties	0.029909953474998474
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.029209312051534653
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0288980845361948
trial_1	placebo	164	KG00108827	ileus colon	0.028177909553050995
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.027835538610816002
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.027211006730794907
trial_1	placebo	147	KG00098000	atelectases	0.02637951262295246
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.026308640837669373
trial_1	placebo	132	KG00101045	Gain, Weight	0.026224391534924507
trial_1	placebo	18	KG00098307	Pain, Chest	0.025148184970021248
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02497631497681141
trial_1	placebo	282	KG00099309	hypernatraemia	0.02432169020175934
trial_1	placebo	300	KG00101064	xerostomia	0.0237321387976408
trial_1	placebo	72	KG00103771	myalgias	0.023643488064408302
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02345805987715721
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02315654046833515
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.023080430924892426
