trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	9	KG00098432	Confusion NOS	0.10647468268871307
trial_1	placebo	87	KG00098599	diarrhoea	0.09857674688100815
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08289927989244461
trial_1	placebo	123	KG00099351	hypokalaemia	0.0741645023226738
trial_1	placebo	46	KG00099121	Headache NOS	0.06604889780282974
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06175079941749573
trial_1	placebo	21	KG00098675	dyspnoea	0.059172701090574265
trial_1	placebo	14	KG00097852	Anemia NOS	0.05568031966686249
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.054544057697057724
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.053519587963819504
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05332670360803604
trial_1	placebo	177	KG00099299	hyperglycaemia	0.05082353949546814
trial_1	placebo	68	KG00099901	nauseas	0.05061227083206177
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05053133890032768
trial_1	placebo	77	KG00098450	Constipation NOS	0.04975070059299469
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04947211220860481
trial_1	placebo	17	KG00097991	Asthenia NOS	0.049297917634248734
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.047641411423683167
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.047626130282878876
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04664119705557823
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.044628385454416275
trial_1	placebo	114	KG00098933	fevers	0.04458996653556824
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04320709407329559
trial_1	placebo	20	KG00098540	dehydration	0.042912062257528305
trial_1	placebo	126	KG00100076	Pain NOS	0.042666252702474594
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0374867208302021
trial_1	placebo	350	KG00106765	decreased platelet count	0.03715422376990318
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.036700259894132614
trial_1	placebo	29	KG00099354	hyponatraemia	0.036156799644231796
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.035774122923612595
trial_1	placebo	269	KG00100399	pyaemia	0.03567663952708244
trial_1	placebo	96	KG00101679	Unattended death NOS	0.035211414098739624
trial_1	placebo	147	KG00098000	atelectases	0.03507721796631813
