trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3063208758831024
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.23083063960075378
trial_1	placebo	68	KG00099901	nauseas	0.16603539884090424
trial_1	placebo	17	KG00097991	Asthenia NOS	0.16537471115589142
trial_1	placebo	123	KG00099351	hypokalaemia	0.1621829867362976
trial_1	placebo	177	KG00099299	hyperglycaemia	0.16211311519145966
trial_1	placebo	20	KG00098540	dehydration	0.15876652300357819
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.14271306991577148
trial_1	placebo	9	KG00098432	Confusion NOS	0.13915185630321503
trial_1	placebo	49	KG00099902	nausea with vomiting	0.13234612345695496
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.12701210379600525
trial_1	placebo	46	KG00099121	Headache NOS	0.12328416854143143
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.12321434170007706
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.11779540032148361
trial_1	placebo	21	KG00098675	dyspnoea	0.1159023642539978
trial_1	placebo	228	KG00114657	Weight below normal	0.11265230923891068
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.11055894941091537
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.10802724957466125
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.10212136059999466
trial_1	placebo	77	KG00098450	Constipation NOS	0.09912770986557007
trial_1	placebo	101	KG00097901	Anorexia NOS	0.09435097128152847
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09412180632352829
trial_1	placebo	14	KG00097852	Anemia NOS	0.09130759537220001
trial_1	placebo	29	KG00099354	hyponatraemia	0.08759687840938568
trial_1	placebo	350	KG00106765	decreased platelet count	0.08748698979616165
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07943102717399597
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0778617337346077
trial_1	placebo	114	KG00098933	fevers	0.07576633989810944
trial_1	placebo	239	KG00100128	pareses	0.07314934581518173
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.07166528701782227
trial_1	placebo	5	KG00099169	haematuria	0.07105858623981476
trial_1	placebo	27	KG00099303	hyperkalaemia	0.06992233544588089
trial_1	placebo	85	KG00098474	coughs	0.06958693265914917
trial_1	placebo	86	KG00098565	Depression, Mental	0.06888426840305328
trial_1	placebo	126	KG00100076	Pain NOS	0.06873676925897598
trial_1	placebo	104	KG00097963	arthralgias	0.06809385120868683
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06536451727151871
trial_1	placebo	28	KG00099347	hypoglycaemia	0.06536269932985306
trial_1	placebo	179	KG00099342	hypocalcaemia	0.06210898235440254
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06100896745920181
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.06068909540772438
trial_1	placebo	72	KG00103771	myalgias	0.06014259159564972
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06013824790716171
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05681962892413139
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.05654602497816086
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.05599137023091316
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.05426230654120445
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.0542127750813961
trial_1	placebo	82	KG00097697	abdomen distended	0.05396740138530731
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.053584739565849304
trial_1	placebo	116	KG00098964	Pain in foot	0.05292403697967529
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.052251290529966354
trial_1	placebo	147	KG00098000	atelectases	0.05132590979337692
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.05033963546156883
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.05031078681349754
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04962850362062454
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.047441236674785614
trial_1	placebo	102	KG00097916	anxieties	0.047237031161785126
trial_1	placebo	282	KG00099309	hypernatraemia	0.046748410910367966
trial_1	placebo	18	KG00098307	Pain, Chest	0.043969858437776566
trial_1	placebo	262	KG00101199	agitation	0.043531645089387894
trial_1	placebo	69	KG00100082	Palpitations NOS	0.043261077255010605
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.043037232011556625
trial_1	placebo	164	KG00108827	ileus colon	0.04285949096083641
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.042787984013557434
trial_1	placebo	234	KG00098669	dysgeusias	0.04234687238931656
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.04226987808942795
trial_1	placebo	466	KG00101205	fall	0.04216895252466202
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04151260852813721
trial_1	placebo	269	KG00100399	pyaemia	0.04097079485654831
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.0403754748404026
trial_1	placebo	288	KG00101223	hypophosphataemia	0.04022788256406784
trial_1	placebo	132	KG00101045	Gain, Weight	0.04019150882959366
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03985384479165077
trial_1	placebo	186	KG00101431	creatinine increased	0.03923164680600166
