trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.15497347712516785
trial_1	placebo	9	KG00098432	Confusion NOS	0.1423894613981247
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12742114067077637
trial_1	placebo	87	KG00098599	diarrhoea	0.11890270560979843
trial_1	placebo	20	KG00098540	dehydration	0.0989721417427063
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0967104583978653
trial_1	placebo	77	KG00098450	Constipation NOS	0.09233760088682175
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0919240191578865
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08956899493932724
trial_1	placebo	123	KG00099351	hypokalaemia	0.08438369631767273
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07695553451776505
trial_1	placebo	46	KG00099121	Headache NOS	0.07631410658359528
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07530495524406433
trial_1	placebo	68	KG00099901	nauseas	0.07357513904571533
trial_1	placebo	228	KG00114657	Weight below normal	0.07211566716432571
trial_1	placebo	21	KG00098675	dyspnoea	0.07064016163349152
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06610087305307388
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06502611935138702
trial_1	placebo	86	KG00098565	Depression, Mental	0.06486350297927856
trial_1	placebo	29	KG00099354	hyponatraemia	0.061137259006500244
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.058588188141584396
trial_1	placebo	132	KG00101045	Gain, Weight	0.057912494987249374
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05782357230782509
trial_1	placebo	239	KG00100128	pareses	0.054058145731687546
trial_1	placebo	350	KG00106765	decreased platelet count	0.05301773175597191
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.052726976573467255
trial_1	placebo	104	KG00097963	arthralgias	0.0520375557243824
trial_1	placebo	102	KG00097916	anxieties	0.05190901458263397
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04985778406262398
trial_1	placebo	66	KG00098642	drowsiness	0.04964597895741463
trial_1	placebo	466	KG00101205	fall	0.04818367958068848
trial_1	placebo	14	KG00097852	Anemia NOS	0.0476008839905262
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04651985689997673
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04628434404730797
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04613664001226425
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04507739841938019
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04480695724487305
trial_1	placebo	262	KG00101199	agitation	0.04335591942071915
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.04250333458185196
trial_1	placebo	85	KG00098474	coughs	0.04192754253745079
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.041728973388671875
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04145088419318199
trial_1	placebo	114	KG00098933	fevers	0.0414128303527832
trial_1	placebo	126	KG00100076	Pain NOS	0.04130915179848671
trial_1	placebo	242	KG00100855	tremors	0.03979070484638214
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.0395415760576725
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03913522884249687
trial_1	placebo	300	KG00101064	xerostomia	0.038139622658491135
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03781428560614586
trial_1	placebo	179	KG00099342	hypocalcaemia	0.035636454820632935
trial_1	placebo	5	KG00099169	haematuria	0.03503602743148804
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.034765247255563736
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03451777994632721
trial_1	placebo	116	KG00098964	Pain in foot	0.034013185650110245
trial_1	placebo	96	KG00101679	Unattended death NOS	0.033495206385850906
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.033481113612651825
trial_1	placebo	27	KG00099303	hyperkalaemia	0.031525351107120514
