trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05559774488210678
trial_1	placebo	177	KG00099299	hyperglycaemia	0.041180700063705444
trial_1	placebo	21	KG00098675	dyspnoea	0.03971634805202484
trial_1	placebo	46	KG00099121	Headache NOS	0.035723283886909485
trial_1	placebo	87	KG00098599	diarrhoea	0.034051984548568726
trial_1	placebo	123	KG00099351	hypokalaemia	0.03232748806476593
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.031517963856458664
trial_1	placebo	9	KG00098432	Confusion NOS	0.029403813183307648
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.02679743990302086
trial_1	placebo	126	KG00100076	Pain NOS	0.02564140222966671
trial_1	placebo	17	KG00097991	Asthenia NOS	0.02528519742190838
trial_1	placebo	14	KG00097852	Anemia NOS	0.02384258434176445
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.023486480116844177
trial_1	placebo	20	KG00098540	dehydration	0.0233779177069664
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.02255597896873951
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02160351350903511
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02128772996366024
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02123279497027397
trial_1	placebo	121	KG00099190	haemorrhage	0.02077019400894642
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02076006680727005
trial_1	placebo	28	KG00099347	hypoglycaemia	0.020239131525158882
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02013920247554779
trial_1	placebo	147	KG00098000	atelectases	0.019770992919802666
trial_1	placebo	85	KG00098474	coughs	0.017924923449754715
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.017834274098277092
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.017792943865060806
trial_1	placebo	77	KG00098450	Constipation NOS	0.017625240609049797
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.0164748877286911
trial_1	placebo	29	KG00099354	hyponatraemia	0.01646421290934086
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.016440903767943382
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0158134326338768
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.015622597187757492
trial_1	placebo	441	KG00098262	cellulitis nos	0.015078582800924778
trial_1	placebo	114	KG00098933	fevers	0.01500812079757452
trial_1	placebo	49	KG00099902	nausea with vomiting	0.014860304072499275
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.014731236733496189
trial_1	placebo	5	KG00099169	haematuria	0.014277275651693344
trial_1	placebo	86	KG00098565	Depression, Mental	0.014207578264176846
trial_1	placebo	269	KG00100399	pyaemia	0.014017755165696144
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.013997070491313934
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.013741519302129745
trial_1	placebo	18	KG00098307	Pain, Chest	0.013590463437139988
trial_1	placebo	104	KG00097963	arthralgias	0.013075164519250393
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.013024626299738884
trial_1	placebo	179	KG00099342	hypocalcaemia	0.013000717386603355
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.012994533404707909
trial_1	placebo	68	KG00099901	nauseas	0.012971357442438602
trial_1	placebo	27	KG00099303	hyperkalaemia	0.01290478091686964
trial_1	placebo	53	KG00101550	Pain in eyes	0.012814076617360115
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.012648003175854683
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.012403617613017559
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.011992132291197777
trial_1	placebo	350	KG00106765	decreased platelet count	0.01134435273706913
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.011169707402586937
trial_1	placebo	234	KG00098669	dysgeusias	0.011119851842522621
trial_1	placebo	69	KG00100082	Palpitations NOS	0.011079942807555199
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.010990845039486885
trial_1	placebo	228	KG00114657	Weight below normal	0.010894457809627056
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.010716027580201626
trial_1	placebo	136	KG00101582	Dry;skin	0.010554521344602108
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.010516957379877567
trial_1	placebo	239	KG00100128	pareses	0.010402132757008076
trial_1	placebo	212	KG00100576	shivers	0.010369937866926193
trial_1	placebo	211	KG00100341	Pruritus NOS	0.01036806870251894
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.010306300595402718
