trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07604463398456573
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07446206361055374
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.057348672300577164
trial_1	placebo	87	KG00098599	diarrhoea	0.051259543746709824
trial_1	placebo	123	KG00099351	hypokalaemia	0.04428035393357277
trial_1	placebo	17	KG00097991	Asthenia NOS	0.042942773550748825
trial_1	placebo	20	KG00098540	dehydration	0.04243416339159012
trial_1	placebo	21	KG00098675	dyspnoea	0.03969455137848854
trial_1	placebo	14	KG00097852	Anemia NOS	0.03827615827322006
trial_1	placebo	28	KG00099347	hypoglycaemia	0.037778761237859726
trial_1	placebo	9	KG00098432	Confusion NOS	0.03473381698131561
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03374677523970604
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03223278746008873
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03151147812604904
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03083513118326664
trial_1	placebo	77	KG00098450	Constipation NOS	0.029765671119093895
trial_1	placebo	46	KG00099121	Headache NOS	0.02943507395684719
trial_1	placebo	180	KG00099363	Hypotension NOS	0.028900200501084328
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.028277037665247917
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.028242159634828568
trial_1	placebo	29	KG00099354	hyponatraemia	0.02733369544148445
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.026675257831811905
trial_1	placebo	114	KG00098933	fevers	0.025750892236828804
trial_1	placebo	126	KG00100076	Pain NOS	0.024939656257629395
trial_1	placebo	147	KG00098000	atelectases	0.02453506737947464
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.024362068623304367
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.024159060791134834
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.023866834118962288
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02381320483982563
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023790020495653152
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02353115938603878
trial_1	placebo	350	KG00106765	decreased platelet count	0.02327018976211548
trial_1	placebo	179	KG00099342	hypocalcaemia	0.02325202338397503
trial_1	placebo	86	KG00098565	Depression, Mental	0.023059435188770294
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02305719628930092
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02289416454732418
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.022620223462581635
trial_1	placebo	239	KG00100128	pareses	0.022001728415489197
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021621717140078545
trial_1	placebo	85	KG00098474	coughs	0.021320315077900887
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.020983166992664337
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.020495671778917313
trial_1	placebo	121	KG00099190	haemorrhage	0.0204225592315197
trial_1	placebo	49	KG00099902	nausea with vomiting	0.020044393837451935
trial_1	placebo	5	KG00099169	haematuria	0.01992972008883953
trial_1	placebo	441	KG00098262	cellulitis nos	0.01981499046087265
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.01977301947772503
trial_1	placebo	228	KG00114657	Weight below normal	0.0196751169860363
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.01934356614947319
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.019036002457141876
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.01899477280676365
trial_1	placebo	269	KG00100399	pyaemia	0.018986716866493225
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.018657442182302475
trial_1	placebo	104	KG00097963	arthralgias	0.018213266506791115
trial_1	placebo	68	KG00099901	nauseas	0.017998524010181427
trial_1	placebo	72	KG00103771	myalgias	0.01794682815670967
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.017366524785757065
trial_1	placebo	132	KG00101045	Gain, Weight	0.016902929171919823
trial_1	placebo	69	KG00100082	Palpitations NOS	0.016805971041321754
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.016691667959094048
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01651897095143795
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01605766825377941
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.01596038043498993
trial_1	placebo	221	KG00101207	peripheral oedema	0.015509471297264099
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.015371013432741165
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.015013668686151505
trial_1	placebo	18	KG00098307	Pain, Chest	0.014888967387378216
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.014849398285150528
trial_1	placebo	133	KG00101370	neuropathies sensory	0.014566730707883835
trial_1	placebo	234	KG00098669	dysgeusias	0.014531297609210014
trial_1	placebo	116	KG00098964	Pain in foot	0.014430256560444832
trial_1	placebo	282	KG00099309	hypernatraemia	0.014351761899888515
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.013748874887824059
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.013529469259083271
trial_1	placebo	102	KG00097916	anxieties	0.013434883207082748
trial_1	placebo	508	KG00108565	blood glucose increased	0.013414907269179821
trial_1	placebo	288	KG00101223	hypophosphataemia	0.013263105414807796
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.013248990289866924
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.013191010802984238
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.013189439661800861
trial_1	placebo	163	KG00104050	bowel obstructions small	0.013168602250516415
trial_1	placebo	466	KG00101205	fall	0.013146654702723026
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.01296139694750309
trial_1	placebo	164	KG00108827	ileus colon	0.012876547873020172
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.012866097502410412
trial_1	placebo	154	KG00099686	Lymphopenias	0.01284321304410696
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.012441677041351795
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.012377382256090641
trial_1	placebo	262	KG00101199	agitation	0.012202061712741852
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.012035185471177101
trial_1	placebo	286	KG00101110	Retention, Urinary	0.011948864907026291
trial_1	placebo	118	KG00099011	Gastritis NOS	0.01182416919618845
trial_1	placebo	100	KG00097815	alopecias	0.011574313044548035
trial_1	placebo	4	KG00098817	epistaxis	0.011429243721067905
trial_1	placebo	242	KG00100855	tremors	0.011295298114418983
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.011253810487687588
trial_1	placebo	22	KG00098705	Edema (NOS)	0.011161073110997677
trial_1	placebo	82	KG00097697	abdomen distended	0.011145679280161858
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.011029964312911034
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.010965486988425255
trial_2	prednisolone acetate	78	KG00099326	Hypertensive diseases	0.07604463398456573
trial_2	prednisolone acetate	177	KG00099299	hyperglycaemia	0.07446206361055374
trial_2	prednisolone acetate	173	KG00098172	Bronchopneumonia NOS	0.057348672300577164
trial_2	prednisolone acetate	87	KG00098599	diarrhoea	0.051259543746709824
trial_2	prednisolone acetate	123	KG00099351	hypokalaemia	0.04428035393357277
trial_2	prednisolone acetate	17	KG00097991	Asthenia NOS	0.042942773550748825
trial_2	prednisolone acetate	20	KG00098540	dehydration	0.04243416339159012
trial_2	prednisolone acetate	21	KG00098675	dyspnoea	0.03969455137848854
trial_2	prednisolone acetate	14	KG00097852	Anemia NOS	0.03827615827322006
trial_2	prednisolone acetate	28	KG00099347	hypoglycaemia	0.037778761237859726
trial_2	prednisolone acetate	9	KG00098432	Confusion NOS	0.03473381698131561
trial_2	prednisolone acetate	37	KG00097696	Cramps, Abdominal	0.03374677523970604
trial_2	prednisolone acetate	151	KG00098274	Infarction, Cerebral	0.03223278746008873
trial_2	prednisolone acetate	64	KG00097734	Acrodermatitis, NOS	0.03151147812604904
trial_2	prednisolone acetate	200	KG00098539	Disorders, Deglutition	0.03083513118326664
trial_2	prednisolone acetate	77	KG00098450	Constipation NOS	0.029765671119093895
trial_2	prednisolone acetate	46	KG00099121	Headache NOS	0.02943507395684719
trial_2	prednisolone acetate	180	KG00099363	Hypotension NOS	0.028900200501084328
trial_2	prednisolone acetate	61	KG00099501	Chronic Kidney Failure	0.028277037665247917
trial_2	prednisolone acetate	2	KG00100772	thrombocytopaenia	0.028242159634828568
trial_2	prednisolone acetate	29	KG00099354	hyponatraemia	0.02733369544148445
trial_2	prednisolone acetate	67	KG00098673	Dyspepsia, NOS	0.026675257831811905
trial_2	prednisolone acetate	114	KG00098933	fevers	0.025750892236828804
trial_2	prednisolone acetate	126	KG00100076	Pain NOS	0.024939656257629395
trial_2	prednisolone acetate	147	KG00098000	atelectases	0.02453506737947464
trial_2	prednisolone acetate	189	KG00101580	Alanine aminotransferase increase	0.024362068623304367
trial_2	prednisolone acetate	122	KG00099321	Hypersensitivity NOS	0.024159060791134834
trial_2	prednisolone acetate	79	KG00100317	Insomnia, Primary	0.023866834118962288
trial_2	prednisolone acetate	96	KG00101679	Unattended death NOS	0.02381320483982563
trial_2	prednisolone acetate	396	KG00100373	Embolism, Pulmonary	0.023790020495653152
trial_2	prednisolone acetate	27	KG00099303	hyperkalaemia	0.02353115938603878
trial_2	prednisolone acetate	350	KG00106765	decreased platelet count	0.02327018976211548
trial_2	prednisolone acetate	179	KG00099342	hypocalcaemia	0.02325202338397503
trial_2	prednisolone acetate	86	KG00098565	Depression, Mental	0.023059435188770294
trial_2	prednisolone acetate	36	KG00106434	Vision, Blurring Of	0.02305719628930092
trial_2	prednisolone acetate	76	KG00100450	Respiratory insufficiency, NOS	0.02289416454732418
trial_2	prednisolone acetate	38	KG00098066	Binocular vision disorders	0.022620223462581635
trial_2	prednisolone acetate	239	KG00100128	pareses	0.022001728415489197
trial_2	prednisolone acetate	131	KG00100948	Urinary tract infection (& [NOS])	0.021621717140078545
trial_2	prednisolone acetate	85	KG00098474	coughs	0.021320315077900887
trial_2	prednisolone acetate	30	KG00099500	Acute Kidney Failure	0.020983166992664337
trial_2	prednisolone acetate	142	KG00100923	Unspecified infectious and parasitic diseases	0.020495671778917313
trial_2	prednisolone acetate	121	KG00099190	haemorrhage	0.0204225592315197
