trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.15833671391010284
trial_1	placebo	87	KG00098599	diarrhoea	0.14477284252643585
trial_1	placebo	77	KG00098450	Constipation NOS	0.11168421059846878
trial_1	placebo	20	KG00098540	dehydration	0.09400751441717148
trial_1	placebo	9	KG00098432	Confusion NOS	0.09220633655786514
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08605004101991653
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08374779671430588
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07623584568500519
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07577682286500931
trial_1	placebo	123	KG00099351	hypokalaemia	0.07503389567136765
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06707239896059036
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06260552257299423
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05821020156145096
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.056342288851737976
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.055916521698236465
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.055634479969739914
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05343075469136238
trial_1	placebo	21	KG00098675	dyspnoea	0.053043726831674576
trial_1	placebo	46	KG00099121	Headache NOS	0.05204044654965401
trial_1	placebo	239	KG00100128	pareses	0.04934132471680641
trial_1	placebo	29	KG00099354	hyponatraemia	0.04802732914686203
trial_1	placebo	228	KG00114657	Weight below normal	0.04678075388073921
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04529872536659241
trial_1	placebo	86	KG00098565	Depression, Mental	0.045004311949014664
trial_1	placebo	68	KG00099901	nauseas	0.04479021579027176
trial_1	placebo	350	KG00106765	decreased platelet count	0.04440143704414368
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04289472475647926
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.042007606476545334
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04069426655769348
trial_1	placebo	85	KG00098474	coughs	0.04068436473608017
trial_1	placebo	300	KG00101064	xerostomia	0.04032211750745773
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03948765620589256
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03937748074531555
trial_1	placebo	132	KG00101045	Gain, Weight	0.03931308165192604
trial_1	placebo	126	KG00100076	Pain NOS	0.03862866386771202
trial_1	placebo	164	KG00108827	ileus colon	0.03861623257398605
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03850409388542175
trial_1	placebo	14	KG00097852	Anemia NOS	0.03799930587410927
trial_1	placebo	28	KG00099347	hypoglycaemia	0.037674564868211746
trial_1	placebo	104	KG00097963	arthralgias	0.037486616522073746
trial_1	placebo	5	KG00099169	haematuria	0.03726274520158768
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.036328330636024475
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03586067259311676
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03501661494374275
trial_1	placebo	286	KG00101110	Retention, Urinary	0.03461381793022156
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03433359041810036
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.03398992866277695
trial_1	placebo	102	KG00097916	anxieties	0.03390401229262352
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.032974474132061005
trial_1	placebo	147	KG00098000	atelectases	0.03282210975885391
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.0327848345041275
trial_1	placebo	27	KG00099303	hyperkalaemia	0.032315660268068314
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03225522115826607
trial_1	placebo	114	KG00098933	fevers	0.032252755016088486
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.03155725076794624
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03150958567857742
trial_1	placebo	262	KG00101199	agitation	0.031199121847748756
trial_1	placebo	101	KG00097901	Anorexia NOS	0.030798686668276787
