trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.21078048646450043
trial_1	placebo	9	KG00098432	Confusion NOS	0.1578644961118698
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13338330388069153
trial_1	placebo	77	KG00098450	Constipation NOS	0.10122896730899811
trial_1	placebo	123	KG00099351	hypokalaemia	0.09710747003555298
trial_1	placebo	68	KG00099901	nauseas	0.09347876906394958
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.09322153031826019
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09201718121767044
trial_1	placebo	46	KG00099121	Headache NOS	0.08780483901500702
trial_1	placebo	20	KG00098540	dehydration	0.07807239890098572
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0764378234744072
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07327012717723846
trial_1	placebo	21	KG00098675	dyspnoea	0.07292966544628143
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06918846070766449
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06843360513448715
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0655287653207779
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0648152157664299
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05996228754520416
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05901051312685013
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.055587202310562134
trial_1	placebo	228	KG00114657	Weight below normal	0.05443231761455536
trial_1	placebo	126	KG00100076	Pain NOS	0.051784370094537735
trial_1	placebo	300	KG00101064	xerostomia	0.05102342739701271
trial_1	placebo	101	KG00097901	Anorexia NOS	0.049472156912088394
trial_1	placebo	85	KG00098474	coughs	0.04798807203769684
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04690614715218544
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04381847754120827
trial_1	placebo	350	KG00106765	decreased platelet count	0.04327936843037605
trial_1	placebo	72	KG00103771	myalgias	0.043040767312049866
trial_1	placebo	14	KG00097852	Anemia NOS	0.04195798933506012
trial_1	placebo	29	KG00099354	hyponatraemia	0.04181608557701111
trial_1	placebo	239	KG00100128	pareses	0.041161976754665375
trial_1	placebo	18	KG00098307	Pain, Chest	0.04083289951086044
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04021676257252693
trial_1	placebo	96	KG00101679	Unattended death NOS	0.038991112262010574
trial_1	placebo	114	KG00098933	fevers	0.038430504500865936
trial_1	placebo	5	KG00099169	haematuria	0.03752308338880539
trial_1	placebo	104	KG00097963	arthralgias	0.0374622717499733
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03732014447450638
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03720042482018471
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03710551932454109
trial_1	placebo	82	KG00097697	abdomen distended	0.03647879511117935
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03625870123505592
trial_1	placebo	86	KG00098565	Depression, Mental	0.03618932515382767
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03387925773859024
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03300522640347481
trial_1	placebo	132	KG00101045	Gain, Weight	0.032821301370859146
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03250834718346596
trial_1	placebo	102	KG00097916	anxieties	0.03245491534471512
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.0306539423763752
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03036382980644703
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.029888691380620003
