trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.21962870657444
trial_1	placebo	68	KG00099901	nauseas	0.18036876618862152
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1674666404724121
trial_1	placebo	9	KG00098432	Confusion NOS	0.12776434421539307
trial_1	placebo	46	KG00099121	Headache NOS	0.1233421340584755
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12187685072422028
trial_1	placebo	101	KG00097901	Anorexia NOS	0.11432895064353943
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.11330816894769669
trial_1	placebo	77	KG00098450	Constipation NOS	0.09601642936468124
trial_1	placebo	20	KG00098540	dehydration	0.08556465059518814
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08414734154939651
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07734999060630798
trial_1	placebo	21	KG00098675	dyspnoea	0.07385115325450897
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07376211881637573
trial_1	placebo	228	KG00114657	Weight below normal	0.06918616592884064
trial_1	placebo	123	KG00099351	hypokalaemia	0.06548700481653214
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06018300727009773
trial_1	placebo	177	KG00099299	hyperglycaemia	0.059876106679439545
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.049733296036720276
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.049005214124917984
trial_1	placebo	126	KG00100076	Pain NOS	0.04449651390314102
trial_1	placebo	102	KG00097916	anxieties	0.04331443831324577
trial_1	placebo	14	KG00097852	Anemia NOS	0.042651232331991196
trial_1	placebo	85	KG00098474	coughs	0.04208454489707947
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.04124588146805763
trial_1	placebo	104	KG00097963	arthralgias	0.04101880267262459
trial_1	placebo	86	KG00098565	Depression, Mental	0.04019062593579292
trial_1	placebo	29	KG00099354	hyponatraemia	0.03886698931455612
trial_1	placebo	18	KG00098307	Pain, Chest	0.03789437562227249
trial_1	placebo	466	KG00101205	fall	0.03778142109513283
trial_1	placebo	239	KG00100128	pareses	0.03753630071878433
trial_1	placebo	114	KG00098933	fevers	0.03707028552889824
trial_1	placebo	300	KG00101064	xerostomia	0.03675325587391853
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03631816804409027
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0356321856379509
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.034762244671583176
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03362428769469261
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.033580150455236435
trial_1	placebo	82	KG00097697	abdomen distended	0.03335333243012428
trial_1	placebo	116	KG00098964	Pain in foot	0.03150979056954384
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03136654570698738
trial_1	placebo	66	KG00098642	drowsiness	0.030497407540678978
trial_1	placebo	262	KG00101199	agitation	0.030295059084892273
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03018428198993206
trial_1	placebo	211	KG00100341	Pruritus NOS	0.029576994478702545
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.02932349406182766
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.029105016961693764
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.028786974027752876
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.027409996837377548
