trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1564757376909256
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1232619658112526
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09047418087720871
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08403977006673813
trial_1	placebo	123	KG00099351	hypokalaemia	0.07819253951311111
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07460135966539383
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07017526775598526
trial_1	placebo	9	KG00098432	Confusion NOS	0.06578301638364792
trial_1	placebo	20	KG00098540	dehydration	0.0629754513502121
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06186234951019287
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06048395484685898
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05819978564977646
trial_1	placebo	46	KG00099121	Headache NOS	0.05698613449931145
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05586516857147217
trial_1	placebo	49	KG00099902	nausea with vomiting	0.05530812591314316
trial_1	placebo	21	KG00098675	dyspnoea	0.05450601875782013
trial_1	placebo	228	KG00114657	Weight below normal	0.053529221564531326
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.053120218217372894
trial_1	placebo	68	KG00099901	nauseas	0.05200521647930145
trial_1	placebo	14	KG00097852	Anemia NOS	0.048909369856119156
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0480542927980423
trial_1	placebo	350	KG00106765	decreased platelet count	0.04789486527442932
trial_1	placebo	114	KG00098933	fevers	0.047321341931819916
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04520205035805702
trial_1	placebo	77	KG00098450	Constipation NOS	0.04493376985192299
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04488707706332207
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04315171390771866
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.040399570018053055
trial_1	placebo	29	KG00099354	hyponatraemia	0.037839777767658234
