trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1664694994688034
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12325272709131241
trial_1	placebo	9	KG00098432	Confusion NOS	0.09865458309650421
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08443368226289749
trial_1	placebo	123	KG00099351	hypokalaemia	0.07618089020252228
trial_1	placebo	46	KG00099121	Headache NOS	0.07253623753786087
trial_1	placebo	68	KG00099901	nauseas	0.07108506560325623
trial_1	placebo	20	KG00098540	dehydration	0.06822214275598526
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06765241175889969
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0665779709815979
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06604234874248505
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0599067285656929
trial_1	placebo	21	KG00098675	dyspnoea	0.05900273099541664
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.058366306126117706
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05806140601634979
trial_1	placebo	14	KG00097852	Anemia NOS	0.056882135570049286
trial_1	placebo	77	KG00098450	Constipation NOS	0.055448632687330246
trial_1	placebo	228	KG00114657	Weight below normal	0.0551980659365654
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05376685783267021
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04963827505707741
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.048056114464998245
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04563094303011894
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04526524990797043
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04439839348196983
trial_1	placebo	350	KG00106765	decreased platelet count	0.04394672065973282
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.043453872203826904
trial_1	placebo	114	KG00098933	fevers	0.0433129221200943
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04251543805003166
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.0416080616414547
trial_1	placebo	147	KG00098000	atelectases	0.040919337421655655
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.038564540445804596
trial_1	placebo	180	KG00099363	Hypotension NOS	0.038148894906044006
trial_1	placebo	29	KG00099354	hyponatraemia	0.0371130146086216
trial_1	placebo	269	KG00100399	pyaemia	0.03644455224275589
trial_1	placebo	126	KG00100076	Pain NOS	0.036360129714012146
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03420384228229523
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03389385715126991
trial_1	placebo	85	KG00098474	coughs	0.03365405648946762
trial_1	placebo	18	KG00098307	Pain, Chest	0.03351929038763046
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03289623558521271
trial_1	placebo	82	KG00097697	abdomen distended	0.03288143128156662
trial_1	placebo	86	KG00098565	Depression, Mental	0.03260252624750137
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03191603720188141
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03173955902457237
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03168068081140518
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03150889649987221
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.030177408829331398
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.029273642227053642
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02843634784221649
trial_1	placebo	5	KG00099169	haematuria	0.028332071378827095
trial_1	placebo	104	KG00097963	arthralgias	0.028287895023822784
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02667812444269657
trial_1	placebo	239	KG00100128	pareses	0.026544418185949326
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.026524599641561508
trial_1	placebo	191	KG00104055	Biliverdin increased	0.026343535631895065
trial_1	placebo	164	KG00108827	ileus colon	0.025357909500598907
trial_1	placebo	441	KG00098262	cellulitis nos	0.024482665583491325
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.023908017203211784
trial_1	placebo	121	KG00099190	haemorrhage	0.02378837577998638
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.02377423457801342
trial_1	placebo	179	KG00099342	hypocalcaemia	0.02349785715341568
trial_1	placebo	72	KG00103771	myalgias	0.022858407348394394
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.022186510264873505
trial_1	placebo	116	KG00098964	Pain in foot	0.021959107369184494
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.021640855818986893
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.02154453657567501
trial_1	placebo	288	KG00101223	hypophosphataemia	0.021139070391654968
trial_1	placebo	69	KG00100082	Palpitations NOS	0.020949076861143112
trial_1	placebo	282	KG00099309	hypernatraemia	0.020866520702838898
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02063538134098053
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.020488912239670753
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.020325107499957085
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.020204203203320503
trial_1	placebo	234	KG00098669	dysgeusias	0.02010645903646946
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.019957903772592545
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.01973714306950569
trial_1	placebo	286	KG00101110	Retention, Urinary	0.01952756755053997
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.019343176856637
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.019113896414637566
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.018536243587732315
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.018529295921325684
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.01848110742866993
trial_1	placebo	102	KG00097916	anxieties	0.01807704009115696
trial_1	placebo	24	KG00099015	Hemorrhage, Gastrointestinal	0.017661167308688164
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.017443262040615082
trial_1	placebo	25	KG00099134	congestive failures heart	0.017372319474816322
trial_1	placebo	186	KG00101431	creatinine increased	0.0172907505184412
trial_1	placebo	339	KG00100334	proteinurias	0.01724463514983654
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01679345592856407
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.016672402620315552
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.016269873827695847
trial_1	placebo	163	KG00104050	bowel obstructions small	0.016230441629886627
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.015929007902741432
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.01572379097342491
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.015533984638750553
trial_1	placebo	19	KG00098331	Cholecystitis NOS	0.01552131399512291
trial_1	placebo	136	KG00101582	Dry;skin	0.015439005568623543
trial_1	placebo	118	KG00099011	Gastritis NOS	0.015424610115587711
trial_1	placebo	221	KG00101207	peripheral oedema	0.01515723392367363
trial_1	placebo	11	KG00097993	Asthma NOS	0.015102921053767204
trial_2	rifaximin	87	KG00098599	diarrhoea	0.1664694994688034
trial_2	rifaximin	78	KG00099326	Hypertensive diseases	0.12325272709131241
trial_2	rifaximin	9	KG00098432	Confusion NOS	0.09865458309650421
trial_2	rifaximin	173	KG00098172	Bronchopneumonia NOS	0.08443368226289749
trial_2	rifaximin	123	KG00099351	hypokalaemia	0.07618089020252228
trial_2	rifaximin	46	KG00099121	Headache NOS	0.07253623753786087
trial_2	rifaximin	68	KG00099901	nauseas	0.07108506560325623
trial_2	rifaximin	20	KG00098540	dehydration	0.06822214275598526
trial_2	rifaximin	177	KG00099299	hyperglycaemia	0.06765241175889969
trial_2	rifaximin	17	KG00097991	Asthenia NOS	0.0665779709815979
trial_2	rifaximin	37	KG00097696	Cramps, Abdominal	0.06604234874248505
trial_2	rifaximin	49	KG00099902	nausea with vomiting	0.0599067285656929
trial_2	rifaximin	21	KG00098675	dyspnoea	0.05900273099541664
trial_2	rifaximin	67	KG00098673	Dyspepsia, NOS	0.058366306126117706
trial_2	rifaximin	64	KG00097734	Acrodermatitis, NOS	0.05806140601634979
trial_2	rifaximin	14	KG00097852	Anemia NOS	0.056882135570049286
trial_2	rifaximin	77	KG00098450	Constipation NOS	0.055448632687330246
trial_2	rifaximin	228	KG00114657	Weight below normal	0.0551980659365654
trial_2	rifaximin	189	KG00101580	Alanine aminotransferase increase	0.05376685783267021
trial_2	rifaximin	151	KG00098274	Infarction, Cerebral	0.04963827505707741
trial_2	rifaximin	188	KG00101579	Aspartate aminotransferase increase	0.048056114464998245
trial_2	rifaximin	61	KG00099501	Chronic Kidney Failure	0.04563094303011894
trial_2	rifaximin	2	KG00100772	thrombocytopaenia	0.04526524990797043
trial_2	rifaximin	79	KG00100317	Insomnia, Primary	0.04439839348196983
trial_2	rifaximin	350	KG00106765	decreased platelet count	0.04394672065973282
trial_2	rifaximin	276	KG00099127	Arrest, Cardiac	0.043453872203826904
trial_2	rifaximin	114	KG00098933	fevers	0.0433129221200943
trial_2	rifaximin	76	KG00100450	Respiratory insufficiency, NOS	0.04251543805003166
trial_2	rifaximin	30	KG00099500	Acute Kidney Failure	0.0416080616414547
trial_2	rifaximin	147	KG00098000	atelectases	0.040919337421655655
trial_2	rifaximin	200	KG00098539	Disorders, Deglutition	0.038564540445804596
trial_2	rifaximin	180	KG00099363	Hypotension NOS	0.038148894906044006
trial_2	rifaximin	29	KG00099354	hyponatraemia	0.0371130146086216
trial_2	rifaximin	269	KG00100399	pyaemia	0.03644455224275589
trial_2	rifaximin	126	KG00100076	Pain NOS	0.036360129714012146
trial_2	rifaximin	27	KG00099303	hyperkalaemia	0.03420384228229523
trial_2	rifaximin	28	KG00099347	hypoglycaemia	0.03389385715126991
trial_2	rifaximin	85	KG00098474	coughs	0.03365405648946762
trial_2	rifaximin	18	KG00098307	Pain, Chest	0.03351929038763046
trial_2	rifaximin	396	KG00100373	Embolism, Pulmonary	0.03289623558521271
trial_2	rifaximin	82	KG00097697	abdomen distended	0.03288143128156662
trial_2	rifaximin	86	KG00098565	Depression, Mental	0.03260252624750137
trial_2	rifaximin	101	KG00097901	Anorexia NOS	0.03191603720188141
trial_2	rifaximin	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03173955902457237
trial_2	rifaximin	243	KG00100947	Micturition frequency increased	0.03168068081140518
trial_2	rifaximin	96	KG00101679	Unattended death NOS	0.03150889649987221
trial_2	rifaximin	253	KG00100232	Pleural effusion NOS (disorder)	0.030177408829331398
trial_2	rifaximin	131	KG00100948	Urinary tract infection (& [NOS])	0.029273642227053642
trial_2	rifaximin	31	KG00099872	Infarction, Myocardial	0.02843634784221649
trial_2	rifaximin	5	KG00099169	haematuria	0.028332071378827095
trial_2	rifaximin	104	KG00097963	arthralgias	0.028287895023822784
trial_2	rifaximin	75	KG00100195	Dolens, Phlegmasia Alba	0.02667812444269657
trial_2	rifaximin	239	KG00100128	pareses	0.026544418185949326
trial_2	rifaximin	142	KG00100923	Unspecified infectious and parasitic diseases	0.026524599641561508
trial_2	rifaximin	191	KG00104055	Biliverdin increased	0.026343535631895065
trial_2	rifaximin	164	KG00108827	ileus colon	0.025357909500598907
trial_2	rifaximin	441	KG00098262	cellulitis nos	0.024482665583491325
trial_2	rifaximin	361	KG00098004	Fibrillation, Atrial	0.023908017203211784
trial_2	rifaximin	121	KG00099190	haemorrhage	0.02378837577998638
trial_2	rifaximin	138	KG00098796	epidemic vomiting syndrome	0.02377423457801342
trial_2	rifaximin	179	KG00099342	hypocalcaemia	0.02349785715341568
trial_2	rifaximin	72	KG00103771	myalgias	0.022858407348394394
trial_2	rifaximin	35	KG00101507	hypomagnesaemia	0.022186510264873505
trial_2	rifaximin	116	KG00098964	Pain in foot	0.021959107369184494
trial_2	rifaximin	15	KG00097882	Angina pectoris NOS	0.021640855818986893
trial_2	rifaximin	33	KG00100094	Pancreatitis NOS	0.02154453657567501
trial_2	rifaximin	288	KG00101223	hypophosphataemia	0.021139070391654968
trial_2	rifaximin	69	KG00100082	Palpitations NOS	0.020949076861143112
trial_2	rifaximin	282	KG00099309	hypernatraemia	0.020866520702838898
trial_2	rifaximin	211	KG00100341	Pruritus NOS	0.02063538134098053
trial_2	rifaximin	38	KG00098066	Binocular vision disorders	0.020488912239670753
trial_2	rifaximin	194	KG00110727	Neutrophil Count Decreased	0.020325107499957085
trial_2	rifaximin	139	KG00098855	Sinusitis, Ethmoid	0.020204203203320503
trial_2	rifaximin	234	KG00098669	dysgeusias	0.02010645903646946
trial_2	rifaximin	130	KG00100683	Stomatitis NOS	0.019957903772592545
trial_2	rifaximin	204	KG00098849	Esophagitis, Peptic	0.01973714306950569
trial_2	rifaximin	286	KG00101110	Retention, Urinary	0.01952756755053997
trial_2	rifaximin	122	KG00099321	Hypersensitivity NOS	0.019343176856637
trial_2	rifaximin	261	KG00101559	raised alkaline phosphatase	0.019113896414637566
trial_2	rifaximin	249	KG00104430	hypoalbuminaemia	0.018536243587732315
trial_2	rifaximin	494	KG00099838	Organ Failure, Multiple	0.018529295921325684
trial_2	rifaximin	356	KG00112623	Infectious Lung Disorders	0.01848110742866993
trial_2	rifaximin	102	KG00097916	anxieties	0.01807704009115696
trial_2	rifaximin	24	KG00099015	Hemorrhage, Gastrointestinal	0.017661167308688164
trial_2	rifaximin	97	KG00104198	LIVER ENZYME ELEVATED	0.017443262040615082
