trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.07925403118133545
trial_1	placebo	49	KG00099902	nausea with vomiting	0.051382116973400116
trial_1	placebo	46	KG00099121	Headache NOS	0.046798013150691986
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04429929703474045
trial_1	placebo	123	KG00099351	hypokalaemia	0.04412455856800079
trial_1	placebo	68	KG00099901	nauseas	0.044026006013154984
trial_1	placebo	77	KG00098450	Constipation NOS	0.04312419891357422
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04199724644422531
trial_1	placebo	20	KG00098540	dehydration	0.040147192776203156
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.03904826566576958
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.038779277354478836
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.03798874467611313
trial_1	placebo	9	KG00098432	Confusion NOS	0.036777615547180176
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03041084110736847
trial_1	placebo	126	KG00100076	Pain NOS	0.02914942055940628
trial_1	placebo	21	KG00098675	dyspnoea	0.028524477034807205
trial_1	placebo	114	KG00098933	fevers	0.027857759967446327
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.027451956644654274
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.025774002075195312
trial_1	placebo	101	KG00097901	Anorexia NOS	0.024365637451410294
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02430821768939495
trial_1	placebo	85	KG00098474	coughs	0.023797841742634773
trial_1	placebo	14	KG00097852	Anemia NOS	0.022458257153630257
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02074478380382061
trial_1	placebo	147	KG00098000	atelectases	0.01996523328125477
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.01986607536673546
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.019653473049402237
trial_1	placebo	5	KG00099169	haematuria	0.01804039441049099
trial_1	placebo	69	KG00100082	Palpitations NOS	0.01794695481657982
trial_1	placebo	18	KG00098307	Pain, Chest	0.01787942461669445
trial_1	placebo	86	KG00098565	Depression, Mental	0.01785300113260746
trial_1	placebo	180	KG00099363	Hypotension NOS	0.017406359314918518
trial_1	placebo	211	KG00100341	Pruritus NOS	0.017362065613269806
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.017347443848848343
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.01733148843050003
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.017095139250159264
