trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.16887083649635315
trial_1	placebo	20	KG00098540	dehydration	0.08031652122735977
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07628673315048218
trial_1	placebo	123	KG00099351	hypokalaemia	0.07228229194879532
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07058660686016083
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07038664072751999
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06716389209032059
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06326457858085632
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06152699515223503
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.058657485991716385
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.057286813855171204
trial_1	placebo	228	KG00114657	Weight below normal	0.05262894928455353
trial_1	placebo	9	KG00098432	Confusion NOS	0.052517544478178024
trial_1	placebo	77	KG00098450	Constipation NOS	0.049914274364709854
trial_1	placebo	46	KG00099121	Headache NOS	0.04752793163061142
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04695901647210121
trial_1	placebo	49	KG00099902	nausea with vomiting	0.045855049043893814
trial_1	placebo	21	KG00098675	dyspnoea	0.04563087970018387
trial_1	placebo	68	KG00099901	nauseas	0.04311848059296608
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0418950617313385
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04153658077120781
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04049975797533989
trial_1	placebo	29	KG00099354	hyponatraemia	0.038892462849617004
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.036644671112298965
trial_1	placebo	350	KG00106765	decreased platelet count	0.03500442951917648
trial_1	placebo	82	KG00097697	abdomen distended	0.03391900286078453
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03244597837328911
trial_1	placebo	126	KG00100076	Pain NOS	0.03192400932312012
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.030907368287444115
trial_1	placebo	121	KG00099190	haemorrhage	0.030803319066762924
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.02913995459675789
trial_1	placebo	14	KG00097852	Anemia NOS	0.028827395290136337
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.028414035215973854
trial_1	placebo	147	KG00098000	atelectases	0.028112240135669708
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.028092697262763977
trial_1	placebo	86	KG00098565	Depression, Mental	0.026569800451397896
trial_1	placebo	5	KG00099169	haematuria	0.02629826031625271
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02574135921895504
trial_1	placebo	96	KG00101679	Unattended death NOS	0.024745024740695953
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.024501191452145576
trial_1	placebo	179	KG00099342	hypocalcaemia	0.02443607896566391
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02397645264863968
trial_1	placebo	114	KG00098933	fevers	0.023961249738931656
trial_1	placebo	191	KG00104055	Biliverdin increased	0.023738129064440727
trial_1	placebo	18	KG00098307	Pain, Chest	0.023410364985466003
