trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1686866581439972
trial_1	placebo	87	KG00098599	diarrhoea	0.15988416969776154
trial_1	placebo	177	KG00099299	hyperglycaemia	0.13242968916893005
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11039970070123672
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10908957570791245
trial_1	placebo	123	KG00099351	hypokalaemia	0.10459453612565994
trial_1	placebo	9	KG00098432	Confusion NOS	0.10187678039073944
trial_1	placebo	20	KG00098540	dehydration	0.09501930326223373
trial_1	placebo	46	KG00099121	Headache NOS	0.0900762677192688
trial_1	placebo	21	KG00098675	dyspnoea	0.08951359987258911
trial_1	placebo	228	KG00114657	Weight below normal	0.07513086497783661
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07475234568119049
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07231941819190979
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07222042232751846
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07162480056285858
trial_1	placebo	68	KG00099901	nauseas	0.06928593665361404
trial_1	placebo	14	KG00097852	Anemia NOS	0.06762932986021042
trial_1	placebo	77	KG00098450	Constipation NOS	0.06653019040822983
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06595386564731598
trial_1	placebo	350	KG00106765	decreased platelet count	0.06161355599761009
trial_1	placebo	29	KG00099354	hyponatraemia	0.061412516981363297
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05995739996433258
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.059436339884996414
trial_1	placebo	114	KG00098933	fevers	0.05869608744978905
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05844631418585777
trial_1	placebo	85	KG00098474	coughs	0.057251375168561935
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0569101944565773
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.056783948093652725
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05454864352941513
trial_1	placebo	126	KG00100076	Pain NOS	0.05308888107538223
trial_1	placebo	104	KG00097963	arthralgias	0.052279163151979446
