trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.22498367726802826
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.21517601609230042
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13466060161590576
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12910346686840057
trial_1	placebo	123	KG00099351	hypokalaemia	0.12694421410560608
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12264496088027954
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.10605956614017487
trial_1	placebo	20	KG00098540	dehydration	0.10437414795160294
trial_1	placebo	9	KG00098432	Confusion NOS	0.10425881296396255
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10143157839775085
trial_1	placebo	228	KG00114657	Weight below normal	0.10065878182649612
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.10043950378894806
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.09564211964607239
trial_1	placebo	46	KG00099121	Headache NOS	0.09556465595960617
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0945306271314621
trial_1	placebo	21	KG00098675	dyspnoea	0.09190953522920609
trial_1	placebo	14	KG00097852	Anemia NOS	0.08856253325939178
trial_1	placebo	350	KG00106765	decreased platelet count	0.08574915677309036
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08265374600887299
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.08136691898107529
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08043515682220459
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07838164269924164
trial_1	placebo	68	KG00099901	nauseas	0.07404647022485733
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07291155308485031
trial_1	placebo	86	KG00098565	Depression, Mental	0.06433411687612534
trial_1	placebo	29	KG00099354	hyponatraemia	0.06429847329854965
trial_1	placebo	5	KG00099169	haematuria	0.06362950801849365
trial_1	placebo	85	KG00098474	coughs	0.06347278505563736
trial_1	placebo	114	KG00098933	fevers	0.06334370374679565
trial_1	placebo	77	KG00098450	Constipation NOS	0.06330045312643051
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.059581175446510315
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05707147344946861
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05643191188573837
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05634170398116112
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05559999495744705
trial_1	placebo	126	KG00100076	Pain NOS	0.054888058453798294
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.05474700778722763
trial_1	placebo	72	KG00103771	myalgias	0.05395562946796417
trial_1	placebo	179	KG00099342	hypocalcaemia	0.053799111396074295
trial_1	placebo	239	KG00100128	pareses	0.053456518799066544
trial_1	placebo	28	KG00099347	hypoglycaemia	0.053384918719530106
trial_1	placebo	27	KG00099303	hyperkalaemia	0.05127353221178055
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04965795949101448
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.04948586970567703
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.048677895218133926
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.048216208815574646
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.04785021021962166
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.046243906021118164
trial_1	placebo	104	KG00097963	arthralgias	0.046010371297597885
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.045857999473810196
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04525546357035637
trial_1	placebo	147	KG00098000	atelectases	0.04490600898861885
trial_1	placebo	132	KG00101045	Gain, Weight	0.04473072290420532
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.04401435703039169
trial_1	placebo	180	KG00099363	Hypotension NOS	0.043416425585746765
trial_1	placebo	234	KG00098669	dysgeusias	0.04341038689017296
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04314418509602547
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.04224240779876709
trial_1	placebo	262	KG00101199	agitation	0.04148111119866371
trial_1	placebo	269	KG00100399	pyaemia	0.0408262275159359
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.040729820728302
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04065399244427681
trial_1	placebo	4	KG00098817	epistaxis	0.0405932255089283
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.040353842079639435
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03967239707708359
trial_1	placebo	339	KG00100334	proteinurias	0.0396590381860733
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03928077965974808
trial_1	placebo	154	KG00099686	Lymphopenias	0.03899511694908142
trial_1	placebo	102	KG00097916	anxieties	0.03753112629055977
trial_1	placebo	186	KG00101431	creatinine increased	0.0373283252120018
trial_1	placebo	18	KG00098307	Pain, Chest	0.0369594469666481
trial_1	placebo	116	KG00098964	Pain in foot	0.03691619262099266
trial_1	placebo	282	KG00099309	hypernatraemia	0.0365319699048996
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.036398351192474365
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03603500500321388
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.035930849611759186
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03588604927062988
trial_1	placebo	82	KG00097697	abdomen distended	0.0352349653840065
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03470497950911522
trial_1	placebo	164	KG00108827	ileus colon	0.03460085019469261
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.034554507583379745
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03452721983194351
trial_1	placebo	466	KG00101205	fall	0.03452637791633606
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.03335060551762581
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.033334650099277496
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.032503098249435425
trial_1	placebo	100	KG00097815	alopecias	0.03115549311041832
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.031016182154417038
trial_1	placebo	136	KG00101582	Dry;skin	0.03068125993013382
trial_1	placebo	508	KG00108565	blood glucose increased	0.030526703223586082
trial_1	placebo	382	KG00099200	haemorrhoids	0.03046269342303276
trial_1	placebo	121	KG00099190	haemorrhage	0.030348418280482292
trial_1	placebo	456	KG00099420	Influenzae	0.029778018593788147
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02967406064271927
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02951536886394024
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.029391175135970116
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.029350366443395615
trial_1	placebo	441	KG00098262	cellulitis nos	0.029032813385128975
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.028951913118362427
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.02887505106627941
trial_2	spirapril	87	KG00098599	diarrhoea	0.22498367726802826
trial_2	spirapril	78	KG00099326	Hypertensive diseases	0.21517601609230042
trial_2	spirapril	173	KG00098172	Bronchopneumonia NOS	0.13466060161590576
trial_2	spirapril	17	KG00097991	Asthenia NOS	0.12910346686840057
trial_2	spirapril	123	KG00099351	hypokalaemia	0.12694421410560608
trial_2	spirapril	177	KG00099299	hyperglycaemia	0.12264496088027954
trial_2	spirapril	189	KG00101580	Alanine aminotransferase increase	0.10605956614017487
trial_2	spirapril	20	KG00098540	dehydration	0.10437414795160294
trial_2	spirapril	9	KG00098432	Confusion NOS	0.10425881296396255
trial_2	spirapril	37	KG00097696	Cramps, Abdominal	0.10143157839775085
trial_2	spirapril	228	KG00114657	Weight below normal	0.10065878182649612
trial_2	spirapril	67	KG00098673	Dyspepsia, NOS	0.10043950378894806
trial_2	spirapril	2	KG00100772	thrombocytopaenia	0.09564211964607239
trial_2	spirapril	46	KG00099121	Headache NOS	0.09556465595960617
trial_2	spirapril	188	KG00101579	Aspartate aminotransferase increase	0.0945306271314621
trial_2	spirapril	21	KG00098675	dyspnoea	0.09190953522920609
trial_2	spirapril	14	KG00097852	Anemia NOS	0.08856253325939178
trial_2	spirapril	350	KG00106765	decreased platelet count	0.08574915677309036
trial_2	spirapril	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08265374600887299
trial_2	spirapril	64	KG00097734	Acrodermatitis, NOS	0.08136691898107529
trial_2	spirapril	79	KG00100317	Insomnia, Primary	0.08043515682220459
trial_2	spirapril	200	KG00098539	Disorders, Deglutition	0.07838164269924164
trial_2	spirapril	68	KG00099901	nauseas	0.07404647022485733
trial_2	spirapril	49	KG00099902	nausea with vomiting	0.07291155308485031
trial_2	spirapril	86	KG00098565	Depression, Mental	0.06433411687612534
trial_2	spirapril	29	KG00099354	hyponatraemia	0.06429847329854965
trial_2	spirapril	5	KG00099169	haematuria	0.06362950801849365
trial_2	spirapril	85	KG00098474	coughs	0.06347278505563736
trial_2	spirapril	114	KG00098933	fevers	0.06334370374679565
trial_2	spirapril	77	KG00098450	Constipation NOS	0.06330045312643051
trial_2	spirapril	194	KG00110727	Neutrophil Count Decreased	0.059581175446510315
trial_2	spirapril	101	KG00097901	Anorexia NOS	0.05707147344946861
trial_2	spirapril	243	KG00100947	Micturition frequency increased	0.05643191188573837
trial_2	spirapril	76	KG00100450	Respiratory insufficiency, NOS	0.05634170398116112
trial_2	spirapril	151	KG00098274	Infarction, Cerebral	0.05559999495744705
trial_2	spirapril	126	KG00100076	Pain NOS	0.054888058453798294
trial_2	spirapril	61	KG00099501	Chronic Kidney Failure	0.05474700778722763
trial_2	spirapril	72	KG00103771	myalgias	0.05395562946796417
trial_2	spirapril	179	KG00099342	hypocalcaemia	0.053799111396074295
trial_2	spirapril	239	KG00100128	pareses	0.053456518799066544
trial_2	spirapril	28	KG00099347	hypoglycaemia	0.053384918719530106
trial_2	spirapril	27	KG00099303	hyperkalaemia	0.05127353221178055
trial_2	spirapril	131	KG00100948	Urinary tract infection (& [NOS])	0.04965795949101448
trial_2	spirapril	144	KG00099610	Leukopenia NOS	0.04948586970567703
trial_2	spirapril	122	KG00099321	Hypersensitivity NOS	0.048677895218133926
trial_2	spirapril	130	KG00100683	Stomatitis NOS	0.048216208815574646
trial_2	spirapril	355	KG00110857	lymphocyte count decreased	0.04785021021962166
trial_2	spirapril	139	KG00098855	Sinusitis, Ethmoid	0.046243906021118164
trial_2	spirapril	104	KG00097963	arthralgias	0.046010371297597885
trial_2	spirapril	276	KG00099127	Arrest, Cardiac	0.045857999473810196
trial_2	spirapril	191	KG00104055	Biliverdin increased	0.04525546357035637
trial_2	spirapril	147	KG00098000	atelectases	0.04490600898861885
trial_2	spirapril	132	KG00101045	Gain, Weight	0.04473072290420532
trial_2	spirapril	261	KG00101559	raised alkaline phosphatase	0.04401435703039169
trial_2	spirapril	180	KG00099363	Hypotension NOS	0.043416425585746765
trial_2	spirapril	234	KG00098669	dysgeusias	0.04341038689017296
trial_2	spirapril	30	KG00099500	Acute Kidney Failure	0.04314418509602547
trial_2	spirapril	1	KG00099959	Neutropenia NOS	0.04224240779876709
trial_2	spirapril	262	KG00101199	agitation	0.04148111119866371
trial_2	spirapril	269	KG00100399	pyaemia	0.0408262275159359
trial_2	spirapril	92	KG00100926	Infections, Upper Respiratory	0.040729820728302
trial_2	spirapril	96	KG00101679	Unattended death NOS	0.04065399244427681
trial_2	spirapril	4	KG00098817	epistaxis	0.0405932255089283
trial_2	spirapril	297	KG00099294	hypercholesterolaemia	0.040353842079639435
trial_2	spirapril	422	KG00101429	Creatine phosphokinase increased	0.03967239707708359
trial_2	spirapril	339	KG00100334	proteinurias	0.0396590381860733
trial_2	spirapril	288	KG00101223	hypophosphataemia	0.03928077965974808
trial_2	spirapril	154	KG00099686	Lymphopenias	0.03899511694908142
trial_2	spirapril	102	KG00097916	anxieties	0.03753112629055977
trial_2	spirapril	186	KG00101431	creatinine increased	0.0373283252120018
trial_2	spirapril	18	KG00098307	Pain, Chest	0.0369594469666481
trial_2	spirapril	116	KG00098964	Pain in foot	0.03691619262099266
trial_2	spirapril	282	KG00099309	hypernatraemia	0.0365319699048996
trial_2	spirapril	396	KG00100373	Embolism, Pulmonary	0.036398351192474365
trial_2	spirapril	69	KG00100082	Palpitations NOS	0.03603500500321388
trial_2	spirapril	38	KG00098066	Binocular vision disorders	0.035930849611759186
trial_2	spirapril	142	KG00100923	Unspecified infectious and parasitic diseases	0.03588604927062988
trial_2	spirapril	82	KG00097697	abdomen distended	0.0352349653840065
trial_2	spirapril	35	KG00101507	hypomagnesaemia	0.03470497950911522
trial_2	spirapril	164	KG00108827	ileus colon	0.03460085019469261
trial_2	spirapril	36	KG00106434	Vision, Blurring Of	0.034554507583379745
trial_2	spirapril	249	KG00104430	hypoalbuminaemia	0.03452721983194351
trial_2	spirapril	466	KG00101205	fall	0.03452637791633606
trial_2	spirapril	341	KG00101472	Gamma-glutamyltransferase increased	0.03335060551762581
trial_2	spirapril	204	KG00098849	Esophagitis, Peptic	0.033334650099277496
trial_2	spirapril	97	KG00104198	LIVER ENZYME ELEVATED	0.032503098249435425
trial_2	spirapril	100	KG00097815	alopecias	0.03115549311041832
trial_2	spirapril	356	KG00112623	Infectious Lung Disorders	0.031016182154417038
trial_2	spirapril	136	KG00101582	Dry;skin	0.03068125993013382
trial_2	spirapril	508	KG00108565	blood glucose increased	0.030526703223586082
trial_2	spirapril	382	KG00099200	haemorrhoids	0.03046269342303276
trial_2	spirapril	121	KG00099190	haemorrhage	0.030348418280482292
trial_2	spirapril	456	KG00099420	Influenzae	0.029778018593788147
trial_2	spirapril	75	KG00100195	Dolens, Phlegmasia Alba	0.02967406064271927
trial_2	spirapril	253	KG00100232	Pleural effusion NOS (disorder)	0.02951536886394024
trial_2	spirapril	33	KG00100094	Pancreatitis NOS	0.029391175135970116
trial_2	spirapril	371	KG00098517	Cystitis (NOS)	0.029350366443395615
trial_2	spirapril	441	KG00098262	cellulitis nos	0.029032813385128975
trial_2	spirapril	31	KG00099872	Infarction, Myocardial	0.028951913118362427
trial_2	spirapril	256	KG00100738	Tachycardia, Sinus	0.02887505106627941
