trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.23724335432052612
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.2341289520263672
trial_1	placebo	123	KG00099351	hypokalaemia	0.15775936841964722
trial_1	placebo	177	KG00099299	hyperglycaemia	0.15699850022792816
trial_1	placebo	20	KG00098540	dehydration	0.14063724875450134
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13721849024295807
trial_1	placebo	21	KG00098675	dyspnoea	0.13633166253566742
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13403597474098206
trial_1	placebo	68	KG00099901	nauseas	0.1287773996591568
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.12730461359024048
trial_1	placebo	14	KG00097852	Anemia NOS	0.12181106954813004
trial_1	placebo	46	KG00099121	Headache NOS	0.1198209896683693
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.11836479604244232
trial_1	placebo	49	KG00099902	nausea with vomiting	0.11596754938364029
trial_1	placebo	9	KG00098432	Confusion NOS	0.11143539845943451
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.10042090713977814
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.09734556078910828
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09487328678369522
trial_1	placebo	228	KG00114657	Weight below normal	0.09326145797967911
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0923536866903305
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09022414684295654
trial_1	placebo	77	KG00098450	Constipation NOS	0.09020984172821045
trial_1	placebo	350	KG00106765	decreased platelet count	0.08492457121610641
trial_1	placebo	114	KG00098933	fevers	0.08122912794351578
trial_1	placebo	29	KG00099354	hyponatraemia	0.07927875965833664
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.07588450610637665
trial_1	placebo	126	KG00100076	Pain NOS	0.07423246651887894
trial_1	placebo	180	KG00099363	Hypotension NOS	0.07291524112224579
trial_1	placebo	5	KG00099169	haematuria	0.07248520851135254
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.07189075648784637
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07171415537595749
trial_1	placebo	27	KG00099303	hyperkalaemia	0.06759675592184067
