trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.0966537669301033
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07112839072942734
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.06945609301328659
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0680101290345192
trial_1	placebo	9	KG00098432	Confusion NOS	0.06607669591903687
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.061808083206415176
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0570274293422699
trial_1	placebo	21	KG00098675	dyspnoea	0.05630062147974968
trial_1	placebo	177	KG00099299	hyperglycaemia	0.054620832204818726
trial_1	placebo	123	KG00099351	hypokalaemia	0.053300052881240845
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05327623337507248
trial_1	placebo	46	KG00099121	Headache NOS	0.05082254856824875
trial_1	placebo	77	KG00098450	Constipation NOS	0.04771973565220833
trial_1	placebo	114	KG00098933	fevers	0.0463971272110939
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04561150074005127
trial_1	placebo	14	KG00097852	Anemia NOS	0.043651338666677475
trial_1	placebo	126	KG00100076	Pain NOS	0.04362400993704796
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04217733070254326
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.040793076157569885
trial_1	placebo	20	KG00098540	dehydration	0.04056548699736595
trial_1	placebo	68	KG00099901	nauseas	0.03952726721763611
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03722129389643669
trial_1	placebo	85	KG00098474	coughs	0.03660247474908829
trial_1	placebo	104	KG00097963	arthralgias	0.03446812927722931
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.032832544296979904
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03273305669426918
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03098207712173462
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02995968796312809
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.029805487021803856
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.028109660372138023
