trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.0928216278553009
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.0842958316206932
trial_1	placebo	9	KG00098432	Confusion NOS	0.08369246870279312
trial_1	placebo	46	KG00099121	Headache NOS	0.06594360619783401
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.058837588876485825
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05357922241091728
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05223517492413521
trial_1	placebo	21	KG00098675	dyspnoea	0.04983138293027878
trial_1	placebo	123	KG00099351	hypokalaemia	0.04962768033146858
trial_1	placebo	177	KG00099299	hyperglycaemia	0.049170754849910736
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0461476668715477
trial_1	placebo	68	KG00099901	nauseas	0.04314522445201874
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04275073856115341
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03998202085494995
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03963446617126465
trial_1	placebo	14	KG00097852	Anemia NOS	0.03764236718416214
trial_1	placebo	20	KG00098540	dehydration	0.03661023825407028
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03569963201880455
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03482343256473541
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03349122405052185
trial_1	placebo	228	KG00114657	Weight below normal	0.03183947876095772
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03160358592867851
trial_1	placebo	126	KG00100076	Pain NOS	0.031285252422094345
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.031146075576543808
trial_1	placebo	29	KG00099354	hyponatraemia	0.031027978286147118
trial_1	placebo	114	KG00098933	fevers	0.030878199264407158
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02933438867330551
trial_1	placebo	180	KG00099363	Hypotension NOS	0.029107440263032913
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.029026225209236145
trial_1	placebo	104	KG00097963	arthralgias	0.02895369753241539
trial_1	placebo	85	KG00098474	coughs	0.028386607766151428
trial_1	placebo	269	KG00100399	pyaemia	0.027599265798926353
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.027521399781107903
trial_1	placebo	77	KG00098450	Constipation NOS	0.026726696640253067
trial_1	placebo	147	KG00098000	atelectases	0.025211399421095848
trial_1	placebo	86	KG00098565	Depression, Mental	0.025096779689192772
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.024797601625323296
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.024565963074564934
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.024339791387319565
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.024242037907242775
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.024035239592194557
trial_1	placebo	28	KG00099347	hypoglycaemia	0.023544035851955414
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.0227641724050045
trial_1	placebo	350	KG00106765	decreased platelet count	0.022602280601859093
trial_1	placebo	441	KG00098262	cellulitis nos	0.022507306188344955
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021632680669426918
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02110344171524048
trial_1	placebo	18	KG00098307	Pain, Chest	0.020886097103357315
trial_1	placebo	121	KG00099190	haemorrhage	0.02063061110675335
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02053954266011715
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.019992027431726456
trial_1	placebo	5	KG00099169	haematuria	0.019367298111319542
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.018818650394678116
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.018780862912535667
trial_1	placebo	239	KG00100128	pareses	0.01847968064248562
trial_1	placebo	72	KG00103771	myalgias	0.018427718430757523
trial_1	placebo	101	KG00097901	Anorexia NOS	0.018265292048454285
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.01780020445585251
trial_1	placebo	179	KG00099342	hypocalcaemia	0.017748747020959854
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.017746394500136375
