trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16453339159488678
trial_1	placebo	87	KG00098599	diarrhoea	0.13213425874710083
trial_1	placebo	9	KG00098432	Confusion NOS	0.12313137948513031
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11525896191596985
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0932212620973587
trial_1	placebo	20	KG00098540	dehydration	0.08485890924930573
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07636621594429016
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07493693381547928
trial_1	placebo	123	KG00099351	hypokalaemia	0.07316771149635315
trial_1	placebo	46	KG00099121	Headache NOS	0.07300016283988953
trial_1	placebo	228	KG00114657	Weight below normal	0.07257086783647537
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07229261845350266
trial_1	placebo	21	KG00098675	dyspnoea	0.06953983008861542
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06669918447732925
trial_1	placebo	77	KG00098450	Constipation NOS	0.06657164543867111
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.057984717190265656
trial_1	placebo	29	KG00099354	hyponatraemia	0.056865230202674866
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.053580015897750854
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05036747455596924
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04968911036849022
trial_1	placebo	239	KG00100128	pareses	0.04927121847867966
trial_1	placebo	86	KG00098565	Depression, Mental	0.048940885812044144
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04859532415866852
trial_1	placebo	68	KG00099901	nauseas	0.0473998561501503
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04644738510251045
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.046366218477487564
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04559953510761261
trial_1	placebo	85	KG00098474	coughs	0.04556185379624367
trial_1	placebo	14	KG00097852	Anemia NOS	0.0455143004655838
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04403939098119736
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04401443526148796
trial_1	placebo	104	KG00097963	arthralgias	0.04355714097619057
trial_1	placebo	132	KG00101045	Gain, Weight	0.04345259815454483
trial_1	placebo	350	KG00106765	decreased platelet count	0.04334176331758499
trial_1	placebo	126	KG00100076	Pain NOS	0.04329241067171097
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04063796624541283
trial_1	placebo	27	KG00099303	hyperkalaemia	0.040177732706069946
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03733554109930992
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03723733499646187
trial_1	placebo	262	KG00101199	agitation	0.03719319403171539
trial_1	placebo	5	KG00099169	haematuria	0.03663290664553642
trial_1	placebo	147	KG00098000	atelectases	0.0365460030734539
trial_1	placebo	114	KG00098933	fevers	0.03531702607870102
trial_1	placebo	121	KG00099190	haemorrhage	0.03524774685502052
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03485582396388054
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03481290489435196
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.034499526023864746
trial_1	placebo	102	KG00097916	anxieties	0.03401594236493111
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03348083794116974
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.032038576900959015
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.03172629699110985
trial_1	placebo	72	KG00103771	myalgias	0.031472064554691315
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03131338581442833
trial_1	placebo	282	KG00099309	hypernatraemia	0.030448269098997116
trial_1	placebo	18	KG00098307	Pain, Chest	0.029147138819098473
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.028973592445254326
trial_1	placebo	116	KG00098964	Pain in foot	0.028657838702201843
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.028648987412452698
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.028589414432644844
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.028488121926784515
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.02762051671743393
trial_1	placebo	154	KG00099686	Lymphopenias	0.02745491825044155
trial_1	placebo	466	KG00101205	fall	0.026767641305923462
trial_1	placebo	136	KG00101582	Dry;skin	0.026321889832615852
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.026234060525894165
trial_1	placebo	339	KG00100334	proteinurias	0.026060502976179123
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02543080970644951
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.025408798828721046
trial_1	placebo	234	KG00098669	dysgeusias	0.025068795308470726
trial_1	placebo	164	KG00108827	ileus colon	0.025047186762094498
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.024744147434830666
trial_1	placebo	242	KG00100855	tremors	0.024466341361403465
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.024458587169647217
trial_1	placebo	269	KG00100399	pyaemia	0.0244260486215353
trial_1	placebo	211	KG00100341	Pruritus NOS	0.024414876475930214
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.024139519780874252
trial_1	placebo	191	KG00104055	Biliverdin increased	0.023847712203860283
trial_1	placebo	288	KG00101223	hypophosphataemia	0.023806177079677582
trial_1	placebo	82	KG00097697	abdomen distended	0.023664096370339394
trial_1	placebo	286	KG00101110	Retention, Urinary	0.023528622463345528
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.023157170042395592
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.023045631125569344
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.0228390134871006
trial_1	placebo	508	KG00108565	blood glucose increased	0.022776015102863312
trial_1	placebo	345	KG00103926	impairments memory	0.022705554962158203
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.022617632523179054
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.022580884397029877
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.022417835891246796
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02223123610019684
trial_1	placebo	69	KG00100082	Palpitations NOS	0.022089188918471336
trial_1	placebo	166	KG00099773	menopausal syndrome	0.021835394203662872
trial_1	placebo	232	KG00097997	Ataxia NOS	0.02170928567647934
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.021678930148482323
trial_1	placebo	22	KG00098705	Edema (NOS)	0.0215421412140131
trial_1	placebo	221	KG00101207	peripheral oedema	0.021346691995859146
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.02129053696990013
trial_1	placebo	66	KG00098642	drowsiness	0.021278133615851402
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.021147379651665688
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.021130813285708427
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.021017728373408318
trial_2	talbutal	78	KG00099326	Hypertensive diseases	0.16453339159488678
trial_2	talbutal	87	KG00098599	diarrhoea	0.13213425874710083
trial_2	talbutal	9	KG00098432	Confusion NOS	0.12313137948513031
trial_2	talbutal	17	KG00097991	Asthenia NOS	0.11525896191596985
trial_2	talbutal	177	KG00099299	hyperglycaemia	0.0932212620973587
trial_2	talbutal	20	KG00098540	dehydration	0.08485890924930573
trial_2	talbutal	173	KG00098172	Bronchopneumonia NOS	0.07636621594429016
trial_2	talbutal	64	KG00097734	Acrodermatitis, NOS	0.07493693381547928
trial_2	talbutal	123	KG00099351	hypokalaemia	0.07316771149635315
trial_2	talbutal	46	KG00099121	Headache NOS	0.07300016283988953
trial_2	talbutal	228	KG00114657	Weight below normal	0.07257086783647537
trial_2	talbutal	200	KG00098539	Disorders, Deglutition	0.07229261845350266
trial_2	talbutal	21	KG00098675	dyspnoea	0.06953983008861542
trial_2	talbutal	79	KG00100317	Insomnia, Primary	0.06669918447732925
trial_2	talbutal	77	KG00098450	Constipation NOS	0.06657164543867111
trial_2	talbutal	67	KG00098673	Dyspepsia, NOS	0.057984717190265656
trial_2	talbutal	29	KG00099354	hyponatraemia	0.056865230202674866
trial_2	talbutal	189	KG00101580	Alanine aminotransferase increase	0.053580015897750854
trial_2	talbutal	151	KG00098274	Infarction, Cerebral	0.05036747455596924
trial_2	talbutal	243	KG00100947	Micturition frequency increased	0.04968911036849022
trial_2	talbutal	239	KG00100128	pareses	0.04927121847867966
trial_2	talbutal	86	KG00098565	Depression, Mental	0.048940885812044144
trial_2	talbutal	37	KG00097696	Cramps, Abdominal	0.04859532415866852
trial_2	talbutal	68	KG00099901	nauseas	0.0473998561501503
trial_2	talbutal	188	KG00101579	Aspartate aminotransferase increase	0.04644738510251045
trial_2	talbutal	76	KG00100450	Respiratory insufficiency, NOS	0.046366218477487564
trial_2	talbutal	28	KG00099347	hypoglycaemia	0.04559953510761261
trial_2	talbutal	85	KG00098474	coughs	0.04556185379624367
trial_2	talbutal	14	KG00097852	Anemia NOS	0.0455143004655838
trial_2	talbutal	49	KG00099902	nausea with vomiting	0.04403939098119736
trial_2	talbutal	180	KG00099363	Hypotension NOS	0.04401443526148796
trial_2	talbutal	104	KG00097963	arthralgias	0.04355714097619057
trial_2	talbutal	132	KG00101045	Gain, Weight	0.04345259815454483
trial_2	talbutal	350	KG00106765	decreased platelet count	0.04334176331758499
trial_2	talbutal	126	KG00100076	Pain NOS	0.04329241067171097
trial_2	talbutal	61	KG00099501	Chronic Kidney Failure	0.04063796624541283
trial_2	talbutal	27	KG00099303	hyperkalaemia	0.040177732706069946
trial_2	talbutal	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03733554109930992
trial_2	talbutal	179	KG00099342	hypocalcaemia	0.03723733499646187
trial_2	talbutal	262	KG00101199	agitation	0.03719319403171539
trial_2	talbutal	5	KG00099169	haematuria	0.03663290664553642
trial_2	talbutal	147	KG00098000	atelectases	0.0365460030734539
trial_2	talbutal	114	KG00098933	fevers	0.03531702607870102
trial_2	talbutal	121	KG00099190	haemorrhage	0.03524774685502052
trial_2	talbutal	2	KG00100772	thrombocytopaenia	0.03485582396388054
