trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.20022344589233398
trial_1	placebo	68	KG00099901	nauseas	0.12454228103160858
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11988159269094467
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11809477210044861
trial_1	placebo	123	KG00099351	hypokalaemia	0.11041180044412613
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1058351993560791
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10346978157758713
trial_1	placebo	20	KG00098540	dehydration	0.10307588428258896
trial_1	placebo	21	KG00098675	dyspnoea	0.09125003218650818
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09000826627016068
trial_1	placebo	9	KG00098432	Confusion NOS	0.08873415738344193
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08170424401760101
trial_1	placebo	46	KG00099121	Headache NOS	0.08115381747484207
trial_1	placebo	14	KG00097852	Anemia NOS	0.07844789326190948
trial_1	placebo	228	KG00114657	Weight below normal	0.07664836198091507
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07132993638515472
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07031972706317902
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06951013952493668
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06615866720676422
trial_1	placebo	77	KG00098450	Constipation NOS	0.06480049341917038
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06362723559141159
trial_1	placebo	126	KG00100076	Pain NOS	0.0617874339222908
trial_1	placebo	114	KG00098933	fevers	0.060182176530361176
trial_1	placebo	72	KG00103771	myalgias	0.05574057623744011
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05551455542445183
trial_1	placebo	350	KG00106765	decreased platelet count	0.0552823543548584
trial_1	placebo	29	KG00099354	hyponatraemia	0.05501503869891167
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.054798346012830734
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05117061734199524
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.05028904974460602
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04962031543254852
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.04951679706573486
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.049273788928985596
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04763634875416756
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04619471728801727
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.045171260833740234
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04444728419184685
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04305952787399292
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.043047454208135605
trial_1	placebo	121	KG00099190	haemorrhage	0.042250242084264755
trial_1	placebo	179	KG00099342	hypocalcaemia	0.041966184973716736
trial_1	placebo	85	KG00098474	coughs	0.04126445949077606
trial_1	placebo	104	KG00097963	arthralgias	0.03996896743774414
trial_1	placebo	154	KG00099686	Lymphopenias	0.03987329080700874
trial_1	placebo	100	KG00097815	alopecias	0.039489537477493286
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03938006982207298
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03895345702767372
trial_1	placebo	27	KG00099303	hyperkalaemia	0.038374628871679306
trial_1	placebo	239	KG00100128	pareses	0.03782185912132263
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03744358569383621
trial_1	placebo	133	KG00101370	neuropathies sensory	0.03650824725627899
trial_1	placebo	147	KG00098000	atelectases	0.03566814213991165
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03554974123835564
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.035287901759147644
trial_1	placebo	86	KG00098565	Depression, Mental	0.03325013816356659
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.032820530235767365
trial_1	placebo	234	KG00098669	dysgeusias	0.032434701919555664
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.031630054116249084
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.030403783544898033
trial_1	placebo	5	KG00099169	haematuria	0.029895685613155365
trial_1	placebo	269	KG00100399	pyaemia	0.02966872602701187
