trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.08689264953136444
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07566475868225098
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07059719413518906
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06146758422255516
trial_1	placebo	9	KG00098432	Confusion NOS	0.055135298520326614
trial_1	placebo	123	KG00099351	hypokalaemia	0.05490375682711601
trial_1	placebo	20	KG00098540	dehydration	0.049649566411972046
trial_1	placebo	68	KG00099901	nauseas	0.04838552325963974
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04712262749671936
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04511530324816704
trial_1	placebo	46	KG00099121	Headache NOS	0.04450744390487671
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04293935373425484
trial_1	placebo	21	KG00098675	dyspnoea	0.04247002303600311
trial_1	placebo	49	KG00099902	nausea with vomiting	0.041491683572530746
trial_1	placebo	14	KG00097852	Anemia NOS	0.03944344446063042
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03900979831814766
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03491246700286865
trial_1	placebo	77	KG00098450	Constipation NOS	0.03461502864956856
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03428133949637413
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03418039530515671
trial_1	placebo	17	KG00097991	Asthenia NOS	0.034113943576812744
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.032892122864723206
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.032321639358997345
trial_1	placebo	147	KG00098000	atelectases	0.03175181895494461
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03117213398218155
trial_1	placebo	126	KG00100076	Pain NOS	0.030776817351579666
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.030386460945010185
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.030281439423561096
trial_1	placebo	29	KG00099354	hyponatraemia	0.02866954915225506
