trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1322876513004303
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09587476402521133
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09561198204755783
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09116736054420471
trial_1	placebo	123	KG00099351	hypokalaemia	0.07722897827625275
trial_1	placebo	20	KG00098540	dehydration	0.0736195370554924
trial_1	placebo	68	KG00099901	nauseas	0.07240845263004303
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07150883972644806
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06661087274551392
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06437942385673523
trial_1	placebo	9	KG00098432	Confusion NOS	0.06379671394824982
trial_1	placebo	46	KG00099121	Headache NOS	0.05901410058140755
trial_1	placebo	21	KG00098675	dyspnoea	0.05594003200531006
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.055089548230171204
trial_1	placebo	14	KG00097852	Anemia NOS	0.05420645326375961
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05356711894273758
trial_1	placebo	228	KG00114657	Weight below normal	0.05350850149989128
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05304928123950958
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05188906192779541
trial_1	placebo	114	KG00098933	fevers	0.05158097296953201
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05018526315689087
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.048240043222904205
trial_1	placebo	86	KG00098565	Depression, Mental	0.04544484242796898
trial_1	placebo	77	KG00098450	Constipation NOS	0.044863708317279816
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.044290103018283844
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.043127838522195816
trial_1	placebo	126	KG00100076	Pain NOS	0.04171319678425789
