trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.26859354972839355
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.21896010637283325
trial_1	placebo	123	KG00099351	hypokalaemia	0.19990858435630798
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.16598685085773468
trial_1	placebo	20	KG00098540	dehydration	0.1642066389322281
trial_1	placebo	177	KG00099299	hyperglycaemia	0.15112103521823883
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.14287379384040833
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1208927109837532
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.11431185156106949
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.11284014582633972
trial_1	placebo	228	KG00114657	Weight below normal	0.11150088161230087
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.10453785955905914
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10444803535938263
trial_1	placebo	350	KG00106765	decreased platelet count	0.10133355110883713
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.10093698650598526
trial_1	placebo	29	KG00099354	hyponatraemia	0.09905073046684265
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.09729799628257751
trial_1	placebo	46	KG00099121	Headache NOS	0.09572014212608337
trial_1	placebo	9	KG00098432	Confusion NOS	0.09546133875846863
trial_1	placebo	21	KG00098675	dyspnoea	0.09438485652208328
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09154549241065979
trial_1	placebo	179	KG00099342	hypocalcaemia	0.09053018689155579
trial_1	placebo	77	KG00098450	Constipation NOS	0.08786393702030182
trial_1	placebo	68	KG00099901	nauseas	0.0847361832857132
trial_1	placebo	14	KG00097852	Anemia NOS	0.07573176920413971
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0751689225435257
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.07418573647737503
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07203570008277893
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.07124590873718262
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.07089806348085403
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.07089199870824814
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.07070989906787872
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0703529417514801
trial_1	placebo	239	KG00100128	pareses	0.07024893909692764
trial_1	placebo	147	KG00098000	atelectases	0.06948892772197723
