trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.16731081902980804
trial_1	placebo	77	KG00098450	Constipation NOS	0.16192205250263214
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.144389808177948
trial_1	placebo	9	KG00098432	Confusion NOS	0.11386401951313019
trial_1	placebo	300	KG00101064	xerostomia	0.10618207603693008
trial_1	placebo	20	KG00098540	dehydration	0.08848602324724197
trial_1	placebo	68	KG00099901	nauseas	0.08325943350791931
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0825919434428215
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07527389377355576
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07434695959091187
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07039455324411392
trial_1	placebo	123	KG00099351	hypokalaemia	0.06919262558221817
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06690589338541031
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06439001113176346
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06302380561828613
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06021377816796303
trial_1	placebo	46	KG00099121	Headache NOS	0.05723658204078674
trial_1	placebo	21	KG00098675	dyspnoea	0.05715798959136009
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05688047781586647
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05221078172326088
trial_1	placebo	286	KG00101110	Retention, Urinary	0.049087487161159515
trial_1	placebo	101	KG00097901	Anorexia NOS	0.047742810100317
trial_1	placebo	86	KG00098565	Depression, Mental	0.04693920910358429
trial_1	placebo	18	KG00098307	Pain, Chest	0.041707709431648254
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.0409214049577713
trial_1	placebo	85	KG00098474	coughs	0.04042218253016472
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03947984427213669
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03798053786158562
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03698941692709923
trial_1	placebo	180	KG00099363	Hypotension NOS	0.036885764449834824
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03678356111049652
trial_1	placebo	228	KG00114657	Weight below normal	0.03616473451256752
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03593317046761513
trial_1	placebo	29	KG00099354	hyponatraemia	0.03581025451421738
trial_1	placebo	164	KG00108827	ileus colon	0.035288505256175995
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03475179895758629
trial_1	placebo	239	KG00100128	pareses	0.034658320248126984
trial_1	placebo	126	KG00100076	Pain NOS	0.0345345176756382
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.03346456214785576
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03344539552927017
trial_1	placebo	235	KG00098682	Dysuria NOS	0.03340822085738182
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.0329456627368927
trial_1	placebo	102	KG00097916	anxieties	0.032931555062532425
trial_1	placebo	14	KG00097852	Anemia NOS	0.03228751942515373
trial_1	placebo	69	KG00100082	Palpitations NOS	0.031091034412384033
trial_1	placebo	5	KG00099169	haematuria	0.031090466305613518
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.0310366153717041
trial_1	placebo	82	KG00097697	abdomen distended	0.030950011685490608
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03082188591361046
trial_1	placebo	118	KG00099011	Gastritis NOS	0.030682625249028206
trial_1	placebo	350	KG00106765	decreased platelet count	0.03006516396999359
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.02973778359591961
trial_1	placebo	114	KG00098933	fevers	0.02954525500535965
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.028292471542954445
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.027980070561170578
trial_1	placebo	96	KG00101679	Unattended death NOS	0.027572138234972954
trial_1	placebo	466	KG00101205	fall	0.027157334610819817
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.026820996776223183
trial_1	placebo	234	KG00098669	dysgeusias	0.02681645378470421
trial_1	placebo	104	KG00097963	arthralgias	0.026348501443862915
trial_1	placebo	132	KG00101045	Gain, Weight	0.02609998732805252
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.026046395301818848
trial_1	placebo	147	KG00098000	atelectases	0.025976737961173058
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.025401778519153595
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02514021098613739
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.024963222444057465
trial_1	placebo	242	KG00100855	tremors	0.02463734708726406
trial_1	placebo	508	KG00108565	blood glucose increased	0.024553455412387848
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.024287473410367966
trial_1	placebo	382	KG00099200	haemorrhoids	0.024228394031524658
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.024220498278737068
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.02419639378786087
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.024065427482128143
trial_1	placebo	94	KG00103829	abdominal discomfort	0.02345697581768036
trial_1	placebo	28	KG00099347	hypoglycaemia	0.023200826719403267
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.023148726671934128
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.023138904944062233
trial_1	placebo	166	KG00099773	menopausal syndrome	0.023022083565592766
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.022888507694005966
trial_1	placebo	186	KG00101431	creatinine increased	0.022606737911701202
trial_1	placebo	66	KG00098642	drowsiness	0.022358953952789307
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.02207639440894127
trial_1	placebo	454	KG00098286	Pain, Neck	0.02190912514925003
trial_1	placebo	116	KG00098964	Pain in foot	0.021086500957608223
trial_1	placebo	203	KG00098661	dysarthrias	0.021008426323533058
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02072213962674141
trial_1	placebo	441	KG00098262	cellulitis nos	0.02064916118979454
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.02053728699684143
trial_1	placebo	262	KG00101199	agitation	0.020271271467208862
trial_1	placebo	221	KG00101207	peripheral oedema	0.019950734451413155
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.019947629421949387
