trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	9	KG00098432	Confusion NOS	0.2387825846672058
trial_1	placebo	17	KG00097991	Asthenia NOS	0.20862188935279846
trial_1	placebo	87	KG00098599	diarrhoea	0.17364248633384705
trial_1	placebo	68	KG00099901	nauseas	0.1309100091457367
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12666140496730804
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11878887563943863
trial_1	placebo	77	KG00098450	Constipation NOS	0.11098954826593399
trial_1	placebo	46	KG00099121	Headache NOS	0.10881675779819489
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10451944917440414
trial_1	placebo	300	KG00101064	xerostomia	0.09787417948246002
trial_1	placebo	66	KG00098642	drowsiness	0.08768931776285172
trial_1	placebo	20	KG00098540	dehydration	0.08118298649787903
trial_1	placebo	21	KG00098675	dyspnoea	0.07949329167604446
trial_1	placebo	101	KG00097901	Anorexia NOS	0.07666900008916855
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07640842348337173
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07163025438785553
trial_1	placebo	228	KG00114657	Weight below normal	0.07143637537956238
trial_1	placebo	123	KG00099351	hypokalaemia	0.06772512942552567
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06260471791028976
trial_1	placebo	132	KG00101045	Gain, Weight	0.05688293278217316
trial_1	placebo	86	KG00098565	Depression, Mental	0.05674558877944946
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.055031340569257736
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05305761843919754
trial_1	placebo	102	KG00097916	anxieties	0.05273178592324257
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04951679706573486
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04912007600069046
trial_1	placebo	29	KG00099354	hyponatraemia	0.04888126999139786
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04694332182407379
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.04692485183477402
trial_1	placebo	104	KG00097963	arthralgias	0.046592265367507935
trial_1	placebo	85	KG00098474	coughs	0.04644307866692543
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.04539024457335472
trial_1	placebo	239	KG00100128	pareses	0.042389173060655594
trial_1	placebo	126	KG00100076	Pain NOS	0.04229920357465744
trial_1	placebo	242	KG00100855	tremors	0.04157082736492157
trial_1	placebo	114	KG00098933	fevers	0.03949372470378876
trial_1	placebo	14	KG00097852	Anemia NOS	0.03883790224790573
trial_1	placebo	234	KG00098669	dysgeusias	0.03856049105525017
trial_1	placebo	262	KG00101199	agitation	0.03815171867609024
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03804297372698784
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03745642676949501
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.035497840493917465
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.034070778638124466
trial_1	placebo	18	KG00098307	Pain, Chest	0.033870019018650055
trial_1	placebo	96	KG00101679	Unattended death NOS	0.032990746200084686
trial_1	placebo	466	KG00101205	fall	0.0321374237537384
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.031838368624448776
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03157126531004906
trial_1	placebo	350	KG00106765	decreased platelet count	0.031080227345228195
trial_1	placebo	82	KG00097697	abdomen distended	0.030130205675959587
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.029567958787083626
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.029345110058784485
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02887715771794319
trial_1	placebo	116	KG00098964	Pain in foot	0.028738345950841904
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.028580179437994957
trial_1	placebo	5	KG00099169	haematuria	0.027841344475746155
trial_1	placebo	211	KG00100341	Pruritus NOS	0.027465352788567543
trial_1	placebo	286	KG00101110	Retention, Urinary	0.027258384972810745
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.027094129472970963
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.026851532980799675
trial_1	placebo	69	KG00100082	Palpitations NOS	0.026777008548378944
trial_1	placebo	191	KG00104055	Biliverdin increased	0.026511123403906822
trial_1	placebo	345	KG00103926	impairments memory	0.026445921510457993
trial_1	placebo	221	KG00101207	peripheral oedema	0.026429936289787292
trial_1	placebo	136	KG00101582	Dry;skin	0.02550957351922989
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02477172762155533
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.024251926690340042
trial_1	placebo	72	KG00103771	myalgias	0.0240290779620409
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.023832833394408226
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.022835809737443924
trial_1	placebo	235	KG00098682	Dysuria NOS	0.02274303510785103
trial_1	placebo	166	KG00099773	menopausal syndrome	0.02255748026072979
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.022420816123485565
trial_1	placebo	22	KG00098705	Edema (NOS)	0.022041238844394684
trial_1	placebo	27	KG00099303	hyperkalaemia	0.021510595455765724
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.021332552656531334
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.021160203963518143
trial_1	placebo	11	KG00097993	Asthma NOS	0.021041953936219215
trial_1	placebo	456	KG00099420	Influenzae	0.020812300965189934
trial_1	placebo	94	KG00103829	abdominal discomfort	0.020782528445124626
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.020432433113455772
trial_1	placebo	269	KG00100399	pyaemia	0.020022224634885788
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.01993759535253048
trial_1	placebo	164	KG00108827	ileus colon	0.0199299193918705
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.019896259531378746
trial_1	placebo	153	KG00099579	lethargy	0.019895296543836594
trial_1	placebo	179	KG00099342	hypocalcaemia	0.019842278212308884
trial_1	placebo	441	KG00098262	cellulitis nos	0.019821135327219963
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.019734930247068405
trial_1	placebo	118	KG00099011	Gastritis NOS	0.019624333828687668
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.019524967297911644
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.019195716828107834
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.01917441189289093
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.018955398350954056
trial_1	placebo	147	KG00098000	atelectases	0.018563466146588326
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.018470514565706253
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.018441978842020035
trial_1	placebo	333	KG00104019	DOPINESS	0.018410788848996162
trial_1	placebo	232	KG00097997	Ataxia NOS	0.018343010917305946
trial_1	placebo	186	KG00101431	creatinine increased	0.018037118017673492
trial_2	trazodone	9	KG00098432	Confusion NOS	0.2387825846672058
trial_2	trazodone	17	KG00097991	Asthenia NOS	0.20862188935279846
trial_2	trazodone	87	KG00098599	diarrhoea	0.17364248633384705
trial_2	trazodone	68	KG00099901	nauseas	0.1309100091457367
trial_2	trazodone	78	KG00099326	Hypertensive diseases	0.12666140496730804
trial_2	trazodone	79	KG00100317	Insomnia, Primary	0.11878887563943863
trial_2	trazodone	77	KG00098450	Constipation NOS	0.11098954826593399
trial_2	trazodone	46	KG00099121	Headache NOS	0.10881675779819489
trial_2	trazodone	49	KG00099902	nausea with vomiting	0.10451944917440414
trial_2	trazodone	300	KG00101064	xerostomia	0.09787417948246002
trial_2	trazodone	66	KG00098642	drowsiness	0.08768931776285172
trial_2	trazodone	20	KG00098540	dehydration	0.08118298649787903
trial_2	trazodone	21	KG00098675	dyspnoea	0.07949329167604446
trial_2	trazodone	101	KG00097901	Anorexia NOS	0.07666900008916855
trial_2	trazodone	177	KG00099299	hyperglycaemia	0.07640842348337173
trial_2	trazodone	173	KG00098172	Bronchopneumonia NOS	0.07163025438785553
trial_2	trazodone	228	KG00114657	Weight below normal	0.07143637537956238
trial_2	trazodone	123	KG00099351	hypokalaemia	0.06772512942552567
trial_2	trazodone	67	KG00098673	Dyspepsia, NOS	0.06260471791028976
trial_2	trazodone	132	KG00101045	Gain, Weight	0.05688293278217316
trial_2	trazodone	86	KG00098565	Depression, Mental	0.05674558877944946
trial_2	trazodone	37	KG00097696	Cramps, Abdominal	0.055031340569257736
trial_2	trazodone	151	KG00098274	Infarction, Cerebral	0.05305761843919754
trial_2	trazodone	102	KG00097916	anxieties	0.05273178592324257
trial_2	trazodone	200	KG00098539	Disorders, Deglutition	0.04951679706573486
trial_2	trazodone	64	KG00097734	Acrodermatitis, NOS	0.04912007600069046
trial_2	trazodone	29	KG00099354	hyponatraemia	0.04888126999139786
trial_2	trazodone	180	KG00099363	Hypotension NOS	0.04694332182407379
trial_2	trazodone	36	KG00106434	Vision, Blurring Of	0.04692485183477402
trial_2	trazodone	104	KG00097963	arthralgias	0.046592265367507935
trial_2	trazodone	85	KG00098474	coughs	0.04644307866692543
trial_2	trazodone	189	KG00101580	Alanine aminotransferase increase	0.04539024457335472
trial_2	trazodone	239	KG00100128	pareses	0.042389173060655594
trial_2	trazodone	126	KG00100076	Pain NOS	0.04229920357465744
trial_2	trazodone	242	KG00100855	tremors	0.04157082736492157
trial_2	trazodone	114	KG00098933	fevers	0.03949372470378876
trial_2	trazodone	14	KG00097852	Anemia NOS	0.03883790224790573
trial_2	trazodone	234	KG00098669	dysgeusias	0.03856049105525017
trial_2	trazodone	262	KG00101199	agitation	0.03815171867609024
trial_2	trazodone	188	KG00101579	Aspartate aminotransferase increase	0.03804297372698784
trial_2	trazodone	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03745642676949501
trial_2	trazodone	243	KG00100947	Micturition frequency increased	0.035497840493917465
trial_2	trazodone	76	KG00100450	Respiratory insufficiency, NOS	0.034070778638124466
trial_2	trazodone	18	KG00098307	Pain, Chest	0.033870019018650055
trial_2	trazodone	96	KG00101679	Unattended death NOS	0.032990746200084686
trial_2	trazodone	466	KG00101205	fall	0.0321374237537384
trial_2	trazodone	131	KG00100948	Urinary tract infection (& [NOS])	0.031838368624448776
trial_2	trazodone	28	KG00099347	hypoglycaemia	0.03157126531004906
trial_2	trazodone	350	KG00106765	decreased platelet count	0.031080227345228195
trial_2	trazodone	82	KG00097697	abdomen distended	0.030130205675959587
trial_2	trazodone	30	KG00099500	Acute Kidney Failure	0.029567958787083626
trial_2	trazodone	61	KG00099501	Chronic Kidney Failure	0.029345110058784485
trial_2	trazodone	38	KG00098066	Binocular vision disorders	0.02887715771794319
trial_2	trazodone	116	KG00098964	Pain in foot	0.028738345950841904
trial_2	trazodone	89	KG00099301	Hyperhidrosis (disorder)	0.028580179437994957
trial_2	trazodone	5	KG00099169	haematuria	0.027841344475746155
trial_2	trazodone	211	KG00100341	Pruritus NOS	0.027465352788567543
trial_2	trazodone	286	KG00101110	Retention, Urinary	0.027258384972810745
trial_2	trazodone	261	KG00101559	raised alkaline phosphatase	0.027094129472970963
trial_2	trazodone	199	KG00098371	Rhinitis (chronic) NOS	0.026851532980799675
trial_2	trazodone	69	KG00100082	Palpitations NOS	0.026777008548378944
trial_2	trazodone	191	KG00104055	Biliverdin increased	0.026511123403906822
trial_2	trazodone	345	KG00103926	impairments memory	0.026445921510457993
trial_2	trazodone	221	KG00101207	peripheral oedema	0.026429936289787292
trial_2	trazodone	136	KG00101582	Dry;skin	0.02550957351922989
trial_2	trazodone	130	KG00100683	Stomatitis NOS	0.02477172762155533
trial_2	trazodone	422	KG00101429	Creatine phosphokinase increased	0.024251926690340042
trial_2	trazodone	72	KG00103771	myalgias	0.0240290779620409
trial_2	trazodone	139	KG00098855	Sinusitis, Ethmoid	0.023832833394408226
trial_2	trazodone	396	KG00100373	Embolism, Pulmonary	0.022835809737443924
trial_2	trazodone	235	KG00098682	Dysuria NOS	0.02274303510785103
trial_2	trazodone	166	KG00099773	menopausal syndrome	0.02255748026072979
trial_2	trazodone	204	KG00098849	Esophagitis, Peptic	0.022420816123485565
trial_2	trazodone	22	KG00098705	Edema (NOS)	0.022041238844394684
trial_2	trazodone	27	KG00099303	hyperkalaemia	0.021510595455765724
trial_2	trazodone	361	KG00098004	Fibrillation, Atrial	0.021332552656531334
trial_2	trazodone	15	KG00097882	Angina pectoris NOS	0.021160203963518143
trial_2	trazodone	11	KG00097993	Asthma NOS	0.021041953936219215
trial_2	trazodone	456	KG00099420	Influenzae	0.020812300965189934
trial_2	trazodone	94	KG00103829	abdominal discomfort	0.020782528445124626
trial_2	trazodone	249	KG00104430	hypoalbuminaemia	0.020432433113455772
trial_2	trazodone	269	KG00100399	pyaemia	0.020022224634885788
trial_2	trazodone	35	KG00101507	hypomagnesaemia	0.01993759535253048
trial_2	trazodone	164	KG00108827	ileus colon	0.0199299193918705
trial_2	trazodone	138	KG00098796	epidemic vomiting syndrome	0.019896259531378746
trial_2	trazodone	153	KG00099579	lethargy	0.019895296543836594
trial_2	trazodone	179	KG00099342	hypocalcaemia	0.019842278212308884
trial_2	trazodone	441	KG00098262	cellulitis nos	0.019821135327219963
trial_2	trazodone	218	KG00100801	Tinnitus NOS	0.019734930247068405
trial_2	trazodone	118	KG00099011	Gastritis NOS	0.019624333828687668
trial_2	trazodone	92	KG00100926	Infections, Upper Respiratory	0.019524967297911644
trial_2	trazodone	152	KG00099402	INCONTINENCE NOS	0.019195716828107834
trial_2	trazodone	142	KG00100923	Unspecified infectious and parasitic diseases	0.01917441189289093
trial_2	trazodone	371	KG00098517	Cystitis (NOS)	0.018955398350954056
trial_2	trazodone	147	KG00098000	atelectases	0.018563466146588326
trial_2	trazodone	122	KG00099321	Hypersensitivity NOS	0.018470514565706253
trial_2	trazodone	355	KG00110857	lymphocyte count decreased	0.018441978842020035
trial_2	trazodone	333	KG00104019	DOPINESS	0.018410788848996162
trial_2	trazodone	232	KG00097997	Ataxia NOS	0.018343010917305946
trial_2	trazodone	186	KG00101431	creatinine increased	0.018037118017673492
