trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.17118574678897858
trial_1	placebo	87	KG00098599	diarrhoea	0.15407374501228333
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11769416183233261
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11510200053453445
trial_1	placebo	20	KG00098540	dehydration	0.10704720765352249
trial_1	placebo	9	KG00098432	Confusion NOS	0.10245344042778015
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09840036928653717
trial_1	placebo	77	KG00098450	Constipation NOS	0.09316447377204895
trial_1	placebo	123	KG00099351	hypokalaemia	0.09094862639904022
trial_1	placebo	21	KG00098675	dyspnoea	0.07816838473081589
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0738028958439827
trial_1	placebo	68	KG00099901	nauseas	0.07274710386991501
trial_1	placebo	46	KG00099121	Headache NOS	0.07224530726671219
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06998611241579056
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06743790209293365
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06716611981391907
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06426174938678741
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06261026859283447
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06182340532541275
trial_1	placebo	29	KG00099354	hyponatraemia	0.05645157769322395
trial_1	placebo	86	KG00098565	Depression, Mental	0.056450340896844864
trial_1	placebo	180	KG00099363	Hypotension NOS	0.056055668741464615
trial_1	placebo	228	KG00114657	Weight below normal	0.055032435804605484
trial_1	placebo	14	KG00097852	Anemia NOS	0.05481652542948723
trial_1	placebo	85	KG00098474	coughs	0.052834123373031616
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05056772381067276
trial_1	placebo	239	KG00100128	pareses	0.04956497997045517
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04952404648065567
trial_1	placebo	350	KG00106765	decreased platelet count	0.04849425330758095
trial_1	placebo	104	KG00097963	arthralgias	0.04727231338620186
trial_1	placebo	126	KG00100076	Pain NOS	0.04667694866657257
trial_1	placebo	114	KG00098933	fevers	0.04660660773515701
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.0457402728497982
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04557272791862488
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.045445363968610764
trial_1	placebo	5	KG00099169	haematuria	0.0443316213786602
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04415273293852806
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0439026765525341
trial_1	placebo	132	KG00101045	Gain, Weight	0.04347766190767288
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04346911981701851
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04093744605779648
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04032580181956291
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04017576202750206
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.040129031985998154
trial_1	placebo	179	KG00099342	hypocalcaemia	0.038570910692214966
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.0383179672062397
trial_1	placebo	102	KG00097916	anxieties	0.03711097687482834
trial_1	placebo	147	KG00098000	atelectases	0.03651218116283417
trial_1	placebo	164	KG00108827	ileus colon	0.03584057837724686
trial_1	placebo	262	KG00101199	agitation	0.03576590120792389
trial_1	placebo	101	KG00097901	Anorexia NOS	0.035654228180646896
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03535549342632294
trial_1	placebo	18	KG00098307	Pain, Chest	0.03423178195953369
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.033667970448732376
trial_1	placebo	300	KG00101064	xerostomia	0.033575523644685745
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.032936807721853256
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.032872091978788376
trial_1	placebo	286	KG00101110	Retention, Urinary	0.03242318704724312
trial_1	placebo	466	KG00101205	fall	0.031014928594231606
trial_1	placebo	72	KG00103771	myalgias	0.03043436072766781
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.030165115371346474
trial_1	placebo	82	KG00097697	abdomen distended	0.029445679858326912
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.029403649270534515
trial_1	placebo	66	KG00098642	drowsiness	0.02932637743651867
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.028923260048031807
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02869981899857521
trial_1	placebo	116	KG00098964	Pain in foot	0.028246726840734482
trial_1	placebo	242	KG00100855	tremors	0.028045976534485817
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.028044443577528
trial_1	placebo	269	KG00100399	pyaemia	0.027931565418839455
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.027655212208628654
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.02741425670683384
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.027346370741724968
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02708280459046364
trial_1	placebo	508	KG00108565	blood glucose increased	0.02644120715558529
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.026405682787299156
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.026338784024119377
trial_1	placebo	282	KG00099309	hypernatraemia	0.026285331696271896
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.026227805763483047
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.026012178510427475
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.02595951408147812
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.025921959429979324
trial_1	placebo	121	KG00099190	haemorrhage	0.025721795856952667
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.025714484974741936
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.025480879470705986
trial_1	placebo	191	KG00104055	Biliverdin increased	0.025437666103243828
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.025330282747745514
trial_1	placebo	221	KG00101207	peripheral oedema	0.025065986439585686
trial_1	placebo	22	KG00098705	Edema (NOS)	0.024766946211457253
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02470345050096512
trial_1	placebo	153	KG00099579	lethargy	0.02422492764890194
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.024120936170220375
trial_1	placebo	186	KG00101431	creatinine increased	0.023857537657022476
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.02380942367017269
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.02376563660800457
trial_1	placebo	163	KG00104050	bowel obstructions small	0.023467574268579483
trial_1	placebo	288	KG00101223	hypophosphataemia	0.02331162616610527
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.02323295921087265
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02319619059562683
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.023143475875258446
trial_2	tridihexethyl	78	KG00099326	Hypertensive diseases	0.17118574678897858
trial_2	tridihexethyl	87	KG00098599	diarrhoea	0.15407374501228333
trial_2	tridihexethyl	177	KG00099299	hyperglycaemia	0.11769416183233261
trial_2	tridihexethyl	17	KG00097991	Asthenia NOS	0.11510200053453445
trial_2	tridihexethyl	20	KG00098540	dehydration	0.10704720765352249
trial_2	tridihexethyl	9	KG00098432	Confusion NOS	0.10245344042778015
trial_2	tridihexethyl	173	KG00098172	Bronchopneumonia NOS	0.09840036928653717
trial_2	tridihexethyl	77	KG00098450	Constipation NOS	0.09316447377204895
trial_2	tridihexethyl	123	KG00099351	hypokalaemia	0.09094862639904022
trial_2	tridihexethyl	21	KG00098675	dyspnoea	0.07816838473081589
trial_2	tridihexethyl	49	KG00099902	nausea with vomiting	0.0738028958439827
trial_2	tridihexethyl	68	KG00099901	nauseas	0.07274710386991501
trial_2	tridihexethyl	46	KG00099121	Headache NOS	0.07224530726671219
trial_2	tridihexethyl	79	KG00100317	Insomnia, Primary	0.06998611241579056
trial_2	tridihexethyl	200	KG00098539	Disorders, Deglutition	0.06743790209293365
trial_2	tridihexethyl	189	KG00101580	Alanine aminotransferase increase	0.06716611981391907
trial_2	tridihexethyl	37	KG00097696	Cramps, Abdominal	0.06426174938678741
trial_2	tridihexethyl	67	KG00098673	Dyspepsia, NOS	0.06261026859283447
trial_2	tridihexethyl	188	KG00101579	Aspartate aminotransferase increase	0.06182340532541275
trial_2	tridihexethyl	29	KG00099354	hyponatraemia	0.05645157769322395
trial_2	tridihexethyl	86	KG00098565	Depression, Mental	0.056450340896844864
trial_2	tridihexethyl	180	KG00099363	Hypotension NOS	0.056055668741464615
trial_2	tridihexethyl	228	KG00114657	Weight below normal	0.055032435804605484
trial_2	tridihexethyl	14	KG00097852	Anemia NOS	0.05481652542948723
trial_2	tridihexethyl	85	KG00098474	coughs	0.052834123373031616
trial_2	tridihexethyl	64	KG00097734	Acrodermatitis, NOS	0.05056772381067276
trial_2	tridihexethyl	239	KG00100128	pareses	0.04956497997045517
trial_2	tridihexethyl	151	KG00098274	Infarction, Cerebral	0.04952404648065567
trial_2	tridihexethyl	350	KG00106765	decreased platelet count	0.04849425330758095
trial_2	tridihexethyl	104	KG00097963	arthralgias	0.04727231338620186
trial_2	tridihexethyl	126	KG00100076	Pain NOS	0.04667694866657257
trial_2	tridihexethyl	114	KG00098933	fevers	0.04660660773515701
trial_2	tridihexethyl	76	KG00100450	Respiratory insufficiency, NOS	0.0457402728497982
trial_2	tridihexethyl	61	KG00099501	Chronic Kidney Failure	0.04557272791862488
trial_2	tridihexethyl	243	KG00100947	Micturition frequency increased	0.045445363968610764
trial_2	tridihexethyl	5	KG00099169	haematuria	0.0443316213786602
trial_2	tridihexethyl	30	KG00099500	Acute Kidney Failure	0.04415273293852806
trial_2	tridihexethyl	2	KG00100772	thrombocytopaenia	0.0439026765525341
trial_2	tridihexethyl	132	KG00101045	Gain, Weight	0.04347766190767288
trial_2	tridihexethyl	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04346911981701851
trial_2	tridihexethyl	96	KG00101679	Unattended death NOS	0.04093744605779648
trial_2	tridihexethyl	28	KG00099347	hypoglycaemia	0.04032580181956291
trial_2	tridihexethyl	27	KG00099303	hyperkalaemia	0.04017576202750206
trial_2	tridihexethyl	122	KG00099321	Hypersensitivity NOS	0.040129031985998154
trial_2	tridihexethyl	179	KG00099342	hypocalcaemia	0.038570910692214966
trial_2	tridihexethyl	131	KG00100948	Urinary tract infection (& [NOS])	0.0383179672062397
trial_2	tridihexethyl	102	KG00097916	anxieties	0.03711097687482834
trial_2	tridihexethyl	147	KG00098000	atelectases	0.03651218116283417
trial_2	tridihexethyl	164	KG00108827	ileus colon	0.03584057837724686
trial_2	tridihexethyl	262	KG00101199	agitation	0.03576590120792389
trial_2	tridihexethyl	101	KG00097901	Anorexia NOS	0.035654228180646896
trial_2	tridihexethyl	261	KG00101559	raised alkaline phosphatase	0.03535549342632294
trial_2	tridihexethyl	18	KG00098307	Pain, Chest	0.03423178195953369
trial_2	tridihexethyl	396	KG00100373	Embolism, Pulmonary	0.033667970448732376
trial_2	tridihexethyl	300	KG00101064	xerostomia	0.033575523644685745
trial_2	tridihexethyl	38	KG00098066	Binocular vision disorders	0.032936807721853256
trial_2	tridihexethyl	276	KG00099127	Arrest, Cardiac	0.032872091978788376
trial_2	tridihexethyl	286	KG00101110	Retention, Urinary	0.03242318704724312
trial_2	tridihexethyl	466	KG00101205	fall	0.031014928594231606
trial_2	tridihexethyl	72	KG00103771	myalgias	0.03043436072766781
trial_2	tridihexethyl	139	KG00098855	Sinusitis, Ethmoid	0.030165115371346474
trial_2	tridihexethyl	82	KG00097697	abdomen distended	0.029445679858326912
trial_2	tridihexethyl	194	KG00110727	Neutrophil Count Decreased	0.029403649270534515
trial_2	tridihexethyl	66	KG00098642	drowsiness	0.02932637743651867
trial_2	tridihexethyl	35	KG00101507	hypomagnesaemia	0.028923260048031807
trial_2	tridihexethyl	36	KG00106434	Vision, Blurring Of	0.02869981899857521
trial_2	tridihexethyl	116	KG00098964	Pain in foot	0.028246726840734482
trial_2	tridihexethyl	242	KG00100855	tremors	0.028045976534485817
trial_2	tridihexethyl	142	KG00100923	Unspecified infectious and parasitic diseases	0.028044443577528
trial_2	tridihexethyl	269	KG00100399	pyaemia	0.027931565418839455
trial_2	tridihexethyl	253	KG00100232	Pleural effusion NOS (disorder)	0.027655212208628654
trial_2	tridihexethyl	422	KG00101429	Creatine phosphokinase increased	0.02741425670683384
trial_2	tridihexethyl	341	KG00101472	Gamma-glutamyltransferase increased	0.027346370741724968
trial_2	tridihexethyl	69	KG00100082	Palpitations NOS	0.02708280459046364
trial_2	tridihexethyl	508	KG00108565	blood glucose increased	0.02644120715558529
trial_2	tridihexethyl	92	KG00100926	Infections, Upper Respiratory	0.026405682787299156
trial_2	tridihexethyl	355	KG00110857	lymphocyte count decreased	0.026338784024119377
trial_2	tridihexethyl	282	KG00099309	hypernatraemia	0.026285331696271896
trial_2	tridihexethyl	394	KG00100243	Pneumonia, Aspiration	0.026227805763483047
trial_2	tridihexethyl	75	KG00100195	Dolens, Phlegmasia Alba	0.026012178510427475
trial_2	tridihexethyl	256	KG00100738	Tachycardia, Sinus	0.02595951408147812
trial_2	tridihexethyl	144	KG00099610	Leukopenia NOS	0.025921959429979324
trial_2	tridihexethyl	121	KG00099190	haemorrhage	0.025721795856952667
trial_2	tridihexethyl	31	KG00099872	Infarction, Myocardial	0.025714484974741936
trial_2	tridihexethyl	249	KG00104430	hypoalbuminaemia	0.025480879470705986
trial_2	tridihexethyl	191	KG00104055	Biliverdin increased	0.025437666103243828
trial_2	tridihexethyl	371	KG00098517	Cystitis (NOS)	0.025330282747745514
trial_2	tridihexethyl	221	KG00101207	peripheral oedema	0.025065986439585686
trial_2	tridihexethyl	22	KG00098705	Edema (NOS)	0.024766946211457253
trial_2	tridihexethyl	118	KG00099011	Gastritis NOS	0.02470345050096512
trial_2	tridihexethyl	153	KG00099579	lethargy	0.02422492764890194
trial_2	tridihexethyl	204	KG00098849	Esophagitis, Peptic	0.024120936170220375
trial_2	tridihexethyl	186	KG00101431	creatinine increased	0.023857537657022476
trial_2	tridihexethyl	152	KG00099402	INCONTINENCE NOS	0.02380942367017269
trial_2	tridihexethyl	15	KG00097882	Angina pectoris NOS	0.02376563660800457
trial_2	tridihexethyl	163	KG00104050	bowel obstructions small	0.023467574268579483
trial_2	tridihexethyl	288	KG00101223	hypophosphataemia	0.02331162616610527
trial_2	tridihexethyl	199	KG00098371	Rhinitis (chronic) NOS	0.02323295921087265
trial_2	tridihexethyl	130	KG00100683	Stomatitis NOS	0.02319619059562683
trial_2	tridihexethyl	97	KG00104198	LIVER ENZYME ELEVATED	0.023143475875258446
