trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.17041681706905365
trial_1	placebo	87	KG00098599	diarrhoea	0.16458994150161743
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13543085753917694
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12673170864582062
trial_1	placebo	9	KG00098432	Confusion NOS	0.11845102906227112
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10925490409135818
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.09246674180030823
trial_1	placebo	20	KG00098540	dehydration	0.09085690230131149
trial_1	placebo	228	KG00114657	Weight below normal	0.08860170096158981
trial_1	placebo	46	KG00099121	Headache NOS	0.08734545111656189
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08238442987203598
trial_1	placebo	123	KG00099351	hypokalaemia	0.08236642926931381
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07942163199186325
trial_1	placebo	21	KG00098675	dyspnoea	0.07727080583572388
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07472049444913864
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07354144006967545
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07183542102575302
trial_1	placebo	68	KG00099901	nauseas	0.06673313677310944
trial_1	placebo	77	KG00098450	Constipation NOS	0.06414087116718292
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06295488774776459
trial_1	placebo	14	KG00097852	Anemia NOS	0.06149613484740257
trial_1	placebo	49	KG00099902	nausea with vomiting	0.060871776193380356
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06034894660115242
trial_1	placebo	86	KG00098565	Depression, Mental	0.05857306718826294
trial_1	placebo	29	KG00099354	hyponatraemia	0.05746261775493622
trial_1	placebo	85	KG00098474	coughs	0.05384703353047371
trial_1	placebo	350	KG00106765	decreased platelet count	0.05243491753935814
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.0511835515499115
trial_1	placebo	239	KG00100128	pareses	0.0511561818420887
trial_1	placebo	104	KG00097963	arthralgias	0.050697267055511475
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.049427688121795654
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04835983365774155
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04771345108747482
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04667449742555618
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04644447937607765
trial_1	placebo	114	KG00098933	fevers	0.046356383711099625
trial_1	placebo	132	KG00101045	Gain, Weight	0.044830258935689926
trial_1	placebo	180	KG00099363	Hypotension NOS	0.043824780732393265
trial_1	placebo	5	KG00099169	haematuria	0.04333227127790451
trial_1	placebo	126	KG00100076	Pain NOS	0.042559076100587845
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04181929677724838
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.040043748915195465
trial_1	placebo	72	KG00103771	myalgias	0.03995293006300926
trial_1	placebo	116	KG00098964	Pain in foot	0.039704784750938416
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0394221656024456
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03920138254761696
trial_1	placebo	101	KG00097901	Anorexia NOS	0.038376979529857635
trial_1	placebo	102	KG00097916	anxieties	0.03829436004161835
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03821899741888046
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.036871448159217834
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03677642345428467
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.0363849401473999
trial_1	placebo	466	KG00101205	fall	0.03610488399863243
trial_1	placebo	96	KG00101679	Unattended death NOS	0.035991281270980835
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03550322726368904
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03549429774284363
trial_1	placebo	269	KG00100399	pyaemia	0.03470463678240776
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03446201980113983
trial_1	placebo	147	KG00098000	atelectases	0.033817779272794724
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.032618213444948196
trial_1	placebo	262	KG00101199	agitation	0.03187955543398857
trial_1	placebo	456	KG00099420	Influenzae	0.03164931759238243
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.031381044536828995
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.030533315613865852
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.029564471915364265
trial_1	placebo	18	KG00098307	Pain, Chest	0.02955942414700985
trial_1	placebo	441	KG00098262	cellulitis nos	0.029119741171598434
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.028984224423766136
trial_1	placebo	11	KG00097993	Asthma NOS	0.028709910809993744
trial_1	placebo	234	KG00098669	dysgeusias	0.028453823179006577
trial_1	placebo	82	KG00097697	abdomen distended	0.02799585461616516
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.027871781960129738
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.0275387242436409
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.02745974250137806
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02718207612633705
trial_1	placebo	242	KG00100855	tremors	0.02694302797317505
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.026912223547697067
trial_1	placebo	339	KG00100334	proteinurias	0.026655321940779686
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.026550643146038055
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02651682123541832
trial_1	placebo	282	KG00099309	hypernatraemia	0.026470277458429337
trial_1	placebo	191	KG00104055	Biliverdin increased	0.02640419267117977
trial_1	placebo	69	KG00100082	Palpitations NOS	0.026361146941781044
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.025623055174946785
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.02542147785425186
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.025383122265338898
trial_1	placebo	4	KG00098817	epistaxis	0.025134142488241196
trial_1	placebo	221	KG00101207	peripheral oedema	0.024701468646526337
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.024683324620127678
trial_1	placebo	154	KG00099686	Lymphopenias	0.02422080934047699
trial_1	placebo	288	KG00101223	hypophosphataemia	0.024147361516952515
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02391963265836239
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02378847450017929
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.02370910346508026
trial_1	placebo	508	KG00108565	blood glucose increased	0.023436767980456352
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.02306758426129818
trial_1	placebo	366	KG00098275	Attack, Transient Ischemic	0.022135861217975616
trial_1	placebo	136	KG00101582	Dry;skin	0.022093510255217552
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.02200242690742016
trial_1	placebo	153	KG00099579	lethargy	0.021658075973391533
trial_2	trimethadione	78	KG00099326	Hypertensive diseases	0.17041681706905365
trial_2	trimethadione	87	KG00098599	diarrhoea	0.16458994150161743
trial_2	trimethadione	17	KG00097991	Asthenia NOS	0.13543085753917694
trial_2	trimethadione	173	KG00098172	Bronchopneumonia NOS	0.12673170864582062
trial_2	trimethadione	9	KG00098432	Confusion NOS	0.11845102906227112
trial_2	trimethadione	177	KG00099299	hyperglycaemia	0.10925490409135818
