trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.2256689816713333
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1561906486749649
trial_1	placebo	68	KG00099901	nauseas	0.15250232815742493
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14936773478984833
trial_1	placebo	20	KG00098540	dehydration	0.14270812273025513
trial_1	placebo	123	KG00099351	hypokalaemia	0.13338705897331238
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13036395609378815
trial_1	placebo	21	KG00098675	dyspnoea	0.12634634971618652
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.12612423300743103
trial_1	placebo	49	KG00099902	nausea with vomiting	0.12047252804040909
trial_1	placebo	77	KG00098450	Constipation NOS	0.11484047770500183
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11205247789621353
trial_1	placebo	14	KG00097852	Anemia NOS	0.10861650109291077
trial_1	placebo	228	KG00114657	Weight below normal	0.1045805886387825
trial_1	placebo	46	KG00099121	Headache NOS	0.09986568242311478
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09673628956079483
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.09619642794132233
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09501072019338608
trial_1	placebo	114	KG00098933	fevers	0.09438976645469666
trial_1	placebo	9	KG00098432	Confusion NOS	0.09414392709732056
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.08659406006336212
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08103803545236588
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.08011253923177719
trial_1	placebo	101	KG00097901	Anorexia NOS	0.07740112394094467
trial_1	placebo	126	KG00100076	Pain NOS	0.071344293653965
trial_1	placebo	85	KG00098474	coughs	0.07114321738481522
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06738707423210144
trial_1	placebo	350	KG00106765	decreased platelet count	0.06601950526237488
trial_1	placebo	86	KG00098565	Depression, Mental	0.06510751694440842
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0633053407073021
trial_1	placebo	104	KG00097963	arthralgias	0.06258790194988251
trial_1	placebo	180	KG00099363	Hypotension NOS	0.057981494814157486
trial_1	placebo	29	KG00099354	hyponatraemia	0.05693309009075165
trial_1	placebo	72	KG00103771	myalgias	0.05627335608005524
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.054675642400979996
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05347733944654465
trial_1	placebo	18	KG00098307	Pain, Chest	0.0532209575176239
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.05256437882781029
trial_1	placebo	27	KG00099303	hyperkalaemia	0.051358167082071304
trial_1	placebo	5	KG00099169	haematuria	0.05010043829679489
trial_1	placebo	102	KG00097916	anxieties	0.04877200722694397
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.047690145671367645
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.04746390879154205
trial_1	placebo	28	KG00099347	hypoglycaemia	0.046746499836444855
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.04640960693359375
trial_1	placebo	147	KG00098000	atelectases	0.04596884548664093
trial_1	placebo	239	KG00100128	pareses	0.04533791542053223
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04529383033514023
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04517553001642227
trial_1	placebo	179	KG00099342	hypocalcaemia	0.044840388000011444
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.04465344175696373
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04426541551947594
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04405525326728821
trial_1	placebo	282	KG00099309	hypernatraemia	0.04287245124578476
trial_1	placebo	100	KG00097815	alopecias	0.042417868971824646
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.042366087436676025
