trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14627739787101746
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13935382664203644
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11953925341367722
trial_1	placebo	9	KG00098432	Confusion NOS	0.10647726058959961
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09887083619832993
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09548827260732651
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08761020004749298
trial_1	placebo	21	KG00098675	dyspnoea	0.08742330223321915
trial_1	placebo	123	KG00099351	hypokalaemia	0.08736354112625122
trial_1	placebo	20	KG00098540	dehydration	0.0853135958313942
trial_1	placebo	46	KG00099121	Headache NOS	0.07996221631765366
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07594960927963257
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07277243584394455
trial_1	placebo	77	KG00098450	Constipation NOS	0.07197366654872894
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0718352422118187
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06688457727432251
trial_1	placebo	68	KG00099901	nauseas	0.06548818200826645
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06452935934066772
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06414739787578583
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06143069267272949
trial_1	placebo	85	KG00098474	coughs	0.060971152037382126
trial_1	placebo	14	KG00097852	Anemia NOS	0.05797252804040909
trial_1	placebo	104	KG00097963	arthralgias	0.05597284436225891
trial_1	placebo	29	KG00099354	hyponatraemia	0.05512629449367523
trial_1	placebo	228	KG00114657	Weight below normal	0.05341431125998497
trial_1	placebo	86	KG00098565	Depression, Mental	0.053162749856710434
trial_1	placebo	114	KG00098933	fevers	0.05286948382854462
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.050559427589178085
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.047803763300180435
trial_1	placebo	126	KG00100076	Pain NOS	0.04577647149562836
trial_1	placebo	350	KG00106765	decreased platelet count	0.04493977874517441
trial_1	placebo	239	KG00100128	pareses	0.04424305632710457
trial_1	placebo	132	KG00101045	Gain, Weight	0.04378059133887291
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04281420260667801
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04249464347958565
trial_1	placebo	96	KG00101679	Unattended death NOS	0.040870629251003265
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04078853502869606
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04052792489528656
trial_1	placebo	5	KG00099169	haematuria	0.04044689983129501
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.040233466774225235
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03977707773447037
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03832993283867836
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03773552179336548
trial_1	placebo	28	KG00099347	hypoglycaemia	0.037138745188713074
trial_1	placebo	262	KG00101199	agitation	0.036864303052425385
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03627373278141022
trial_1	placebo	102	KG00097916	anxieties	0.035738956183195114
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0354490727186203
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.0352824404835701
trial_1	placebo	300	KG00101064	xerostomia	0.03475377336144447
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03455492854118347
